                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
00000001804ef1e4 (__TEXT,__text) non-external _LI_get_thread_info
0000000180505278 (__TEXT,__text) external _LI_get_thread_item
00000001804f9744 (__TEXT,__text) external _LI_get_thread_list
00000001804ee5b4 (__TEXT,__text) external _LI_ils_create
00000001804ef1ac (__TEXT,__text) external _LI_set_thread_item
00000001804f3d48 (__TEXT,__text) external _LI_set_thread_list
0000000180501850 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180504afc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180506a7c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018050c800 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180501864 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180504b08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018050c818 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018050c8d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
000000018050c8f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
000000018050c904 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000180504b24 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018050c838 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018050c854 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000180504afc (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
000000018050c860 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
000000018050c86c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
000000018050c88c (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018050c8ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
000000018050c8b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __DefaultRuneLocale (from libsystem_c)
00000001804f0f10 (__TEXT,__text) non-external __LI_data_free
00000001804ef37c (__TEXT,__text) non-external __LI_data_init
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
0000000180503694 (__TEXT,__text) non-external ____check_groups_block_invoke
0000000180503744 (__TEXT,__text) non-external ____check_groups_block_invoke_2
00000001805065d0 (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
000000018050da5c (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
00000001805066a4 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
000000018050d9dc (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00000001805066e4 (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
000000018050dadc (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
0000000180506758 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke
00000001805067b4 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.52
0000000180506810 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.56
000000018050686c (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.60
000000018050691c (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.62
00000001805069cc (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.66
0000000180506230 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke
0000000180506420 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.14
0000000180506478 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.19
00000001805064cc (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.23
0000000180506524 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.27
0000000180506578 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.31
00000001804f9cb0 (__TEXT,__text) non-external ____ds_list_block_invoke
00000001804fe188 (__TEXT,__text) non-external ____extract_alias_dict_block_invoke
00000001804f9fdc (__TEXT,__text) non-external ____extract_fstab_dict_block_invoke
00000001804efc10 (__TEXT,__text) non-external ____extract_group_dict_block_invoke
00000001804fdd44 (__TEXT,__text) non-external ____extract_netgroup_dict_block_invoke
00000001804fe508 (__TEXT,__text) non-external ____extract_network_dict_block_invoke
00000001804fec6c (__TEXT,__text) non-external ____extract_protocol_dict_block_invoke
00000001804ff028 (__TEXT,__text) non-external ____extract_rpc_dict_block_invoke
00000001804fe89c (__TEXT,__text) non-external ____extract_service_dict_block_invoke
00000001804efe44 (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_block_invoke
00000001804fda9c (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_index_block_invoke
00000001804ee22c (__TEXT,__text) non-external ____extract_user_dict_block_invoke
00000001804fa554 (__TEXT,__text) non-external ____fsi_fs_root_block_invoke
00000001804ecb54 (__TEXT,__text) non-external ____mbr_xpc_pipe_block_invoke
00000001804edcac (__TEXT,__text) non-external ____od_xpc_pipe_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00000001e5c04608 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e5c04628 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e5c046a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e5c04740 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
