                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80b64b45f (__TEXT,__text) external ___cmph_dump
00007ff80b64b4bb (__TEXT,__text) external ___cmph_load
00007ff80b64b455 (__TEXT,__text) external ___config_destroy
00007ff80b64b41c (__TEXT,__text) external ___config_new
00007ff80b64e264 (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80b641843 (__TEXT,__text) external _bdz_config_destroy
00007ff80b64180c (__TEXT,__text) external _bdz_config_new
00007ff80b641851 (__TEXT,__text) external _bdz_config_set_b
00007ff80b64186c (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff80b6427f2 (__TEXT,__text) external _bdz_destroy
00007ff80b6423eb (__TEXT,__text) external _bdz_dump
00007ff80b642ab7 (__TEXT,__text) non-external _bdz_dump_graph
00007ff80b642530 (__TEXT,__text) external _bdz_load
00007ff80b64fda0 (__TEXT,__const) external _bdz_lookup_table
00007ff80b641880 (__TEXT,__text) external _bdz_new
00007ff80b64282f (__TEXT,__text) external _bdz_pack
00007ff80b6428d5 (__TEXT,__text) external _bdz_packed_size
00007ff80b642b61 (__TEXT,__text) external _bdz_ph_config_destroy
00007ff80b642b3d (__TEXT,__text) external _bdz_ph_config_new
00007ff80b64f14c (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff80b642b6f (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff80b6438d5 (__TEXT,__text) external _bdz_ph_destroy
00007ff80b6435d6 (__TEXT,__text) external _bdz_ph_dump
00007ff80b643af8 (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff80b6436c2 (__TEXT,__text) external _bdz_ph_load
00007ff80b642b82 (__TEXT,__text) external _bdz_ph_new
00007ff80b643909 (__TEXT,__text) external _bdz_ph_pack
00007ff80b64397f (__TEXT,__text) external _bdz_ph_packed_size
00007ff80b6437cc (__TEXT,__text) external _bdz_ph_search
00007ff80b6439c0 (__TEXT,__text) external _bdz_ph_search_packed
00007ff80b6426ad (__TEXT,__text) external _bdz_search
00007ff80b64291c (__TEXT,__text) external _bdz_search_packed
00007ff80b64fea0 (__TEXT,__const) non-external _bitmask
00007ff80b64fec0 (__TEXT,__const) non-external _bitmask
00007ff80b6503e8 (__TEXT,__const) non-external _bitmask
00007ff80b6503f8 (__TEXT,__const) non-external _bitmask
00007ff80b6505c8 (__TEXT,__const) non-external _bitmask
00007ff80b650670 (__TEXT,__const) non-external _bitmask
00007ff80b650450 (__TEXT,__const) non-external _bitmask32
00007ff80b650540 (__TEXT,__const) non-external _bitmask32
00007ff80b6505d0 (__TEXT,__const) non-external _bitmask32
00007ff80b644ff0 (__TEXT,__text) external _bmz8_config_destroy
00007ff80b644fc5 (__TEXT,__text) external _bmz8_config_new
00007ff80b644ffe (__TEXT,__text) external _bmz8_config_set_hashfuncs
00007ff80b64618e (__TEXT,__text) external _bmz8_destroy
00007ff80b645ec8 (__TEXT,__text) external _bmz8_dump
