                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80bdc1045 (__TEXT,__text) non-external _au_assemble
00007ff80bdc252d (__TEXT,__text) external _au_bsm_to_domain
00007ff80bdcdebf (__TEXT,__text) external _au_bsm_to_errno
00007ff80bdcdf6d (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80bdca2d4 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80bdc12a3 (__TEXT,__text) external _au_close
00007ff80bdc1351 (__TEXT,__text) external _au_close_buffer
00007ff80bdc1412 (__TEXT,__text) external _au_close_token
00007ff80bdc0f7a (__TEXT,__text) external _au_close_with_errors
00007ff8425894f4 (__DATA,__bss) non-external _au_cond
00007ff80bdc2502 (__TEXT,__text) external _au_domain_to_bsm
00007ff80bdcde91 (__TEXT,__text) external _au_errno_to_bsm
00007ff80bdcdf42 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80bdc0a1b (__TEXT,__text) external _au_fetch_tok
00007ff80bdc0d91 (__TEXT,__text) external _au_free_token
00007ff80bdca1d3 (__TEXT,__text) external _au_get_state
00007ff80bdca137 (__TEXT,__text) external _au_notify_initialize
00007ff80bdca1ba (__TEXT,__text) external _au_notify_terminate
00007ff80bdc0dbb (__TEXT,__text) external _au_open
00007ff842588100 (__DATA,__const) non-external _au_polstr
00007ff80bdc18a4 (__TEXT,__text) external _au_poltostr
00007ff80bdc9f51 (__TEXT,__text) external _au_preselect
00007ff80bdc49e7 (__TEXT,__text) external _au_print_flags_tok
00007ff80bdc91ec (__TEXT,__text) external _au_print_tok
00007ff80bdc9206 (__TEXT,__text) external _au_print_tok_xml
00007ff80bdc2e61 (__TEXT,__text) external _au_print_xml_footer
00007ff80bdc2e20 (__TEXT,__text) external _au_print_xml_header
00007ff80bdc9225 (__TEXT,__text) external _au_read_rec
00007ff80bdcde51 (__TEXT,__text) external _au_sdev_close
00007ff80bdcde84 (__TEXT,__text) external _au_sdev_fd
00007ff80bdc05fe (__TEXT,__text) external _au_sdev_open
00007ff80bdc06d2 (__TEXT,__text) external _au_sdev_read_aia
00007ff8425881f0 (__DATA,__const) non-external _au_sflagsstr
00007ff80bdc1a0c (__TEXT,__text) external _au_sflagstostr
00007ff80bdca2a9 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80bdc1f7a (__TEXT,__text) non-external _au_spacetobytes
00007ff80bdcdefe (__TEXT,__text) external _au_strerror
00007ff80bdc1945 (__TEXT,__text) external _au_strtopol
00007ff80bdc1aaa (__TEXT,__text) external _au_strtosflags
00007ff80bdc11f7 (__TEXT,__text) non-external _au_teardown
00007ff80bdca4ad (__TEXT,__text) external _au_to_arg
00007ff80bdca2df (__TEXT,__text) external _au_to_arg32
00007ff80bdca3b0 (__TEXT,__text) external _au_to_arg64
00007ff80bdcbfe7 (__TEXT,__text) external _au_to_certificate_hash
00007ff80bdca4b7 (__TEXT,__text) external _au_to_data
00007ff80bdcbe96 (__TEXT,__text) external _au_to_exec_args
00007ff80bdcbfd8 (__TEXT,__text) external _au_to_exec_env
00007ff80bdca58f (__TEXT,__text) external _au_to_exit
00007ff80bdca9e3 (__TEXT,__text) external _au_to_file
00007ff80bdca61e (__TEXT,__text) external _au_to_groups
00007ff80bdcc692 (__TEXT,__text) external _au_to_header
00007ff80bdcc5ec (__TEXT,__text) external _au_to_header32
00007ff80bdcc559 (__TEXT,__text) external _au_to_header32_ex
00007ff80bdcc2d5 (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80bdcc1e6 (__TEXT,__text) external _au_to_header32_tm
00007ff80bdcc63f (__TEXT,__text) external _au_to_header64
00007ff80bdcc439 (__TEXT,__text) external _au_to_header64_tm
00007ff80bdcc69c (__TEXT,__text) external _au_to_header_ex
00007ff80bdcc09f (__TEXT,__text) external _au_to_identity
00007ff80bdca6ca (__TEXT,__text) external _au_to_in_addr
00007ff80bdca71d (__TEXT,__text) external _au_to_in_addr_ex
00007ff80bdca779 (__TEXT,__text) external _au_to_ip
00007ff80bdca7d5 (__TEXT,__text) external _au_to_ipc
00007ff80bdca84d (__TEXT,__text) external _au_to_ipc_perm
00007ff80bdca8fd (__TEXT,__text) external _au_to_iport
00007ff80bdcc714 (__TEXT,__text) external _au_to_kevent
00007ff80bdcbff6 (__TEXT,__text) external _au_to_krb5_principal
00007ff80bdcbe0a (__TEXT,__text) external _au_to_me
00007ff80bdca630 (__TEXT,__text) external _au_to_newgroups
00007ff80bdca953 (__TEXT,__text) external _au_to_opaque
00007ff80bdcab75 (__TEXT,__text) external _au_to_path
00007ff80bdcaec3 (__TEXT,__text) external _au_to_process
00007ff80bdcac0f (__TEXT,__text) external _au_to_process32
00007ff80bdcaecd (__TEXT,__text) external _au_to_process32_ex
00007ff80bdcad49 (__TEXT,__text) external _au_to_process64
00007ff80bdcb0c1 (__TEXT,__text) external _au_to_process64_ex
00007ff80bdcb2d3 (__TEXT,__text) external _au_to_process_ex
00007ff80bdcb3f6 (__TEXT,__text) external _au_to_return
00007ff80bdcb2dd (__TEXT,__text) external _au_to_return32
00007ff80bdcb355 (__TEXT,__text) external _au_to_return64
00007ff80bdcb400 (__TEXT,__text) external _au_to_seq
00007ff80bdcb73b (__TEXT,__text) external _au_to_sock_inet
00007ff80bdcb6cf (__TEXT,__text) external _au_to_sock_inet128
00007ff80bdcb667 (__TEXT,__text) external _au_to_sock_inet32
00007ff80bdcb5c7 (__TEXT,__text) external _au_to_sock_unix
00007ff80bdcb46a (__TEXT,__text) external _au_to_socket_ex
00007ff80bdcbea5 (__TEXT,__text) non-external _au_to_strings
00007ff80bdcb9f9 (__TEXT,__text) external _au_to_subject
00007ff80bdcb745 (__TEXT,__text) external _au_to_subject32
00007ff80bdcba03 (__TEXT,__text) external _au_to_subject32_ex
00007ff80bdcb87f (__TEXT,__text) external _au_to_subject64
00007ff80bdcbbf1 (__TEXT,__text) external _au_to_subject64_ex
00007ff80bdcbe00 (__TEXT,__text) external _au_to_subject_ex
00007ff80bdcaadb (__TEXT,__text) external _au_to_text
00007ff80bdcc6a6 (__TEXT,__text) external _au_to_trailer
00007ff80bdcc005 (__TEXT,__text) external _au_to_zonename
00007ff80bdcca43 (__TEXT,__text) external _au_user_mask
00007ff80bdc0ef4 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff842588da8 (__DATA,__bss) non-external _audit_free_q
00007ff80bdcddda (__TEXT,__text) external _audit_get_car
00007ff80bdcdbaa (__TEXT,__text) external _audit_get_class
00007ff80bdccfa8 (__TEXT,__text) external _audit_get_cond
00007ff80bdcddef (__TEXT,__text) external _audit_get_ctlmode
00007ff80bdcddc5 (__TEXT,__text) external _audit_get_cwd
00007ff80bdcde20 (__TEXT,__text) external _audit_get_expire_after
00007ff80bdcdc6e (__TEXT,__text) external _audit_get_fsize
00007ff80bdcdb48 (__TEXT,__text) external _audit_get_kaudit
00007ff80bdcdc0c (__TEXT,__text) external _audit_get_kmask
00007ff80bdcdd01 (__TEXT,__text) external _audit_get_pinfo
00007ff80bdcdd32 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80bdcd771 (__TEXT,__text) external _audit_get_policy
00007ff80bdcd9cb (__TEXT,__text) external _audit_get_qctrl
00007ff80bdcd839 (__TEXT,__text) external _audit_get_sflags
00007ff80bdcd874 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80bdc0d60 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80bdcdd63 (__TEXT,__text) external _audit_get_stat
00007ff842588da0 (__DATA,__bss) non-external _audit_rec_count
00007ff80bdcdb31 (__TEXT,__text) external _audit_send_trigger
00007ff80bdcdbdb (__TEXT,__text) external _audit_set_class
