                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff8109dba86 (__TEXT,__text) external ___absvdi2
00007ff8109dbaaf (__TEXT,__text) external ___absvsi2
00007ff8109dbad4 (__TEXT,__text) external ___absvti2
00007ff8109dbb14 (__TEXT,__text) external ___addvdi3
00007ff8109dbb5a (__TEXT,__text) external ___addvsi3
00007ff8109dbb9c (__TEXT,__text) external ___addvti3
00007ff8109dbbf9 (__TEXT,__text) external ___ashldi3
00007ff8109dbc25 (__TEXT,__text) external ___ashlti3
00007ff8109dbc4d (__TEXT,__text) external ___ashrdi3
00007ff8109dbc7e (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff8109dbf14 (__TEXT,__text) external ___atomic_compare_exchange
00007ff8109dc454 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff8109dc4a0 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff8109dc4ec (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff8109dc538 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff8109dc154 (__TEXT,__text) external ___atomic_exchange
00007ff8109dc386 (__TEXT,__text) external ___atomic_exchange_1
00007ff8109dc3bc (__TEXT,__text) external ___atomic_exchange_2
00007ff8109dc3f0 (__TEXT,__text) external ___atomic_exchange_4
00007ff8109dc420 (__TEXT,__text) external ___atomic_exchange_8
00007ff8109dc584 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff8109dc5bc (__TEXT,__text) external ___atomic_fetch_add_2
00007ff8109dc5f0 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff8109dc624 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff8109dc734 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff8109dc7ac (__TEXT,__text) external ___atomic_fetch_and_2
00007ff8109dc82c (__TEXT,__text) external ___atomic_fetch_and_4
00007ff8109dc89c (__TEXT,__text) external ___atomic_fetch_and_8
00007ff8109dc920 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff8109dc998 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff8109dca18 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff8109dca88 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff8109dc658 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff8109dc690 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff8109dc6c8 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff8109dc6fc (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff8109dcb0c (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff8109dcb84 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff8109dcc04 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff8109dcc74 (__TEXT,__text) external ___atomic_fetch_xor_8
