00007ff80c20e841 (__TEXT,__const) non-external _KW_ANY
00007ff80c20e7c6 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80c20e7f4 (__TEXT,__const) non-external _KW_CDATA
00007ff80c20e7a9 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80c20e7ce (__TEXT,__const) non-external _KW_ELEMENT
00007ff80c20e83b (__TEXT,__const) non-external _KW_EMPTY
00007ff80c20e80a (__TEXT,__const) non-external _KW_ENTITIES
00007ff80c20e7bf (__TEXT,__const) non-external _KW_ENTITY
00007ff80c20e835 (__TEXT,__const) non-external _KW_FIXED
00007ff80c20e7fa (__TEXT,__const) non-external _KW_ID
00007ff80c20e7fd (__TEXT,__const) non-external _KW_IDREF
00007ff80c20e803 (__TEXT,__const) non-external _KW_IDREFS
00007ff80c20e7e7 (__TEXT,__const) non-external _KW_IGNORE
00007ff80c20e824 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80c20e7df (__TEXT,__const) non-external _KW_INCLUDE
00007ff80c20ef50 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80c20e7ee (__TEXT,__const) non-external _KW_NDATA
00007ff80c20e813 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80c20e81b (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80c20e7d6 (__TEXT,__const) non-external _KW_NOTATION
00007ff80c20e845 (__TEXT,__const) non-external _KW_PCDATA
00007ff80c20e7b8 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80c20e82c (__TEXT,__const) non-external _KW_REQUIRED
00007ff80c20e7b1 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80c20ef5b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80c20ef6a (__TEXT,__const) non-external _KW_UTF_16
00007ff80c20ef71 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80c20ef7a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80c20ef64 (__TEXT,__const) non-external _KW_UTF_8
00007ff80c20ef91 (__TEXT,__const) non-external _KW_encoding
00007ff80c20efa9 (__TEXT,__const) non-external _KW_no
00007ff80c20ef9a (__TEXT,__const) non-external _KW_standalone
00007ff80c20ef89 (__TEXT,__const) non-external _KW_version
00007ff80c20efa5 (__TEXT,__const) non-external _KW_yes
00007ff80c1f8e2e (__TEXT,__text) external _XML_DefaultCurrent
00007ff80c1f8f48 (__TEXT,__text) external _XML_ErrorString
00007ff80c1f8f66 (__TEXT,__text) external _XML_ExpatVersion
