                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
00007ff80e26ef55 (__TEXT,__text) external _CMCloneProfileRef
00007ff842709130 (__DATA,__bss) non-external _CMCloneProfileRef.func
00007ff80e26ef11 (__TEXT,__text) external _CMCloseProfile
00007ff842709128 (__DATA,__bss) non-external _CMCloseProfile.func
00007ff80e26ee9d (__TEXT,__text) external _CMConvertDoubleXYZToD50
00007ff842709120 (__DATA,__bss) non-external _CMConvertDoubleXYZToD50.func
00007ff80e26ee56 (__TEXT,__text) external _CMConvertRGBFloatBitmap
00007ff842709118 (__DATA,__bss) non-external _CMConvertRGBFloatBitmap.func
00007ff80e26ede2 (__TEXT,__text) external _CMConvertXYZFloatBitmap
00007ff842709110 (__DATA,__bss) non-external _CMConvertXYZFloatBitmap.func
00007ff80e26ed28 (__TEXT,__text) external _CMCopyProfile
00007ff842709108 (__DATA,__bss) non-external _CMCopyProfile.func
00007ff80e26ec76 (__TEXT,__text) external _CMCopyProfileDescriptionString
00007ff842709100 (__DATA,__bss) non-external _CMCopyProfileDescriptionString.func
00007ff80e26eba1 (__TEXT,__text) external _CMCopyProfileLocalizedString
00007ff8427090f8 (__DATA,__bss) non-external _CMCopyProfileLocalizedString.func
00007ff80e26eaea (__TEXT,__text) external _CMCopyProfileLocalizedStringDictionary
00007ff8427090f0 (__DATA,__bss) non-external _CMCopyProfileLocalizedStringDictionary.func
00007ff80e26ea38 (__TEXT,__text) external _CMCountProfileElements
00007ff8427090e8 (__DATA,__bss) non-external _CMCountProfileElements.func
00007ff80e26e99b (__TEXT,__text) external _CMFloatBitmapMakeChunky
00007ff8427090e0 (__DATA,__bss) non-external _CMFloatBitmapMakeChunky.func
00007ff80e26e957 (__TEXT,__text) external _CMGetColorSyncVersion
00007ff8427090d8 (__DATA,__bss) non-external _CMGetColorSyncVersion.func
00007ff80e26e912 (__TEXT,__text) external _CMGetDefaultDevice
00007ff8427090d0 (__DATA,__bss) non-external _CMGetDefaultDevice.func
00007ff80e26e8cd (__TEXT,__text) external _CMGetDefaultProfileBySpace
00007ff8427090c8 (__DATA,__bss) non-external _CMGetDefaultProfileBySpace.func
00007ff80e26e888 (__TEXT,__text) external _CMGetDefaultProfileByUse
00007ff8427090c0 (__DATA,__bss) non-external _CMGetDefaultProfileByUse.func
00007ff80e26e82e (__TEXT,__text) external _CMGetDeviceDefaultProfileID
00007ff8427090b8 (__DATA,__bss) non-external _CMGetDeviceDefaultProfileID.func
00007ff80e26e7bc (__TEXT,__text) external _CMGetDeviceFactoryProfiles
00007ff8427090b0 (__DATA,__bss) non-external _CMGetDeviceFactoryProfiles.func
00007ff80e26e762 (__TEXT,__text) external _CMGetDeviceInfo
00007ff8427090a8 (__DATA,__bss) non-external _CMGetDeviceInfo.func
00007ff80e26e705 (__TEXT,__text) external _CMGetDeviceProfile
00007ff8427090a0 (__DATA,__bss) non-external _CMGetDeviceProfile.func
00007ff80e26e6ab (__TEXT,__text) external _CMGetDeviceState
00007ff842709098 (__DATA,__bss) non-external _CMGetDeviceState.func
00007ff80e26e651 (__TEXT,__text) external _CMGetDeviceTrackingByUse
00007ff842709090 (__DATA,__bss) non-external _CMGetDeviceTrackingByUse.func
