0000000283b38888 (__TEXT,__text) non-external _Done_iODBC
0000000283b578c0 (__TEXT,__const) non-external _FunctionNumbers
0000000283b566cc (__TEXT,__text) non-external _GetPrivateProfileString
0000000283b386f8 (__TEXT,__text) non-external _Init_iODBC
0000000297c1129c (__DATA,__common) non-external _ODBCSharedTraceFlag
0000000283b36dd8 (__TEXT,__text) external _SQLAllocConnect
0000000283b36cd8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
0000000283b38668 (__TEXT,__text) external _SQLAllocEnv
0000000283b384b4 (__TEXT,__text) non-external _SQLAllocEnv_Internal
0000000283b426cc (__TEXT,__text) external _SQLAllocHandle
0000000283b427e4 (__TEXT,__text) non-external _SQLAllocHandleStd
0000000283b4242c (__TEXT,__text) non-external _SQLAllocHandle_Internal
0000000283b3b370 (__TEXT,__text) external _SQLAllocStmt
0000000283b3ae58 (__TEXT,__text) non-external _SQLAllocStmt_Internal
0000000283b403d4 (__TEXT,__text) external _SQLBindCol
0000000283b48488 (__TEXT,__text) external _SQLBindParam
0000000283b3f8b4 (__TEXT,__text) external _SQLBindParameter
0000000283b339f4 (__TEXT,__text) external _SQLBrowseConnect
0000000283b33b3c (__TEXT,__text) external _SQLBrowseConnectA
0000000283b33c84 (__TEXT,__text) external _SQLBrowseConnectW
0000000283b3349c (__TEXT,__text) non-external _SQLBrowseConnect_Internal
0000000283b47f84 (__TEXT,__text) external _SQLBulkOperations
0000000283b3c2cc (__TEXT,__text) external _SQLCancel
0000000283b484cc (__TEXT,__text) external _SQLCloseCursor
0000000283b479c4 (__TEXT,__text) external _SQLColAttribute
0000000283b47b6c (__TEXT,__text) external _SQLColAttributeA
0000000283b47d14 (__TEXT,__text) external _SQLColAttributeW
0000000283b47318 (__TEXT,__text) non-external _SQLColAttribute_Internal
0000000283b41f34 (__TEXT,__text) external _SQLColAttributes
0000000283b420dc (__TEXT,__text) external _SQLColAttributesA
0000000283b42284 (__TEXT,__text) external _SQLColAttributesW
0000000283b41aac (__TEXT,__text) non-external _SQLColAttributes_Internal
0000000283b2c920 (__TEXT,__text) external _SQLColumnPrivileges
0000000283b2cafc (__TEXT,__text) external _SQLColumnPrivilegesA
0000000283b2ccd8 (__TEXT,__text) external _SQLColumnPrivilegesW
0000000283b2c690 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
0000000283b2d144 (__TEXT,__text) external _SQLColumns
0000000283b2d320 (__TEXT,__text) external _SQLColumnsA
0000000283b2d4fc (__TEXT,__text) external _SQLColumnsW
0000000283b2ceb4 (__TEXT,__text) non-external _SQLColumns_Internal
0000000283b30df0 (__TEXT,__text) external _SQLConnect
0000000283b31580 (__TEXT,__text) external _SQLConnectA
0000000283b316e0 (__TEXT,__text) external _SQLConnectW
0000000283b30f50 (__TEXT,__text) non-external _SQLConnect_Internal
0000000283b5734c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
0000000283b4719c (__TEXT,__text) external _SQLCopyDesc
