000000018e04ecb9 (__TEXT,__const) non-external _DOWNCASE_TBL
000000018e04f7bc (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018e04f2bc (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018e04edbc (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018e04f6bc (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018e04f1bc (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018e039824 (__TEXT,__text) non-external _active_outbound_item_reset
000000018e03e424 (__TEXT,__text) non-external _add_hd_table_incremental
000000018e0421ec (__TEXT,__text) non-external _bubble_down
000000018e04216c (__TEXT,__text) non-external _bubble_up
000000018e039744 (__TEXT,__text) non-external _buf_chain_new
000000018e043484 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000018e0395e8 (__TEXT,__text) non-external _default_calloc
000000018e0399bc (__TEXT,__text) non-external _default_free
000000018e03968c (__TEXT,__text) non-external _default_malloc
000000018e039818 (__TEXT,__text) non-external _default_realloc
000000018e03de90 (__TEXT,__text) non-external _emit_indname_block
000000018e03e010 (__TEXT,__text) non-external _emit_string
000000018e040ccc (__TEXT,__text) non-external _emit_table_size
000000018e04520c (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018e03e760 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018e044824 (__TEXT,__text) non-external _free_streams
000000018e045998 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018e040b24 (__TEXT,__text) non-external _hd_context_free
000000018e03f000 (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018e041e84 (__TEXT,__text) non-external _hd_get_table_entry
000000018e03ff70 (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018e040030 (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018e03fe94 (__TEXT,__text) non-external _hd_inflate_read_huff
000000018e03fd90 (__TEXT,__text) non-external _hd_inflate_read_len
000000018e040bb4 (__TEXT,__text) non-external _hd_ringbuf_get
000000018e04ac78 (__TEXT,__const) non-external _huff_decode_table
000000018e04a470 (__TEXT,__const) non-external _huff_sym_table
