00007ff80e0499b0 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80e03b830 (__TEXT,__text) non-external _alone_decode
00007ff80e03bad8 (__TEXT,__text) non-external _alone_decoder_end
00007ff80e03baf9 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff80e03a949 (__TEXT,__text) non-external _alone_encode
00007ff80e03aa0d (__TEXT,__text) non-external _alone_encoder_end
00007ff80e03a7ea (__TEXT,__text) non-external _alone_encoder_init
00007ff80e045524 (__TEXT,__text) non-external _arm_code
00007ff80e0455eb (__TEXT,__text) non-external _armthumb_code
00007ff80e03bcbb (__TEXT,__text) non-external _auto_decode
00007ff80e03bdd7 (__TEXT,__text) non-external _auto_decoder_end
00007ff80e03bdf8 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff80e03bbdc (__TEXT,__text) non-external _auto_decoder_init
00007ff80e03be0f (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff80e03c0d3 (__TEXT,__text) non-external _block_decode
00007ff80e03c2f7 (__TEXT,__text) non-external _block_decoder_end
00007ff80e0359fc (__TEXT,__text) non-external _block_encode
00007ff80e03ac57 (__TEXT,__text) non-external _block_encode_normal
00007ff80e03ae12 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff80e039b13 (__TEXT,__text) non-external _block_encoder_end
00007ff80e033d4b (__TEXT,__text) non-external _block_encoder_init
00007ff80e03afa5 (__TEXT,__text) non-external _block_encoder_update
00007ff80e038924 (__TEXT,__text) non-external _bt_find_func
00007ff80e0369ac (__TEXT,__text) non-external _bt_skip_func
00007ff80e044e63 (__TEXT,__text) non-external _copy_or_code
00007ff80e03fd65 (__TEXT,__text) non-external _decode_buffer
00007ff80e03c752 (__TEXT,__text) non-external _decoder_find
00007ff8408dadd0 (__DATA_CONST,__const) non-external _decoders
00007ff80e0447b7 (__TEXT,__text) non-external _delta_coder_end
00007ff80e044992 (__TEXT,__text) non-external _delta_decode
00007ff80e04482c (__TEXT,__text) non-external _delta_encode
00007ff80e044941 (__TEXT,__text) non-external _delta_encoder_update
00007ff80e034340 (__TEXT,__text) non-external _encoder_find
00007ff8408dabd0 (__DATA_CONST,__const) non-external _encoders
00007ff80e045830 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
00007ff80e03c52a (__TEXT,__text) non-external _free_properties
00007ff80e038a8d (__TEXT,__text) non-external _get_literal_price
00007ff80e03d008 (__TEXT,__text) non-external _hash_append
00007ff80e03f285 (__TEXT,__text) non-external _hc_find_func
