00007ff84004b8a8 (__DATA,__data) non-external _C
00007ff840059118 (__DATA,__bss) non-external _EMSG
00007ff840059119 (__DATA,__bss) non-external _EMSG
00007ff84004e458 (__DATA,__bss) non-external _NXArgc_pointer
00007ff84004e450 (__DATA,__bss) non-external _NXArgv_pointer
00007ff800337b2c (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800337b63 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800337c6a (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800337c2b (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff840031270 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840031290 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840031338 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840031550 (__DATA_CONST,__const) non-external __C_time_locale
00007ff84004c080 (__DATA,__data) external __CurrentRuneLocale
00007ff84004c958 (__DATA,__constrw) external __DefaultRuneLocale
00007ff84004d5e0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff80033a19a (__TEXT,__text) non-external __EUC_free_extra
00007ff8003396d4 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff80033985a (__TEXT,__text) non-external __EUC_mbrtowc
00007ff80033a180 (__TEXT,__text) non-external __EUC_mbsinit
00007ff800339a07 (__TEXT,__text) non-external __EUC_wcrtomb
00007ff800361a64 (__TEXT,__text) external __Exit
00007ff80033a272 (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff80033a2a9 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff80033a4d7 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff80033a3f4 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff80033a4f0 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff80033a527 (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff80033a655 (__TEXT,__text) non-external __GB2312_mbsinit
00007ff80033a616 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff80033a66e (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff80033a6a5 (__TEXT,__text) non-external __GBK_mbrtowc
00007ff80033a7ac (__TEXT,__text) non-external __GBK_mbsinit
00007ff80033a76d (__TEXT,__text) non-external __GBK_wcrtomb
00007ff80033bdf2 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff80033be29 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff80033c04a (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff80033bf02 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff80031cc36 (__TEXT,__text) external __NSGetArgc
00007ff80031cc29 (__TEXT,__text) external __NSGetArgv
00007ff80031cc43 (__TEXT,__text) external __NSGetEnviron
00007ff80031cc5d (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff80031cc50 (__TEXT,__text) external __NSGetProgname
00007ff8400591e0 (__DATA,__common) external __PathLocale
00007ff80036a428 (__TEXT,__text) external __Read_RuneMagi
00007ff800361279 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff8003612c6 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff8003614a8 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff8003614c2 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800361422 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800361649 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff80033db2b (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff80033db78 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff80033de15 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff80033de2f (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff80033dd5e (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff80033dfb6 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff800329d93 (__TEXT,__text) external ___Balloc_D2A
00007ff800329ee3 (__TEXT,__text) external ___Bfree_D2A
00007ff80032e478 (__TEXT,__text) external ___ULtod_D2A
00007ff80031a71e (__TEXT,__text) external ____mb_cur_max
00007ff80031a74c (__TEXT,__text) external ____mb_cur_max_l
00007ff80033cbfa (__TEXT,__text) external ____runetype
00007ff80033cb4e (__TEXT,__text) external ____runetype_l
00007ff80033da34 (__TEXT,__text) external ____tolower
00007ff80033d98d (__TEXT,__text) external ____tolower_l
00007ff80033db03 (__TEXT,__text) external ____toupper
00007ff80033da5c (__TEXT,__text) external ____toupper_l
00007ff80037f81f (__TEXT,__text) non-external (was a private external) ___abort
