00007ffa17b1cf0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa17b1ceed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa17b12daa (__TEXT,__text) external _glAccum
00007ffa17b190e8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa17b1b7f7 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa17b15bf2 (__TEXT,__text) external _glActiveTexture
00007ffa17b1a4fa (__TEXT,__text) external _glActiveTextureARB
00007ffa17b12dc3 (__TEXT,__text) external _glAlphaFunc
00007ffa17b12ddc (__TEXT,__text) external _glAreTexturesResident
00007ffa17b12dfb (__TEXT,__text) external _glArrayElement
00007ffa17b1b04e (__TEXT,__text) external _glAttachObjectARB
00007ffa17b16fe6 (__TEXT,__text) external _glAttachShader
00007ffa17b12e14 (__TEXT,__text) external _glBegin
00007ffa17b17bcf (__TEXT,__text) external _glBeginConditionalRender
00007ffa17b1cdfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa17b167b4 (__TEXT,__text) external _glBeginQuery
00007ffa17b1ad77 (__TEXT,__text) external _glBeginQueryARB
00007ffa17b18ebd (__TEXT,__text) external _glBeginQueryIndexed
00007ffa17b17ae1 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa17b1c03a (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa17b174af (__TEXT,__text) external _glBindAttribLocation
00007ffa17b1b48a (__TEXT,__text) external _glBindAttribLocationARB
00007ffa17b16854 (__TEXT,__text) external _glBindBuffer
00007ffa17b1ae17 (__TEXT,__text) external _glBindBufferARB
00007ffa17b17b3b (__TEXT,__text) external _glBindBufferBase
00007ffa17b1c019 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa17b1bff5 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa17b17b14 (__TEXT,__text) external _glBindBufferRange
00007ffa17b1bfce (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa17b17f19 (__TEXT,__text) external _glBindFragDataLocation
00007ffa17b1c58a (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa17b18619 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa17b1775f (__TEXT,__text) external _glBindFramebuffer
00007ffa17b1bd64 (__TEXT,__text) external _glBindFramebufferEXT
00007ffa17b19ba9 (__TEXT,__text) external _glBindProgramARB
00007ffa17b19128 (__TEXT,__text) external _glBindProgramPipeline
00007ffa17b176a1 (__TEXT,__text) external _glBindRenderbuffer
00007ffa17b1bca6 (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa17b186b6 (__TEXT,__text) external _glBindSampler
00007ffa17b12e2d (__TEXT,__text) external _glBindTexture
00007ffa17b18dd8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa17b179a6 (__TEXT,__text) external _glBindVertexArray
00007ffa17b1caae (__TEXT,__text) external _glBindVertexArrayAPPLE
