00000001db862fe4 (__TEXT,__text) non-external _DiToMD5
00000001db863314 (__TEXT,__text) non-external _DiToSHA1
00000001db847354 (__TEXT,__text) external _DriverExecutableMain
00000001f2253090 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
00000001f2253350 (__AUTH_CONST,__const) external _IOCommandPool_Class
00000001f2253258 (__AUTH_CONST,__const) external _IOCommand_Class
00000001f2253448 (__AUTH_CONST,__const) external _IODMACommand_Class
00000001f22535f8 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001db843688 (__TEXT,__text) external _IODelay
00000001f22537a8 (__AUTH_CONST,__const) external _IODispatchQueue_Class
00000001f2253958 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001db8478d0 (__TEXT,__text) external _IODriverKitTest
00000001db8757b0 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001db8757e4 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001db875810 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001db875844 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001db875870 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001db87589c (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001db8758c8 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001db8758f4 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00000001f2253b08 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001f2253cb8 (__AUTH_CONST,__const) external _IOExtensiblePaniclog_Class
00000001db843654 (__TEXT,__text) external _IOFree
00000001db843678 (__TEXT,__text) external _IOFreeData
00000001db8478a0 (__TEXT,__text) external _IOGetExecutableSDKVersion
00000001f2254588 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
00000001f2253e98 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001db843694 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001db846894 (__TEXT,__text) external _IOLockAlloc
00000001db8468d4 (__TEXT,__text) external _IOLockAssert
00000001db8750bc (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001db8468b8 (__TEXT,__text) external _IOLockFree
00000001db8468c8 (__TEXT,__text) external _IOLockLock
00000001db8468cc (__TEXT,__text) external _IOLockTryLock
00000001db8468d0 (__TEXT,__text) external _IOLockUnlock
00000001db8434bc (__TEXT,__text) external _IOLog
00000001db843388 (__TEXT,__text) external _IOLogBuffer
00000001db8434e8 (__TEXT,__text) external _IOLogv
00000001db843614 (__TEXT,__text) external _IOMalloc
00000001db843658 (__TEXT,__text) external _IOMallocData
00000001db843628 (__TEXT,__text) external _IOMallocTyped
00000001db84363c (__TEXT,__text) external _IOMallocZero
00000001db84366c (__TEXT,__text) external _IOMallocZeroData
00000001db843648 (__TEXT,__text) external _IOMallocZeroTyped
00000001f2254048 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
00000001f22541f8 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001db843734 (__TEXT,__text) external _IOParseBootArgNumber
00000001db843bfc (__TEXT,__text) external _IOParseBootArgString
00000001db8458a0 (__TEXT,__text) external _IORPCMessageFromMach
