00007ffb08b35e91 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb08b35e25 (__TEXT,__text) non-external +[CBOR cborNil]
00007ffb08b35e5b (__TEXT,__text) non-external +[CBOR cborTrue]
00007ffb08b358fb (__TEXT,__text) non-external +[CBOR cborWithArray:]
00007ffb08b35a8d (__TEXT,__text) non-external +[CBOR cborWithData:]
00007ffb08b35cf9 (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
00007ffb08b3599b (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
00007ffb08b35a3b (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
00007ffb08b3587d (__TEXT,__text) non-external +[CBOR cborWithDouble:]
00007ffb08b35ec7 (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
00007ffb08b357ff (__TEXT,__text) non-external +[CBOR cborWithFloat:]
00007ffb08b35bcd (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
00007ffb08b35781 (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
00007ffb08b35614 (__TEXT,__text) non-external +[CBOR cborWithInteger:]
00007ffb08b35b2d (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
00007ffb08b356d2 (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
00007ffb08b319e1 (__TEXT,__text) non-external +[CBOR decodeFromBytes:length:recursionLevel:keepKeyOrdering:]
00007ffb08b328b0 (__TEXT,__text) non-external +[CBOR decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:]
00007ffb08b32fe8 (__TEXT,__text) non-external +[CBOR decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:]
00007ffb08b33460 (__TEXT,__text) non-external +[CBOR decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:]
00007ffb08b2fe60 (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
00007ffb08b3043a (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
00007ffb08b303f6 (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
