000000018030b3e4 (__TEXT,__text) external _NSAddImage
000000018030b1a4 (__TEXT,__text) external _NSAddLibrary
000000018030b2c4 (__TEXT,__text) external _NSAddLibraryWithSearching
0000000180309308 (__TEXT,__text) external _NSAddressOfSymbol
000000018030b524 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
0000000180308dec (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
000000018030b650 (__TEXT,__text) external _NSDestroyObjectFileImage
000000018030908c (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
000000018030a500 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
000000018030bc20 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
000000018030a85c (__TEXT,__text) external _NSIsSymbolNameDefined
000000018030aaa8 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
000000018030a97c (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
000000018030a73c (__TEXT,__text) external _NSLibraryNameForModule
000000018030bd4c (__TEXT,__text) external _NSLinkEditError
0000000180308f48 (__TEXT,__text) external _NSLinkModule
000000018030abd4 (__TEXT,__text) external _NSLookupAndBindSymbol
000000018030acf4 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
000000018030ae20 (__TEXT,__text) external _NSLookupSymbolInImage
00000001803091dc (__TEXT,__text) external _NSLookupSymbolInModule
000000018030b084 (__TEXT,__text) external _NSModuleForSymbol
000000018030a61c (__TEXT,__text) external _NSNameOfModule
000000018030af64 (__TEXT,__text) external _NSNameOfSymbol
000000018030b770 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
000000018030b890 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
000000018030b9bc (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
000000018030badc (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
000000018030bebc (__TEXT,__text) external _NSUnLinkModule
00000001802f7830 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00000001802f9d28 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001eb7414d0 (__DATA_DIRTY,__common) external _NXArgc
00000001eb7414d8 (__DATA_DIRTY,__common) external _NXArgv
0000000180309f0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180314604 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180319cb8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001803222fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180327860 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180309f20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180314618 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180319ccc (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180322310 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180327874 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180309f34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018031462c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180327888 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180314640 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000018032789c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000180314654 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001803278b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001803278c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001803278d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libsystem_sandbox)
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00000001802f5198 (__TEXT,__text) external __NSGetExecutablePath
                 (undefined) external __NSGetMachExecuteHeader (from libsystem_c)
000000018030d850 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
0000000180307c4c (__TEXT,__text) non-external (was a private external) __Z21_dyld_fast_stub_entryPvl
0000000180307d48 (__TEXT,__text) non-external (was a private external) __Z21dyldGlobalLockAcquirev
0000000180307d78 (__TEXT,__text) non-external (was a private external) __Z21dyldGlobalLockReleasev
0000000180310550 (__TEXT,__text) non-external (was a private external) __Z23setNotifyMonitoringDyldPFvbjPPK11mach_headerPPKcE
0000000180310544 (__TEXT,__text) non-external (was a private external) __Z27setNotifyMonitoringDyldMainPFvvE
0000000180307ab8 (__TEXT,__text) non-external __ZL11names_matchPKcS0_
00000001eb741098 (__DATA_DIRTY,__data) non-external __ZL12sGlobalMutex
000000018030c8a8 (__TEXT,__text) non-external __ZL14isLaunchdOwnedv
000000018030c91c (__TEXT,__text) non-external __ZL15dlopen_internalPKciPv
000000018030c878 (__TEXT,__text) non-external __ZL16cxa_atexit_thunkPFvPvES_S_
00000001df33c300 (__DATA,__bss) non-external __ZL19dlerrorPerThreadKey
000000018030d180 (__TEXT,__text) non-external __ZL20findCacheInDirAndMapPKhPKc
000000018030c8a0 (__TEXT,__text) non-external __ZL20shared_cache_missingv
00000001eb741680 (__DATA_DIRTY,__bss) non-external __ZL21sNotifyMonitoringDyld
000000018030c8a4 (__TEXT,__text) non-external __ZL24shared_cache_out_of_datev
00000001eb741678 (__DATA_DIRTY,__bss) non-external __ZL25sNotifyMonitoringDyldMain
000000018030a4a0 (__TEXT,__text) non-external __ZL27dyld_func_lookup_and_resignIFvPKcEEvS1_PU9__ptrauthILj1ELb1ELj0EEPT_
0000000180307d94 (__TEXT,__text) non-external __ZL29getPerThreadBufferFor_dlerrorm
0000000180307d08 (__TEXT,__text) non-external __ZL29hasPerThreadBufferFor_dlerrorv
00000001df33c2f8 (__DATA,__bss) non-external __ZL30dlerrorPerThreadKeyInitialized
00000001df33c108 (__DATA,__objc_ranges) non-external __ZL30gSharedCacheObjCConstantRanges
00000001eb7415e0 (__DATA_DIRTY,__bss) non-external __ZL8gObjCOpt
00000001df33c040 (__DATA,__data) non-external __ZL8sHelpers
0000000180307a78 (__TEXT,__text) non-external (was a private external) __ZN10LockHelperC1Ev
0000000180307b98 (__TEXT,__text) non-external (was a private external) __ZN10LockHelperD1Ev
0000000180310674 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00000001803106a4 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcPc
00000001803056d8 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00000001802f2b70 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00000001802f2d4c (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
000000018030d730 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
000000018030d698 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
000000018030d68c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
000000018030d820 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00000001802fd840 (__TEXT,__text) non-external __ZN12_GLOBAL__N_111ImageNumSet3addEj
0000000180310ed4 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache21DataConstScopedWriterC1EPKS_jPFvPKczE
0000000180310e20 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache25DataConstLazyScopedWriter13makeWriteableEv
0000000180310d64 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache25DataConstLazyScopedWriterC1EPKS_jPFvPKczE
0000000180310e1c (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache25DataConstLazyScopedWriterD1Ev
0000000180310d78 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache25DataConstLazyScopedWriterD2Ev
000000018030de98 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
000000018030e928 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_Pi
000000018030f36c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_Pi
000000018030df30 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
000000018030db38 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
000000018030dc84 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base29addInfoFromRemoteLoadCommandsEjy
000000018030e328 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_3218dyld_image_info_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
