000000018244b868 (__DATA,__data) external _NDR_record
000000018036ce78 (__TEXT,__text) non-external __Xexception_raise
000000018036cca0 (__TEXT,__text) non-external __Xexception_raise_state
000000018036ca70 (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180355dec (__TEXT,__text) external _____sigwait_nocancel
00000001803859a8 (__TEXT,__const) external ____kernelVersionNumber
0000000180385970 (__TEXT,__const) external ____kernelVersionString
0000000180355e18 (__TEXT,__text) external ___abort_with_payload
0000000180355e44 (__TEXT,__text) external ___accept
0000000180355e70 (__TEXT,__text) external ___accept_nocancel
0000000180355e9c (__TEXT,__text) external ___access_extended
0000000180355ec8 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180355ef4 (__TEXT,__text) external ___bind
0000000180355f20 (__TEXT,__text) external ___bsdthread_create
0000000180355f4c (__TEXT,__text) external ___bsdthread_ctl
0000000180355f78 (__TEXT,__text) external ___bsdthread_register
0000000180355fa4 (__TEXT,__text) external ___bsdthread_terminate
000000018036bcf4 (__TEXT,__text) external ___carbon_delete
0000000180355fd0 (__TEXT,__text) external ___channel_get_info
0000000180355ffc (__TEXT,__text) external ___channel_get_opt
0000000180356028 (__TEXT,__text) external ___channel_open
0000000180356054 (__TEXT,__text) external ___channel_set_opt
0000000180356080 (__TEXT,__text) external ___channel_sync
00000001803560ac (__TEXT,__text) external ___chmod
00000001803560d8 (__TEXT,__text) external ___chmod_extended
0000000180356104 (__TEXT,__text) external ___close_nocancel
0000000180356130 (__TEXT,__text) external ___coalition
000000018035615c (__TEXT,__text) external ___coalition_info
0000000180356188 (__TEXT,__text) external ___coalition_ledger
000000018035dee0 (__TEXT,__text) external ___commpage_gettimeofday
000000018035dee8 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001803561b4 (__TEXT,__text) external ___connect
00000001803561e0 (__TEXT,__text) external ___connect_nocancel
000000018035620c (__TEXT,__text) external ___copyfile
0000000180356238 (__TEXT,__text) external ___csrctl
0000000180363624 (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180356264 (__TEXT,__text) external ___debug_syscall_reject
0000000180356290 (__TEXT,__text) external ___debug_syscall_reject_config
00000001803562bc (__TEXT,__text) external ___delete
00000001803562e8 (__TEXT,__text) external ___disable_threadsignal
000000018035e6c8 (__TEXT,__text) external ___error
0000000180356314 (__TEXT,__text) external ___execve
0000000180356340 (__TEXT,__text) external ___exit
000000018035636c (__TEXT,__text) external ___fchmod
0000000180356398 (__TEXT,__text) external ___fchmod_extended
00000001803563c4 (__TEXT,__text) external ___fcntl
00000001803563f0 (__TEXT,__text) external ___fcntl_nocancel
000000018035641c (__TEXT,__text) external ___fork
0000000180356468 (__TEXT,__text) external ___fs_snapshot
0000000180356494 (__TEXT,__text) external ___fstat64_extended
00000001803564c0 (__TEXT,__text) external ___fstat_extended
00000001803564ec (__TEXT,__text) external ___fsync_nocancel
000000018036983c (__TEXT,__text) external ___get_remove_counter
0000000180356518 (__TEXT,__text) external ___getattrlist
0000000180356544 (__TEXT,__text) external ___getdirentries64
0000000180356570 (__TEXT,__text) external ___gethostuuid
000000018035659c (__TEXT,__text) external ___getlogin
00000001803565c8 (__TEXT,__text) external ___getpeername
00000001803565f4 (__TEXT,__text) external ___getpid
0000000180356644 (__TEXT,__text) external ___getrlimit
0000000180356670 (__TEXT,__text) external ___getsgroups
000000018035669c (__TEXT,__text) external ___getsockname
00000001803566c8 (__TEXT,__text) external ___gettid
0000000180356720 (__TEXT,__text) external ___gettimeofday
00000001803566f4 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180356750 (__TEXT,__text) external ___getwgroups
000000018035677c (__TEXT,__text) external ___guarded_open_dprotected_np
00000001803567a8 (__TEXT,__text) external ___guarded_open_np
00000001803567d4 (__TEXT,__text) external ___identitysvc
0000000180369850 (__TEXT,__text) external ___inc_remove_counter
0000000180356800 (__TEXT,__text) external ___initgroups
000000018035682c (__TEXT,__text) external ___ioctl
0000000180356858 (__TEXT,__text) external ___iopolicysys
0000000180356884 (__TEXT,__text) external ___kdebug_trace
00000001803568b0 (__TEXT,__text) external ___kdebug_trace64
00000001803568dc (__TEXT,__text) external ___kdebug_trace_string
0000000180356908 (__TEXT,__text) external ___kdebug_typefilter
0000000180385a18 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001803859e0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180356934 (__TEXT,__text) external ___kill
0000000180356960 (__TEXT,__text) external ___kqueue_workloop_ctl
000000018035698c (__TEXT,__text) external ___lchown
000000018035adf8 (__TEXT,__text) external ___libkernel_init
000000018035ae74 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000018035ae70 (__TEXT,__text) external ___libkernel_init_late
000000018035ac34 (__TEXT,__text) external ___libkernel_platform_init
000000018035ac58 (__TEXT,__text) external ___libkernel_voucher_init
00000001803569b8 (__TEXT,__text) external ___listen
00000001803569e4 (__TEXT,__text) external ___log_data
0000000180356a10 (__TEXT,__text) external ___lseek
0000000180356a3c (__TEXT,__text) external ___lstat64_extended
0000000180356a68 (__TEXT,__text) external ___lstat_extended
0000000180356a94 (__TEXT,__text) external ___mac_execve
0000000180356ac0 (__TEXT,__text) external ___mac_get_fd
0000000180356aec (__TEXT,__text) external ___mac_get_file
0000000180356b18 (__TEXT,__text) external ___mac_get_link
0000000180356b44 (__TEXT,__text) external ___mac_get_mount
0000000180356b70 (__TEXT,__text) external ___mac_get_pid
0000000180356b9c (__TEXT,__text) external ___mac_get_proc
0000000180356bc8 (__TEXT,__text) external ___mac_getfsstat
0000000180356bf4 (__TEXT,__text) external ___mac_mount
0000000180356c20 (__TEXT,__text) external ___mac_set_fd
0000000180356c4c (__TEXT,__text) external ___mac_set_file
0000000180356c78 (__TEXT,__text) external ___mac_set_link
0000000180356ca4 (__TEXT,__text) external ___mac_set_proc
0000000180356cd0 (__TEXT,__text) external ___mac_syscall
0000000180356cfc (__TEXT,__text) external ___mach_bridge_remote_time
0000000180356d28 (__TEXT,__text) external ___mach_eventlink_signal
0000000180356d54 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
0000000180356d80 (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180356dac (__TEXT,__text) external ___map_with_linking_np
0000000180356dd8 (__TEXT,__text) external ___memorystatus_available_memory
