000000018f80f6a0 (__TEXT,__const) non-external _KW_ANY
000000018f80f625 (__TEXT,__const) non-external _KW_ATTLIST
000000018f80f653 (__TEXT,__const) non-external _KW_CDATA
000000018f80f608 (__TEXT,__const) non-external _KW_DOCTYPE
000000018f80f62d (__TEXT,__const) non-external _KW_ELEMENT
000000018f80f69a (__TEXT,__const) non-external _KW_EMPTY
000000018f80f669 (__TEXT,__const) non-external _KW_ENTITIES
000000018f80f61e (__TEXT,__const) non-external _KW_ENTITY
000000018f80f694 (__TEXT,__const) non-external _KW_FIXED
000000018f80f659 (__TEXT,__const) non-external _KW_ID
000000018f80f65c (__TEXT,__const) non-external _KW_IDREF
000000018f80f662 (__TEXT,__const) non-external _KW_IDREFS
000000018f80f646 (__TEXT,__const) non-external _KW_IGNORE
000000018f80f683 (__TEXT,__const) non-external _KW_IMPLIED
000000018f80f63e (__TEXT,__const) non-external _KW_INCLUDE
000000018f80fdb0 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018f80f64d (__TEXT,__const) non-external _KW_NDATA
000000018f80f672 (__TEXT,__const) non-external _KW_NMTOKEN
000000018f80f67a (__TEXT,__const) non-external _KW_NMTOKENS
000000018f80f635 (__TEXT,__const) non-external _KW_NOTATION
000000018f80f6a4 (__TEXT,__const) non-external _KW_PCDATA
000000018f80f617 (__TEXT,__const) non-external _KW_PUBLIC
000000018f80f68b (__TEXT,__const) non-external _KW_REQUIRED
000000018f80f610 (__TEXT,__const) non-external _KW_SYSTEM
000000018f80fdbb (__TEXT,__const) non-external _KW_US_ASCII
000000018f80fdca (__TEXT,__const) non-external _KW_UTF_16
000000018f80fdd1 (__TEXT,__const) non-external _KW_UTF_16BE
000000018f80fdda (__TEXT,__const) non-external _KW_UTF_16LE
000000018f80fdc4 (__TEXT,__const) non-external _KW_UTF_8
000000018f80fdf1 (__TEXT,__const) non-external _KW_encoding
000000018f80fe09 (__TEXT,__const) non-external _KW_no
000000018f80fdfa (__TEXT,__const) non-external _KW_standalone
000000018f80fde9 (__TEXT,__const) non-external _KW_version
000000018f80fe05 (__TEXT,__const) non-external _KW_yes
000000018f7f89a4 (__TEXT,__text) external _XML_DefaultCurrent
000000018f7f8ad4 (__TEXT,__text) external _XML_ErrorString
000000018f7f8af8 (__TEXT,__text) external _XML_ExpatVersion
000000018f7f8b04 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018f7f71bc (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018f7f8950 (__TEXT,__text) external _XML_FreeContentModel
000000018f7f7e58 (__TEXT,__text) external _XML_GetBase
000000018f7f81ec (__TEXT,__text) external _XML_GetBuffer
000000018f7f8834 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018f7f8810 (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018f7f88f8 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018f7f889c (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018f7f87fc (__TEXT,__text) external _XML_GetErrorCode
000000018f7f8b14 (__TEXT,__text) external _XML_GetFeatureList
00000001dfecd1f8 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018f7f7e78 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018f7f885c (__TEXT,__text) external _XML_GetInputContext
000000018f7f87d4 (__TEXT,__text) external _XML_GetParsingStatus
000000018f80f3cc (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018f7f7e64 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018f7f8990 (__TEXT,__text) external _XML_MemFree
000000018f7f8964 (__TEXT,__text) external _XML_MemMalloc
000000018f7f8978 (__TEXT,__text) external _XML_MemRealloc
000000018f7f8050 (__TEXT,__text) external _XML_Parse
000000018f80f3a0 (__TEXT,__text) non-external _XML_Parse.cold.1
000000018f7f8424 (__TEXT,__text) external _XML_ParseBuffer
000000018f7f694c (__TEXT,__text) external _XML_ParserCreate
000000018f7f6964 (__TEXT,__text) external _XML_ParserCreateNS
000000018f7f695c (__TEXT,__text) external _XML_ParserCreate_MM
000000018f7f7908 (__TEXT,__text) external _XML_ParserFree
000000018f7f6bfc (__TEXT,__text) external _XML_ParserReset
000000018f7f86e8 (__TEXT,__text) external _XML_ResumeParser
000000018f7f7fd0 (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018f7f7da4 (__TEXT,__text) external _XML_SetBase
000000018f7f8b50 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018f7f8b20 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018f7f7ed4 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018f7f7eb0 (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018f7f7ec8 (__TEXT,__text) external _XML_SetCommentHandler
000000018f7f7ef8 (__TEXT,__text) external _XML_SetDefaultHandler
000000018f7f7f08 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018f7f7f1c (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018f7f7fc4 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018f7f7e8c (__TEXT,__text) external _XML_SetElementHandler
000000018f7f70e8 (__TEXT,__text) external _XML_SetEncoding
000000018f7f7eec (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018f7f7f34 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018f7f7ea4 (__TEXT,__text) external _XML_SetEndElementHandler
000000018f7f7f70 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018f7f7fdc (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018f7f7f88 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018f7f7f94 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018f7f801c (__TEXT,__text) external _XML_SetHashSalt
000000018f7f7f58 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018f7f7f7c (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018f7f7f4c (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018f7f7ff4 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018f7f7ebc (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018f7f8b70 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
000000018f7f7d5c (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018f7f7fa8 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018f7f7ee0 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018f7f7f28 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018f7f7e98 (__TEXT,__text) external _XML_SetStartElementHandler
000000018f7f7f64 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018f7f7fb4 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018f7f7f40 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018f7f7d84 (__TEXT,__text) external _XML_SetUserData
000000018f7f7fe8 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018f7f8674 (__TEXT,__text) external _XML_StopParser
000000018f7f7d28 (__TEXT,__text) external _XML_UseForeignDTD
000000018f7f7d1c (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018f802624 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018f802bc8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018f802618 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018f802bbc (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018f802630 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018f802bd4 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018f802098 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018f802df8 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018f80275c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018f802c90 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018f7ffe30 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018f7fff70 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018f802090 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018f802040 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018f801f84 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018f801ed8 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018f7fa6e4 (__TEXT,__text) non-external _accountingDiffTolerated
000000018f80f424 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018f7fc364 (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018f80f450 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018f7fc3a8 (__TEXT,__text) non-external _accountingReportStats
000000018f7fe94c (__TEXT,__text) non-external _addBinding
000000018f810af1 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018f810b16 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018f7fee38 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001e74be5e0 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001e74beef0 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018f80b11c (__TEXT,__text) non-external _ascii_toUtf8
000000018f800604 (__TEXT,__text) non-external _attlist0
000000018f800ff0 (__TEXT,__text) non-external _attlist1
000000018f801094 (__TEXT,__text) non-external _attlist2
00000001dfecdc28 (__DATA_CONST,__const) non-external _attlist2.types
000000018f801354 (__TEXT,__text) non-external _attlist3
000000018f8014e8 (__TEXT,__text) non-external _attlist4
000000018f801300 (__TEXT,__text) non-external _attlist5
000000018f80141c (__TEXT,__text) non-external _attlist6
000000018f80147c (__TEXT,__text) non-external _attlist7
000000018f8011c0 (__TEXT,__text) non-external _attlist8
000000018f8013bc (__TEXT,__text) non-external _attlist9
000000018f80c90c (__TEXT,__text) non-external _big2_attributeValueTok
000000018f80c49c (__TEXT,__text) non-external _big2_cdataSectionTok
000000018f80d150 (__TEXT,__text) non-external _big2_charRefNumber
000000018f80e530 (__TEXT,__text) non-external _big2_checkPiTarget
000000018f80b948 (__TEXT,__text) non-external _big2_contentTok
00000001e74be240 (__AUTH_CONST,__const) non-external _big2_encoding
00000001e74beb50 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018f80ca78 (__TEXT,__text) non-external _big2_entityValueTok
000000018f80cd2c (__TEXT,__text) non-external _big2_getAtts
000000018f80c73c (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018f80d484 (__TEXT,__text) non-external _big2_isPublicId
000000018f80cc48 (__TEXT,__text) non-external _big2_nameLength
000000018f80cbfc (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018f80d228 (__TEXT,__text) non-external _big2_predefinedEntityName
000000018f80b168 (__TEXT,__text) non-external _big2_prologTok
000000018f80e900 (__TEXT,__text) non-external _big2_scanAtts
000000018f80fde3 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018f80e394 (__TEXT,__text) non-external _big2_scanComment
000000018f80d8d0 (__TEXT,__text) non-external _big2_scanDecl
000000018f80d754 (__TEXT,__text) non-external _big2_scanLit
000000018f80dec0 (__TEXT,__text) non-external _big2_scanPercent
000000018f80da5c (__TEXT,__text) non-external _big2_scanPi
000000018f80e130 (__TEXT,__text) non-external _big2_scanPoundName
000000018f80e5cc (__TEXT,__text) non-external _big2_scanRef
000000018f80cce8 (__TEXT,__text) non-external _big2_skipS
000000018f80d6cc (__TEXT,__text) non-external _big2_toUtf16
000000018f80d538 (__TEXT,__text) non-external _big2_toUtf8
000000018f80d380 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
000000018f7f8584 (__TEXT,__text) non-external _callProcessor
000000018f7fe754 (__TEXT,__text) non-external _cdataSectionProcessor
000000018f802320 (__TEXT,__text) non-external _checkCharRefNumber
000000018f800c44 (__TEXT,__text) non-external _condSect0
000000018f800d20 (__TEXT,__text) non-external _condSect1
000000018f800d90 (__TEXT,__text) non-external _condSect2
000000018f7fb068 (__TEXT,__text) non-external _contentProcessor
000000018f7ffc74 (__TEXT,__text) non-external _copyEntityTable
000000018f7f715c (__TEXT,__text) non-external _copyString
000000018f800ac4 (__TEXT,__text) non-external _declClose
000000018f7fb400 (__TEXT,__text) non-external _defineAttribute
000000018f7fe470 (__TEXT,__text) non-external _doCdataSection
000000018f7fc75c (__TEXT,__text) non-external _doContent
000000018f7fbc04 (__TEXT,__text) non-external _doIgnoreSection
000000018f8027b8 (__TEXT,__text) non-external _doParseXmlDecl
000000018f7f8edc (__TEXT,__text) non-external _doProlog
000000018f80f59b (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018f80f5b8 (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018f80f5b1 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018f80f5a1 (__TEXT,__const) non-external _doProlog.atypeID
000000018f80f5a4 (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018f80f5aa (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018f80f5c1 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018f80f5c9 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018f80f3f8 (__TEXT,__text) non-external _doProlog.cold.1
000000018f8109e6 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018f8109e8 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018f8109dc (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018f8000b0 (__TEXT,__text) non-external _doctype0
000000018f80011c (__TEXT,__text) non-external _doctype1
000000018f800534 (__TEXT,__text) non-external _doctype2
000000018f8004d4 (__TEXT,__text) non-external _doctype3
000000018f801e5c (__TEXT,__text) non-external _doctype4
000000018f80072c (__TEXT,__text) non-external _doctype5
000000018f800668 (__TEXT,__text) non-external _element0
000000018f801554 (__TEXT,__text) non-external _element1
000000018f801678 (__TEXT,__text) non-external _element2
000000018f8017dc (__TEXT,__text) non-external _element3
000000018f801b30 (__TEXT,__text) non-external _element4
000000018f801b94 (__TEXT,__text) non-external _element5
000000018f80188c (__TEXT,__text) non-external _element6
000000018f8019ac (__TEXT,__text) non-external _element7
00000001dfecdc98 (__DATA_CONST,__const) non-external _encodings
00000001dfecdcd0 (__DATA_CONST,__const) non-external _encodingsNS
000000018f800594 (__TEXT,__text) non-external _entity0
000000018f80078c (__TEXT,__text) non-external _entity1
000000018f800b38 (__TEXT,__text) non-external _entity10
000000018f8007ec (__TEXT,__text) non-external _entity2
000000018f800e50 (__TEXT,__text) non-external _entity3
000000018f800df0 (__TEXT,__text) non-external _entity4
000000018f800eb0 (__TEXT,__text) non-external _entity5
000000018f800f88 (__TEXT,__text) non-external _entity6
000000018f8008f8 (__TEXT,__text) non-external _entity7
000000018f800a64 (__TEXT,__text) non-external _entity8
000000018f800a04 (__TEXT,__text) non-external _entity9
000000018f7fc130 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018f7ff534 (__TEXT,__text) non-external _entityTrackingReportStats
000000018f80f47c (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018f7ff85c (__TEXT,__text) non-external _entityValueInitProcessor
000000018f7ffb40 (__TEXT,__text) non-external _entityValueProcessor
000000018f7fe26c (__TEXT,__text) non-external _epilogProcessor
000000018f800114 (__TEXT,__text) non-external _error
000000018f7f866c (__TEXT,__text) non-external _errorProcessor
000000018f7fedd4 (__TEXT,__text) non-external _externalEntityContentProcessor
000000018f7f7b70 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018f7ff630 (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018f7ff74c (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018f7f7bec (__TEXT,__text) non-external _externalParEntInitProcessor
000000018f7ffa0c (__TEXT,__text) non-external _externalParEntProcessor
000000018f7fff88 (__TEXT,__text) non-external _externalSubset0
000000018f800bb4 (__TEXT,__text) non-external _externalSubset1
000000018f802ab0 (__TEXT,__text) non-external _findEncoding
