00007ffd430e4198 (__DATA,__bss) non-external _A
00007ffd430e3f60 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffd430e3de8 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffd430e3de0 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffd430e3de4 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffd430e41a0 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffd430e41a8 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffd430e41b0 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffd430e41ac (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffd430e4150 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffd0a1a53a0 (__TEXT,__const) non-external _HREF_SAFE
00007ffd0a1a3710 (__TEXT,__const) non-external _HTML_ESCAPES.rel
00007ffd0a1a3730 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffd0a1a52a0 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffd0a199782 (__TEXT,__text) non-external _S_advance_offset
00007ffd0a18aeaa (__TEXT,__text) non-external _S_blankline
00007ffd0a19a252 (__TEXT,__text) non-external _S_can_contain
00007ffd0a18ae97 (__TEXT,__text) non-external _S_cr
00007ffd0a199829 (__TEXT,__text) non-external _S_find_first_nonspace
00007ffd0a18ce0c (__TEXT,__text) non-external _S_get_enumlevel
00007ffd0a19a1a1 (__TEXT,__text) non-external _S_node_unlink
00007ffd0a18aebd (__TEXT,__text) non-external _S_out
00007ffd0a18943a (__TEXT,__text) non-external _S_outc
00007ffd0a197e12 (__TEXT,__text) non-external _S_parser_feed
00007ffd0a1a5270 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffd0a19b674 (__TEXT,__text) non-external _S_print_error
00007ffd0a19853d (__TEXT,__text) non-external _S_process_line
00007ffd0a1a2b19 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffd0a1a2b3c (__TEXT,__text) non-external _S_process_line.cold.2
00007ffd0a1a2b5f (__TEXT,__text) non-external _S_process_line.cold.3
00007ffd0a188d40 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffd0a187074 (__TEXT,__text) non-external _S_render_node
00007ffd0a189524 (__TEXT,__text) non-external _S_render_node
00007ffd0a18c77c (__TEXT,__text) non-external _S_render_node
00007ffd0a19ff4f (__TEXT,__text) non-external _S_render_node
00007ffd0a1a27d0 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd0a1a2958 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd0a1a2a07 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffd0a1a33ee (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd0a199e90 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd0a199eb0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffd0a18b24f (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffd0a18d014 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffd0a1959db (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffd0a1a4d70 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffd0a18e387 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffd0a1a3e70 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffd0a18d96a (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffd0a1a3d70 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffd0a195fac (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffd0a1a5070 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffd0a196a93 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffd0a1960d3 (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffd0a196d53 (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffd0a1a5170 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffd0a193aa6 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffd0a1a4670 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffd0a194545 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffd0a1a4770 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffd0a19496a (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffd0a1a4870 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffd0a194cf8 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffd0a1a4970 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffd0a194fae (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffd0a1a4a70 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffd0a191f5a (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffd0a193478 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffd0a1a4570 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffd0a191d09 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffd0a1a4470 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffd0a1917c0 (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffd0a1a4170 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffd0a191bcb (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffd0a1a4370 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffd0a19195e (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffd0a1a4270 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffd0a190ef0 (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffd0a1a3f70 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffd0a191509 (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffd0a1a4070 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffd0a1953d3 (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffd0a1a4b70 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffd0a195c55 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffd0a1a4f70 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffd0a18d05c (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffd0a195b02 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffd0a1a4e70 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffd0a1959b3 (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffd0a1a4c70 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffd0a18b4af (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffd0a1a3a30 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffd0a18b71c (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffd0a18b740 (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffd0a1a3b30 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffd0a18b298 (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffd0a1a3930 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffd0a18b7cf (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffd0a1a3c30 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffd0a199661 (__TEXT,__text) non-external _add_child
00007ffd0a1a2b82 (__TEXT,__text) non-external _add_child.cold.1
00007ffd0a199d54 (__TEXT,__text) non-external _add_line
00007ffd0a1a2beb (__TEXT,__text) non-external _add_line.cold.1
00007ffd0a19f2da (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffd0a1a23a4 (__TEXT,__text) non-external _alloc_arena_chunk
00007ffd0a1a24ee (__TEXT,__text) non-external _arena_calloc
00007ffd0a1a25fb (__TEXT,__text) non-external _arena_free
00007ffd430e4158 (__DATA,__bss) non-external _arena_lock
00007ffd430e3f50 (__DATA,__data) non-external _arena_once
00007ffd0a1a25b5 (__TEXT,__text) non-external _arena_realloc
00007ffd0a18a8e3 (__TEXT,__text) non-external _autolink_delim
00007ffd41670ed0 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
00007ffd0a189208 (__TEXT,__text) non-external _can_contain
