                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
0000000285680cc0 (__TEXT,__text) non-external _sbuf_extend
0000000285680de8 (__TEXT,__text) non-external _sbuf_put_byte
00000002856809d0 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00000002856809a0 (__TEXT,__text) external _usbuf_bcat
0000000285680ac4 (__TEXT,__text) external _usbuf_bcpy
0000000285680b0c (__TEXT,__text) external _usbuf_cat
0000000285680854 (__TEXT,__text) external _usbuf_clear
0000000285680828 (__TEXT,__text) external _usbuf_clear_flags
0000000285680898 (__TEXT,__text) external _usbuf_count_drain
0000000285680b54 (__TEXT,__text) external _usbuf_cpy
0000000285681038 (__TEXT,__text) external _usbuf_data
0000000285681068 (__TEXT,__text) external _usbuf_delete
00000002856810d0 (__TEXT,__text) external _usbuf_done
00000002856808b4 (__TEXT,__text) external _usbuf_drain
0000000285681114 (__TEXT,__text) external _usbuf_end_section
0000000285680f94 (__TEXT,__text) external _usbuf_error
0000000285680f9c (__TEXT,__text) external _usbuf_finish
0000000285680820 (__TEXT,__text) external _usbuf_get_flags
00000002856804b8 (__TEXT,__text) external _usbuf_hexdump
0000000285681040 (__TEXT,__text) external _usbuf_len
0000000285680710 (__TEXT,__text) external _usbuf_new
0000000285680e8c (__TEXT,__text) external _usbuf_nl_terminate
0000000285680d88 (__TEXT,__text) external _usbuf_printf
00000002856806b4 (__TEXT,__text) external _usbuf_printf_drain
0000000285680684 (__TEXT,__text) external _usbuf_putbuf
0000000285680db4 (__TEXT,__text) external _usbuf_putc
00000002856808ac (__TEXT,__text) external _usbuf_set_drain
0000000285680840 (__TEXT,__text) external _usbuf_set_flags
0000000285680870 (__TEXT,__text) external _usbuf_setpos
00000002856810dc (__TEXT,__text) external _usbuf_start_section
0000000285680eec (__TEXT,__text) external _usbuf_trim
0000000285680bb4 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
