00007ffb1c73b4bc (__TEXT,__text) non-external _Done_iODBC
00007ffb1c7592b0 (__TEXT,__const) non-external _FunctionNumbers
00007ffb1c75828b (__TEXT,__text) non-external _GetPrivateProfileString
00007ffb1c73b39e (__TEXT,__text) non-external _Init_iODBC
00007ffb42aa281c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffb1c739a2f (__TEXT,__text) external _SQLAllocConnect
00007ffb1c739924 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffb1c73b329 (__TEXT,__text) external _SQLAllocEnv
00007ffb1c73b17b (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffb1c745a48 (__TEXT,__text) external _SQLAllocHandle
00007ffb1c745b3d (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffb1c7457bc (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffb1c73e4dd (__TEXT,__text) external _SQLAllocStmt
00007ffb1c73df51 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffb1c74364d (__TEXT,__text) external _SQLBindCol
00007ffb1c74bb58 (__TEXT,__text) external _SQLBindParam
00007ffb1c74291b (__TEXT,__text) external _SQLBindParameter
00007ffb1c736802 (__TEXT,__text) external _SQLBrowseConnect
00007ffb1c73696d (__TEXT,__text) external _SQLBrowseConnectA
00007ffb1c736ad8 (__TEXT,__text) external _SQLBrowseConnectW
00007ffb1c73618f (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffb1c74b633 (__TEXT,__text) external _SQLBulkOperations
00007ffb1c73f404 (__TEXT,__text) external _SQLCancel
00007ffb1c74bb84 (__TEXT,__text) external _SQLCloseCursor
00007ffb1c74b004 (__TEXT,__text) external _SQLColAttribute
00007ffb1c74b1d7 (__TEXT,__text) external _SQLColAttributeA
00007ffb1c74b3aa (__TEXT,__text) external _SQLColAttributeW
00007ffb1c74a861 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffb1c745243 (__TEXT,__text) external _SQLColAttributes
00007ffb1c745416 (__TEXT,__text) external _SQLColAttributesA
00007ffb1c7455e9 (__TEXT,__text) external _SQLColAttributesW
00007ffb1c744d96 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffb1c72eb2b (__TEXT,__text) external _SQLColumnPrivileges
00007ffb1c72ed17 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffb1c72ef03 (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffb1c72e874 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffb1c72f3a6 (__TEXT,__text) external _SQLColumns
00007ffb1c72f592 (__TEXT,__text) external _SQLColumnsA
00007ffb1c72f77e (__TEXT,__text) external _SQLColumnsW
00007ffb1c72f0ef (__TEXT,__text) non-external _SQLColumns_Internal
00007ffb1c73340f (__TEXT,__text) external _SQLConnect
00007ffb1c733db4 (__TEXT,__text) external _SQLConnectA
00007ffb1c733f40 (__TEXT,__text) external _SQLConnectW
00007ffb1c73359b (__TEXT,__text) non-external _SQLConnect_Internal
00007ffb1c758ff4 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffb1c74a6df (__TEXT,__text) external _SQLCopyDesc
00007ffb1c73feef (__TEXT,__text) external _SQLDataSources
00007ffb1c740015 (__TEXT,__text) external _SQLDataSourcesA
00007ffb1c74013b (__TEXT,__text) external _SQLDataSourcesW
00007ffb1c73fab0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffb42aa27a0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffb42aa27c0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffb42aa27c8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffb1c7447c6 (__TEXT,__text) external _SQLDescribeCol
00007ffb1c7449b6 (__TEXT,__text) external _SQLDescribeColA
00007ffb1c744ba6 (__TEXT,__text) external _SQLDescribeColW
00007ffb1c744505 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffb1c73879e (__TEXT,__text) external _SQLDescribeParam
00007ffb1c736c43 (__TEXT,__text) external _SQLDisconnect
00007ffb1c735cf4 (__TEXT,__text) external _SQLDriverConnect
00007ffb1c735e7d (__TEXT,__text) external _SQLDriverConnectA
00007ffb1c736006 (__TEXT,__text) external _SQLDriverConnectW
00007ffb1c7340cc (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffb1c759017 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffb1c75903a (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffb1c740779 (__TEXT,__text) external _SQLDrivers
00007ffb1c74089f (__TEXT,__text) external _SQLDriversA
00007ffb1c7409c5 (__TEXT,__text) external _SQLDriversW
00007ffb1c740386 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffb42aa27a4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffb42aa27d0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffb42aa27d8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffb1c74b57d (__TEXT,__text) external _SQLEndTran
00007ffb1c73be63 (__TEXT,__text) external _SQLError
00007ffb1c73bf48 (__TEXT,__text) external _SQLErrorA
00007ffb1c73c02d (__TEXT,__text) external _SQLErrorW
00007ffb1c737cb8 (__TEXT,__text) external _SQLExecDirect
00007ffb1c737dfd (__TEXT,__text) external _SQLExecDirectA
00007ffb1c737f42 (__TEXT,__text) external _SQLExecDirectW
