00007ffa1aa3b6eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa1aa3cbde (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa1aa3ca02 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa1aa3c9df (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa1aa3c9bc (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa1aa3c8f2 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa1aa3c96f (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa1aa3c91f (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa1aa3e0f0 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa1aa3dd05 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa1aa40fb4 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00007ffa1aa398f2 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa1aa3afd1 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa1aa3b05d (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa1aa3b0eb (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa1aa3b194 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa1aa3ce19 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa1aa3cd95 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa1aa4028c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00007ffa1aa4020b (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa1aa39581 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa1aa3978b (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00007ffa1aa3941c (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00007ffa1aa38cd5 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00007ffa1aa39408 (__TEXT,__text) non-external -[NFEventManager events]
00007ffa1aa384ee (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00007ffa1aa404f8 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00007ffa1aa39194 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00007ffa1aa38eb9 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00007ffa1aa38479 (__TEXT,__text) non-external -[NFEventManager init]
00007ffa1aa38732 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00007ffa1aa406ba (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1aa38b35 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00007ffa1aa4095d (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00007ffa1aa38a64 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00007ffa1aa4087c (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00007ffa1aa38599 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00007ffa1aa405d9 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00007ffa1aa388c8 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00007ffa1aa4079b (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00007ffa1aa39412 (__TEXT,__text) non-external -[NFEventManager triggers]
00007ffa1aa3954e (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00007ffa1aa39530 (__TEXT,__text) non-external -[NFEventTrigger block]
00007ffa1aa39526 (__TEXT,__text) non-external -[NFEventTrigger events]
00007ffa1aa39544 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
