                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
000000018050516c (__TEXT,__text) non-external _LI_get_thread_info
000000018051b030 (__TEXT,__text) external _LI_get_thread_item
000000018050f518 (__TEXT,__text) external _LI_get_thread_list
00000001805045a0 (__TEXT,__text) external _LI_ils_create
0000000180505134 (__TEXT,__text) external _LI_set_thread_item
0000000180509c80 (__TEXT,__text) external _LI_set_thread_list
00000001805175a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805175c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180519f50 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018051a8ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018051c830 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001805175c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018051a8ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
000000018051a8c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001805225b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001805225dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001805225e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
0000000180522608 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
0000000180522614 (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001805175e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
000000018051a8dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180522520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001805175e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001805175f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000180522534 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180522554 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180522564 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180522584 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
0000000180522590 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001805225ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __DefaultRuneLocale (from libsystem_c)
0000000180506e78 (__TEXT,__text) non-external __LI_data_free
0000000180505304 (__TEXT,__text) non-external __LI_data_init
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
0000000180519424 (__TEXT,__text) non-external ____check_groups_block_invoke
00000001805194d4 (__TEXT,__text) non-external ____check_groups_block_invoke_2
000000018051c39c (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
000000018052377c (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
000000018051c470 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00000001805236fc (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
000000018051c4b0 (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00000001805237fc (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
000000018051c524 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke
000000018051c580 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.52
000000018051c5dc (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.56
000000018051c638 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.60
000000018051c6e0 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.62
000000018051c788 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.66
000000018051bffc (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke
000000018051c1ec (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.14
000000018051c244 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.19
000000018051c298 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.23
000000018051c2f0 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.27
000000018051c344 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.31
000000018050fa78 (__TEXT,__text) non-external ____ds_list_block_invoke
0000000180513f30 (__TEXT,__text) non-external ____extract_alias_dict_block_invoke
000000018050fda4 (__TEXT,__text) non-external ____extract_fstab_dict_block_invoke
0000000180505b74 (__TEXT,__text) non-external ____extract_group_dict_block_invoke
0000000180513aec (__TEXT,__text) non-external ____extract_netgroup_dict_block_invoke
00000001805142b0 (__TEXT,__text) non-external ____extract_network_dict_block_invoke
0000000180514a14 (__TEXT,__text) non-external ____extract_protocol_dict_block_invoke
0000000180514dd0 (__TEXT,__text) non-external ____extract_rpc_dict_block_invoke
0000000180514644 (__TEXT,__text) non-external ____extract_service_dict_block_invoke
0000000180505da8 (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_block_invoke
0000000180513844 (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_index_block_invoke
0000000180504218 (__TEXT,__text) non-external ____extract_user_dict_block_invoke
0000000180510310 (__TEXT,__text) non-external ____fsi_fs_root_block_invoke
0000000180502b60 (__TEXT,__text) non-external ____mbr_xpc_pipe_block_invoke
0000000180503ca0 (__TEXT,__text) non-external ____od_xpc_pipe_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00000001e599d868 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e599d888 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e599d908 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e599d9a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
