                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007fff2a641361 (__TEXT,__text) external ___absvdi2
00007fff2a641394 (__TEXT,__text) external ___absvsi2
00007fff2a6413bd (__TEXT,__text) external ___absvti2
00007fff2a6413fd (__TEXT,__text) external ___addvdi3
00007fff2a641443 (__TEXT,__text) external ___addvsi3
00007fff2a641485 (__TEXT,__text) external ___addvti3
00007fff2a6414df (__TEXT,__text) external ___ashldi3
00007fff2a64150b (__TEXT,__text) external ___ashlti3
00007fff2a641533 (__TEXT,__text) external ___ashrdi3
00007fff2a641564 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007fff2a641784 (__TEXT,__text) external ___atomic_compare_exchange
00007fff2a641ce4 (__TEXT,__text) external ___atomic_compare_exchange_1
00007fff2a641d3c (__TEXT,__text) external ___atomic_compare_exchange_2
00007fff2a641d98 (__TEXT,__text) external ___atomic_compare_exchange_4
00007fff2a641df0 (__TEXT,__text) external ___atomic_compare_exchange_8
00007fff2a6419f8 (__TEXT,__text) external ___atomic_exchange
00007fff2a641c16 (__TEXT,__text) external ___atomic_exchange_1
00007fff2a641c4c (__TEXT,__text) external ___atomic_exchange_2
00007fff2a641c80 (__TEXT,__text) external ___atomic_exchange_4
00007fff2a641cb0 (__TEXT,__text) external ___atomic_exchange_8
00007fff2a641e4c (__TEXT,__text) external ___atomic_fetch_add_1
00007fff2a641e84 (__TEXT,__text) external ___atomic_fetch_add_2
00007fff2a641eb8 (__TEXT,__text) external ___atomic_fetch_add_4
00007fff2a641eec (__TEXT,__text) external ___atomic_fetch_add_8
00007fff2a641ffc (__TEXT,__text) external ___atomic_fetch_and_1
00007fff2a642074 (__TEXT,__text) external ___atomic_fetch_and_2
00007fff2a6420f4 (__TEXT,__text) external ___atomic_fetch_and_4
00007fff2a642164 (__TEXT,__text) external ___atomic_fetch_and_8
00007fff2a6421e8 (__TEXT,__text) external ___atomic_fetch_or_1
00007fff2a642260 (__TEXT,__text) external ___atomic_fetch_or_2
00007fff2a6422e0 (__TEXT,__text) external ___atomic_fetch_or_4
00007fff2a642350 (__TEXT,__text) external ___atomic_fetch_or_8
00007fff2a641f20 (__TEXT,__text) external ___atomic_fetch_sub_1
00007fff2a641f58 (__TEXT,__text) external ___atomic_fetch_sub_2
00007fff2a641f90 (__TEXT,__text) external ___atomic_fetch_sub_4
00007fff2a641fc4 (__TEXT,__text) external ___atomic_fetch_sub_8
00007fff2a6423d4 (__TEXT,__text) external ___atomic_fetch_xor_1
00007fff2a64244c (__TEXT,__text) external ___atomic_fetch_xor_2
00007fff2a6424cc (__TEXT,__text) external ___atomic_fetch_xor_4
00007fff2a64253c (__TEXT,__text) external ___atomic_fetch_xor_8
00007fff2a641594 (__TEXT,__text) external ___atomic_load
00007fff2a641b90 (__TEXT,__text) external ___atomic_load_1
