                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
00007ff80e721f55 (__TEXT,__text) external _CMCloneProfileRef
00007ff8426d0410 (__DATA,__bss) non-external _CMCloneProfileRef.func
00007ff80e721f11 (__TEXT,__text) external _CMCloseProfile
00007ff8426d0408 (__DATA,__bss) non-external _CMCloseProfile.func
00007ff80e721e9d (__TEXT,__text) external _CMConvertDoubleXYZToD50
00007ff8426d0400 (__DATA,__bss) non-external _CMConvertDoubleXYZToD50.func
00007ff80e721e56 (__TEXT,__text) external _CMConvertRGBFloatBitmap
00007ff8426d03f8 (__DATA,__bss) non-external _CMConvertRGBFloatBitmap.func
00007ff80e721de2 (__TEXT,__text) external _CMConvertXYZFloatBitmap
00007ff8426d03f0 (__DATA,__bss) non-external _CMConvertXYZFloatBitmap.func
00007ff80e721d28 (__TEXT,__text) external _CMCopyProfile
00007ff8426d03e8 (__DATA,__bss) non-external _CMCopyProfile.func
00007ff80e721c76 (__TEXT,__text) external _CMCopyProfileDescriptionString
00007ff8426d03e0 (__DATA,__bss) non-external _CMCopyProfileDescriptionString.func
00007ff80e721ba1 (__TEXT,__text) external _CMCopyProfileLocalizedString
00007ff8426d03d8 (__DATA,__bss) non-external _CMCopyProfileLocalizedString.func
00007ff80e721aea (__TEXT,__text) external _CMCopyProfileLocalizedStringDictionary
00007ff8426d03d0 (__DATA,__bss) non-external _CMCopyProfileLocalizedStringDictionary.func
00007ff80e721a38 (__TEXT,__text) external _CMCountProfileElements
00007ff8426d03c8 (__DATA,__bss) non-external _CMCountProfileElements.func
00007ff80e72199b (__TEXT,__text) external _CMFloatBitmapMakeChunky
00007ff8426d03c0 (__DATA,__bss) non-external _CMFloatBitmapMakeChunky.func
00007ff80e721957 (__TEXT,__text) external _CMGetColorSyncVersion
00007ff8426d03b8 (__DATA,__bss) non-external _CMGetColorSyncVersion.func
00007ff80e721912 (__TEXT,__text) external _CMGetDefaultDevice
00007ff8426d03b0 (__DATA,__bss) non-external _CMGetDefaultDevice.func
00007ff80e7218cd (__TEXT,__text) external _CMGetDefaultProfileBySpace
00007ff8426d03a8 (__DATA,__bss) non-external _CMGetDefaultProfileBySpace.func
00007ff80e721888 (__TEXT,__text) external _CMGetDefaultProfileByUse
00007ff8426d03a0 (__DATA,__bss) non-external _CMGetDefaultProfileByUse.func
00007ff80e72182e (__TEXT,__text) external _CMGetDeviceDefaultProfileID
