                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018c558e40 (__TEXT,__text) non-external _au_assemble
000000018c55a63c (__TEXT,__text) external _au_bsm_to_domain
000000018c566c2c (__TEXT,__text) external _au_bsm_to_errno
000000018c566d00 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018c5628f0 (__TEXT,__text) external _au_bsm_to_socket_type
000000018c5590d4 (__TEXT,__text) external _au_close
000000018c5591a4 (__TEXT,__text) external _au_close_buffer
000000018c559288 (__TEXT,__text) external _au_close_token
000000018c558d58 (__TEXT,__text) external _au_close_with_errors
00000001e713993c (__DATA,__bss) non-external _au_cond
000000018c55a604 (__TEXT,__text) external _au_domain_to_bsm
000000018c566bf0 (__TEXT,__text) external _au_errno_to_bsm
000000018c566cc8 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018c5588e0 (__TEXT,__text) external _au_fetch_tok
000000018c558b30 (__TEXT,__text) external _au_free_token
000000018c5627a8 (__TEXT,__text) external _au_get_state
000000018c5626c4 (__TEXT,__text) external _au_notify_initialize
000000018c562780 (__TEXT,__text) external _au_notify_terminate
000000018c558b78 (__TEXT,__text) external _au_open
00000001e4dc4b10 (__DATA_CONST,__const) non-external _au_polstr
000000018c559740 (__TEXT,__text) external _au_poltostr
000000018c5624a4 (__TEXT,__text) external _au_preselect
000000018c55ceb4 (__TEXT,__text) external _au_print_flags_tok
000000018c561544 (__TEXT,__text) external _au_print_tok
000000018c56155c (__TEXT,__text) external _au_print_tok_xml
000000018c55af6c (__TEXT,__text) external _au_print_xml_footer
000000018c55af10 (__TEXT,__text) external _au_print_xml_header
000000018c561578 (__TEXT,__text) external _au_read_rec
000000018c566ba4 (__TEXT,__text) external _au_sdev_close
000000018c566be8 (__TEXT,__text) external _au_sdev_fd
000000018c558498 (__TEXT,__text) external _au_sdev_open
000000018c55856c (__TEXT,__text) external _au_sdev_read_aia
00000001e4dc4c00 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018c559900 (__TEXT,__text) external _au_sflagstostr
000000018c5628b8 (__TEXT,__text) external _au_socket_type_to_bsm
000000018c559fd0 (__TEXT,__text) non-external _au_spacetobytes
000000018c566c78 (__TEXT,__text) external _au_strerror
000000018c559818 (__TEXT,__text) external _au_strtopol
000000018c5599d8 (__TEXT,__text) external _au_strtosflags
000000018c559018 (__TEXT,__text) non-external _au_teardown
000000018c562ad8 (__TEXT,__text) external _au_to_arg
000000018c5628f8 (__TEXT,__text) external _au_to_arg32
000000018c5629d8 (__TEXT,__text) external _au_to_arg64
000000018c564910 (__TEXT,__text) external _au_to_certificate_hash
000000018c562adc (__TEXT,__text) external _au_to_data
000000018c5647e8 (__TEXT,__text) external _au_to_exec_args
000000018c564908 (__TEXT,__text) external _au_to_exec_env
000000018c562bbc (__TEXT,__text) external _au_to_exit
000000018c5630f0 (__TEXT,__text) external _au_to_file
