                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff813465a70 (__TEXT,__text) external ___absvdi2
00007ff813465a99 (__TEXT,__text) external ___absvsi2
00007ff813465abe (__TEXT,__text) external ___absvti2
00007ff813465afe (__TEXT,__text) external ___addvdi3
00007ff813465b44 (__TEXT,__text) external ___addvsi3
00007ff813465b86 (__TEXT,__text) external ___addvti3
00007ff813465be3 (__TEXT,__text) external ___ashldi3
00007ff813465c0f (__TEXT,__text) external ___ashlti3
00007ff813465c37 (__TEXT,__text) external ___ashrdi3
00007ff813465c68 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff813465f00 (__TEXT,__text) external ___atomic_compare_exchange
00007ff813466440 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff81346648c (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff8134664d8 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff813466524 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff813466140 (__TEXT,__text) external ___atomic_exchange
00007ff813466372 (__TEXT,__text) external ___atomic_exchange_1
00007ff8134663a8 (__TEXT,__text) external ___atomic_exchange_2
00007ff8134663dc (__TEXT,__text) external ___atomic_exchange_4
00007ff81346640c (__TEXT,__text) external ___atomic_exchange_8
00007ff813466570 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff8134665a8 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff8134665dc (__TEXT,__text) external ___atomic_fetch_add_4
00007ff813466610 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff813466720 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff813466798 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff813466818 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff813466888 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff81346690c (__TEXT,__text) external ___atomic_fetch_or_1
00007ff813466984 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff813466a04 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff813466a74 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff813466644 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff81346667c (__TEXT,__text) external ___atomic_fetch_sub_2
