00000001e21c2fd8 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001e21c3104 (__TEXT,__gcc_except_tab) non-external GCC_except_table147
00000001e21c3130 (__TEXT,__gcc_except_tab) non-external GCC_except_table206
00000001e21c3144 (__TEXT,__gcc_except_tab) non-external GCC_except_table221
00000001e21c3158 (__TEXT,__gcc_except_tab) non-external GCC_except_table269
00000001e21c316c (__TEXT,__gcc_except_tab) non-external GCC_except_table289
00000001e21c31b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table387
00000001e21c31cc (__TEXT,__gcc_except_tab) non-external GCC_except_table398
00000001e21c31e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table399
00000001e21c31f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table401
00000001e21c3218 (__TEXT,__gcc_except_tab) non-external GCC_except_table403
00000001e21c323c (__TEXT,__gcc_except_tab) non-external GCC_except_table404
00000001e21c324c (__TEXT,__gcc_except_tab) non-external GCC_except_table465
00000001e21c3270 (__TEXT,__gcc_except_tab) non-external GCC_except_table530
00000001e21c3008 (__TEXT,__gcc_except_tab) non-external GCC_except_table58
00000001e21c3048 (__TEXT,__gcc_except_tab) non-external GCC_except_table60
00000001e21c3070 (__TEXT,__gcc_except_tab) non-external GCC_except_table61
00000001e21c3084 (__TEXT,__gcc_except_tab) non-external GCC_except_table66
00000001e21c3094 (__TEXT,__gcc_except_tab) non-external GCC_except_table69
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArraySortValues (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryApplyFunction (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateCopy (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetKeysAndValues (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFErrorCopyFailureReason (from CoreFoundation)
                 (undefined) external _CFGetRetainCount (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNotificationCenterAddObserver (from CoreFoundation)
                 (undefined) external _CFNotificationCenterGetDarwinNotifyCenter (from CoreFoundation)
                 (undefined) external _CFNumberCompare (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesFlushCaches (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
