                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018dabb108 (__TEXT,__text) non-external _au_assemble
000000018dabc8f4 (__TEXT,__text) external _au_bsm_to_domain
000000018dac8e78 (__TEXT,__text) external _au_bsm_to_errno
000000018dac8f40 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018dac457c (__TEXT,__text) external _au_bsm_to_socket_type
000000018dabb394 (__TEXT,__text) external _au_close
000000018dabb464 (__TEXT,__text) external _au_close_buffer
000000018dabb548 (__TEXT,__text) external _au_close_token
000000018dabb020 (__TEXT,__text) external _au_close_with_errors
00000001ec0d8344 (__DATA,__bss) non-external _au_cond
000000018dabc8c0 (__TEXT,__text) external _au_domain_to_bsm
000000018dac8e40 (__TEXT,__text) external _au_errno_to_bsm
000000018dac8f0c (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018dababa0 (__TEXT,__text) external _au_fetch_tok
000000018dabadf4 (__TEXT,__text) external _au_free_token
000000018dac4438 (__TEXT,__text) external _au_get_state
000000018dac4358 (__TEXT,__text) external _au_notify_initialize
000000018dac4410 (__TEXT,__text) external _au_notify_terminate
000000018dabae3c (__TEXT,__text) external _au_open
00000001e84e8540 (__DATA_CONST,__const) non-external _au_polstr
000000018dabba00 (__TEXT,__text) external _au_poltostr
000000018dac411c (__TEXT,__text) external _au_preselect
000000018dabeb3c (__TEXT,__text) external _au_print_flags_tok
000000018dac31a4 (__TEXT,__text) external _au_print_tok
000000018dac31c0 (__TEXT,__text) external _au_print_tok_xml
000000018dabd1e4 (__TEXT,__text) external _au_print_xml_footer
000000018dabd188 (__TEXT,__text) external _au_print_xml_header
000000018dac31dc (__TEXT,__text) external _au_read_rec
000000018dac8df4 (__TEXT,__text) external _au_sdev_close
000000018dac8e38 (__TEXT,__text) external _au_sdev_fd
000000018daba74c (__TEXT,__text) external _au_sdev_open
000000018daba820 (__TEXT,__text) external _au_sdev_read_aia
00000001e84e8630 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018dabbbc4 (__TEXT,__text) external _au_sflagstostr
000000018dac4548 (__TEXT,__text) external _au_socket_type_to_bsm
000000018dabc294 (__TEXT,__text) non-external _au_spacetobytes
000000018dac8ec0 (__TEXT,__text) external _au_strerror
000000018dabbad4 (__TEXT,__text) external _au_strtopol
000000018dabbc98 (__TEXT,__text) external _au_strtosflags
000000018dabb2d8 (__TEXT,__text) non-external _au_teardown
000000018dac47e0 (__TEXT,__text) external _au_to_arg
000000018dac45c0 (__TEXT,__text) external _au_to_arg32
000000018dac46c0 (__TEXT,__text) external _au_to_arg64
000000018dac6ad4 (__TEXT,__text) external _au_to_certificate_hash
000000018dac47e4 (__TEXT,__text) external _au_to_data
000000018dac698c (__TEXT,__text) external _au_to_exec_args
000000018dac6acc (__TEXT,__text) external _au_to_exec_env
000000018dac48e4 (__TEXT,__text) external _au_to_exit
000000018dac4f68 (__TEXT,__text) external _au_to_file
000000018dac49ac (__TEXT,__text) external _au_to_groups
000000018dac7328 (__TEXT,__text) external _au_to_header
000000018dac7218 (__TEXT,__text) external _au_to_header32
000000018dac7164 (__TEXT,__text) external _au_to_header32_ex
000000018dac6e70 (__TEXT,__text) external _au_to_header32_ex_tm
000000018dac6d40 (__TEXT,__text) external _au_to_header32_tm
000000018dac72a0 (__TEXT,__text) external _au_to_header64
000000018dac7010 (__TEXT,__text) external _au_to_header64_tm
000000018dac732c (__TEXT,__text) external _au_to_header_ex
000000018dac6bb0 (__TEXT,__text) external _au_to_identity
000000018dac4a8c (__TEXT,__text) external _au_to_in_addr
000000018dac4b1c (__TEXT,__text) external _au_to_in_addr_ex
000000018dac4bb8 (__TEXT,__text) external _au_to_ip
000000018dac4c58 (__TEXT,__text) external _au_to_ipc
000000018dac4d08 (__TEXT,__text) external _au_to_ipc_perm
000000018dac4e14 (__TEXT,__text) external _au_to_iport
000000018dac73d8 (__TEXT,__text) external _au_to_kevent
000000018dac6adc (__TEXT,__text) external _au_to_krb5_principal
000000018dac68e4 (__TEXT,__text) external _au_to_me
000000018dac49b8 (__TEXT,__text) external _au_to_newgroups
