00007ffa18371f0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa18371eed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa18367daa (__TEXT,__text) external _glAccum
00007ffa1836e0e8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa183707f7 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa1836abf2 (__TEXT,__text) external _glActiveTexture
00007ffa1836f4fa (__TEXT,__text) external _glActiveTextureARB
00007ffa18367dc3 (__TEXT,__text) external _glAlphaFunc
00007ffa18367ddc (__TEXT,__text) external _glAreTexturesResident
00007ffa18367dfb (__TEXT,__text) external _glArrayElement
00007ffa1837004e (__TEXT,__text) external _glAttachObjectARB
00007ffa1836bfe6 (__TEXT,__text) external _glAttachShader
00007ffa18367e14 (__TEXT,__text) external _glBegin
00007ffa1836cbcf (__TEXT,__text) external _glBeginConditionalRender
00007ffa18371dfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa1836b7b4 (__TEXT,__text) external _glBeginQuery
00007ffa1836fd77 (__TEXT,__text) external _glBeginQueryARB
00007ffa1836debd (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1836cae1 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1837103a (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1836c4af (__TEXT,__text) external _glBindAttribLocation
00007ffa1837048a (__TEXT,__text) external _glBindAttribLocationARB
00007ffa1836b854 (__TEXT,__text) external _glBindBuffer
00007ffa1836fe17 (__TEXT,__text) external _glBindBufferARB
00007ffa1836cb3b (__TEXT,__text) external _glBindBufferBase
00007ffa18371019 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa18370ff5 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1836cb14 (__TEXT,__text) external _glBindBufferRange
00007ffa18370fce (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1836cf19 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1837158a (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa1836d619 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1836c75f (__TEXT,__text) external _glBindFramebuffer
00007ffa18370d64 (__TEXT,__text) external _glBindFramebufferEXT
00007ffa1836eba9 (__TEXT,__text) external _glBindProgramARB
00007ffa1836e128 (__TEXT,__text) external _glBindProgramPipeline
00007ffa1836c6a1 (__TEXT,__text) external _glBindRenderbuffer
00007ffa18370ca6 (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa1836d6b6 (__TEXT,__text) external _glBindSampler
00007ffa18367e2d (__TEXT,__text) external _glBindTexture
00007ffa1836ddd8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa1836c9a6 (__TEXT,__text) external _glBindVertexArray
00007ffa18371aae (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa18367e48 (__TEXT,__text) external _glBitmap
00007ffa1836a5c2 (__TEXT,__text) external _glBlendColor
00007ffa18370c36 (__TEXT,__text) external _glBlendColorEXT
00007ffa1836a5dc (__TEXT,__text) external _glBlendEquation
00007ffa18370c50 (__TEXT,__text) external _glBlendEquationEXT
00007ffa1836c58f (__TEXT,__text) external _glBlendEquationSeparate
00007ffa18371d80 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa18370c6c (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa1836df58 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa183705dc (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa1836df3a (__TEXT,__text) external _glBlendEquationi
00007ffa183705be (__TEXT,__text) external _glBlendEquationiARB
00007ffa18367e66 (__TEXT,__text) external _glBlendFunc
00007ffa1836b51a (__TEXT,__text) external _glBlendFuncSeparate
00007ffa18370bc4 (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa1836df9a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa1837061e (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa1836df79 (__TEXT,__text) external _glBlendFunci
00007ffa183705fd (__TEXT,__text) external _glBlendFunciARB
00007ffa1836c8bc (__TEXT,__text) external _glBlitFramebuffer
00007ffa18370ec1 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa1836b8cc (__TEXT,__text) external _glBufferData
00007ffa1836fe8f (__TEXT,__text) external _glBufferDataARB
