0000000246118a98 (__TEXT,__text) non-external _Done_iODBC
0000000246137a90 (__TEXT,__const) non-external _FunctionNumbers
00000002461368ac (__TEXT,__text) non-external _GetPrivateProfileString
0000000246118914 (__TEXT,__text) non-external _Init_iODBC
0000000256cfd47c (__DATA,__common) non-external _ODBCSharedTraceFlag
0000000246117004 (__TEXT,__text) external _SQLAllocConnect
0000000246116f14 (__TEXT,__text) non-external _SQLAllocConnect_Internal
0000000246118884 (__TEXT,__text) external _SQLAllocEnv
00000002461186e0 (__TEXT,__text) non-external _SQLAllocEnv_Internal
0000000246122854 (__TEXT,__text) external _SQLAllocHandle
000000024612296c (__TEXT,__text) non-external _SQLAllocHandleStd
00000002461225b4 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000024611b524 (__TEXT,__text) external _SQLAllocStmt
000000024611b07c (__TEXT,__text) non-external _SQLAllocStmt_Internal
00000002461204f4 (__TEXT,__text) external _SQLBindCol
0000000246128590 (__TEXT,__text) external _SQLBindParam
000000024611f99c (__TEXT,__text) external _SQLBindParameter
0000000246113ce0 (__TEXT,__text) external _SQLBrowseConnect
0000000246113e28 (__TEXT,__text) external _SQLBrowseConnectA
0000000246113f70 (__TEXT,__text) external _SQLBrowseConnectW
00000002461137a8 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00000002461280a4 (__TEXT,__text) external _SQLBulkOperations
000000024611c44c (__TEXT,__text) external _SQLCancel
00000002461285d4 (__TEXT,__text) external _SQLCloseCursor
0000000246127ae8 (__TEXT,__text) external _SQLColAttribute
0000000246127c90 (__TEXT,__text) external _SQLColAttributeA
0000000246127e38 (__TEXT,__text) external _SQLColAttributeW
0000000246127410 (__TEXT,__text) non-external _SQLColAttribute_Internal
00000002461220bc (__TEXT,__text) external _SQLColAttributes
0000000246122264 (__TEXT,__text) external _SQLColAttributesA
000000024612240c (__TEXT,__text) external _SQLColAttributesW
0000000246121c20 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000024610cc28 (__TEXT,__text) external _SQLColumnPrivileges
000000024610ce0c (__TEXT,__text) external _SQLColumnPrivilegesA
