                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018ca5990c (__TEXT,__text) external __cg_jcopy_block_row
000000018ca598b4 (__TEXT,__text) external __cg_jcopy_sample_rows
000000018ca74e8c (__TEXT,__text) external __cg_jinit_1pass_quantizer
000000018ca50c70 (__TEXT,__text) external __cg_jinit_2pass_quantizer
000000018ca58e00 (__TEXT,__text) external __cg_jinit_c_coef_controller
000000018ca59938 (__TEXT,__text) external __cg_jinit_c_main_controller
000000018ca63698 (__TEXT,__text) external __cg_jinit_c_master_control
000000018ca59b7c (__TEXT,__text) external __cg_jinit_c_prep_controller
000000018ca4fbd8 (__TEXT,__text) external __cg_jinit_color_converter
000000018ca58340 (__TEXT,__text) external __cg_jinit_color_deconverter
000000018ca4fa60 (__TEXT,__text) external __cg_jinit_compress_master
000000018ca62670 (__TEXT,__text) external __cg_jinit_d_coef_controller
000000018ca6510c (__TEXT,__text) external __cg_jinit_d_main_controller
000000018ca65d60 (__TEXT,__text) external __cg_jinit_d_post_controller
000000018ca6cd5c (__TEXT,__text) external __cg_jinit_downsampler
000000018ca57868 (__TEXT,__text) external __cg_jinit_forward_dct
000000018ca6e1f4 (__TEXT,__text) external __cg_jinit_huff_decoder
000000018ca71fa8 (__TEXT,__text) external __cg_jinit_huff_encoder
000000018ca5ac3c (__TEXT,__text) external __cg_jinit_input_controller
000000018ca504e8 (__TEXT,__text) external __cg_jinit_inverse_dct
000000018ca52254 (__TEXT,__text) external __cg_jinit_marker_reader
000000018ca70ae4 (__TEXT,__text) external __cg_jinit_marker_writer
000000018ca64b10 (__TEXT,__text) external __cg_jinit_master_decompress
000000018ca760fc (__TEXT,__text) external __cg_jinit_memory_mgr
000000018ca6db44 (__TEXT,__text) external __cg_jinit_merged_upsampler
000000018ca657e4 (__TEXT,__text) external __cg_jinit_upsampler
000000018ca6c89c (__TEXT,__text) external __cg_jpeg_CreateCompress
000000018ca5a308 (__TEXT,__text) external __cg_jpeg_CreateDecompress
000000018ca545b4 (__TEXT,__text) external __cg_jpeg_abort
000000018ca6c9c8 (__TEXT,__text) external __cg_jpeg_abort_compress
000000018ca5a410 (__TEXT,__text) external __cg_jpeg_abort_decompress
000000018ca61aac (__TEXT,__text) external __cg_jpeg_add_quant_table
000000018ca54670 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
