                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
000000020d5a9340 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000020d5a9dbc (__TEXT,__const) external _libopenpam
000000020d5a9860 (__TEXT,__text) external _misc_conv
000000020d5a956c (__TEXT,__text) external _pam_acct_mgmt
000000020d5a9474 (__TEXT,__text) external _pam_authenticate
000000020d5a95e8 (__TEXT,__text) external _pam_chauthtok
000000020d5a96e0 (__TEXT,__text) external _pam_close_session
000000020d5a9400 (__TEXT,__text) external _pam_end
000000020d5a9aa8 (__TEXT,__text) external _pam_get_data
000000020d5a97dc (__TEXT,__text) external _pam_get_item
000000020d5a9cd8 (__TEXT,__text) external _pam_get_pass
000000020d5a9bb8 (__TEXT,__text) external _pam_get_user
000000020d5a99d0 (__TEXT,__text) external _pam_getenv
000000020d5a9a40 (__TEXT,__text) external _pam_getenvlist
000000020d5a9668 (__TEXT,__text) external _pam_open_session
000000020d5a9c3c (__TEXT,__text) external _pam_prompt
000000020d5a995c (__TEXT,__text) external _pam_putenv
000000020d5a9b2c (__TEXT,__text) external _pam_set_data
000000020d5a9758 (__TEXT,__text) external _pam_set_item
000000020d5a94f0 (__TEXT,__text) external _pam_setcred
000000020d5a9374 (__TEXT,__text) external _pam_start
000000020d5a98ec (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
000000020d5a92e0 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
000000020d5a92f0 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
000000020d5a933c (__TEXT,__text) external _xlate_pam_shim_item_type
000000020d5a9318 (__TEXT,__text) external _xlate_pam_shim_retval
000000020d5a9304 (__TEXT,__text) external _xlate_pam_shim_session_flags
000000020d5a9310 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
