00000001e790d40c (__TEXT,__text) non-external _DiToMD5
00000001e790d78c (__TEXT,__text) non-external _DiToSHA1
00000001e78f1ddc (__TEXT,__text) external _DriverExecutableMain
000000021e9c11a8 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
000000021e9c1468 (__AUTH_CONST,__const) external _IOCommandPool_Class
000000021e9c1370 (__AUTH_CONST,__const) external _IOCommand_Class
000000021e9c1560 (__AUTH_CONST,__const) external _IODMACommand_Class
000000021e9c1710 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001e78edd0c (__TEXT,__text) external _IODelay
000000021e9c18c0 (__AUTH_CONST,__const) external _IODispatchQueue_Class
000000021e9c1a70 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001e78f236c (__TEXT,__text) external _IODriverKitTest
00000001e791faa8 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001e791fadc (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001e791fb08 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001e791fb3c (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001e791fb68 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001e791fb94 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001e791fbc0 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001e791fbec (__TEXT,__text) non-external _IODriverKitTest.cold.8
000000021e9c1c20 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001e78edcd8 (__TEXT,__text) external _IOFree
00000001e78edcfc (__TEXT,__text) external _IOFreeData
00000001e78f233c (__TEXT,__text) external _IOGetExecutableSDKVersion
000000021e9c24c0 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
000000021e9c1dd0 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001e78edd18 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001e78f0fec (__TEXT,__text) external _IOLockAlloc
00000001e78f102c (__TEXT,__text) external _IOLockAssert
00000001e791f35c (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001e78f1010 (__TEXT,__text) external _IOLockFree
00000001e78f1020 (__TEXT,__text) external _IOLockLock
00000001e78f1024 (__TEXT,__text) external _IOLockTryLock
00000001e78f1028 (__TEXT,__text) external _IOLockUnlock
00000001e78edb48 (__TEXT,__text) external _IOLog
00000001e78ed9f4 (__TEXT,__text) external _IOLogBuffer
00000001e78edb74 (__TEXT,__text) external _IOLogv
00000001e78edcb8 (__TEXT,__text) external _IOMalloc
00000001e78edcdc (__TEXT,__text) external _IOMallocData
00000001e78edccc (__TEXT,__text) external _IOMallocZero
00000001e78edcf0 (__TEXT,__text) external _IOMallocZeroData
000000021e9c1f80 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
000000021e9c2130 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001e78eddb8 (__TEXT,__text) external _IOParseBootArgNumber
00000001e78ee280 (__TEXT,__text) external _IOParseBootArgString
00000001e78effd0 (__TEXT,__text) external _IORPCMessageFromMach
00000001e791f00c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001e791f04c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001e78f1294 (__TEXT,__text) external _IORWLockAlloc
00000001e791f4bc (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001e78f12d8 (__TEXT,__text) external _IORWLockFree
00000001e78f131c (__TEXT,__text) external _IORWLockRead
00000001e791f4e8 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001e78f135c (__TEXT,__text) external _IORWLockUnlock
00000001e791f540 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001e78f133c (__TEXT,__text) external _IORWLockWrite
00000001e791f514 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001e78f10b4 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001e78f10f0 (__TEXT,__text) external _IORecursiveConditionLockFree
00000001e78f11d8 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001e791f438 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001e78f1100 (__TEXT,__text) external _IORecursiveConditionLockLock
00000001e791f388 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001e791f3b4 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001e78f121c (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001e791f464 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001e791f490 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001e78f1168 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001e791f3e0 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001e791f40c (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001e78f106c (__TEXT,__text) external _IORecursiveLockAlloc
00000001e78f1090 (__TEXT,__text) external _IORecursiveLockFree
00000001e78f10ac (__TEXT,__text) external _IORecursiveLockHaveLock
00000001e78f10a0 (__TEXT,__text) external _IORecursiveLockLock
00000001e78f10b0 (__TEXT,__text) external _IORecursiveLockTryLock
00000001e78f10a8 (__TEXT,__text) external _IORecursiveLockUnlock
000000021e9c2560 (__AUTH_CONST,__const) external _IOReportLegend_Class
000000021e9c22e0 (__AUTH_CONST,__const) external _IOReporter_Class
000000021e9c2b90 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
000000021e9c2d40 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
000000021e9c29e0 (__AUTH_CONST,__const) external _IOService_Class
000000021e9c2380 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001e78edd00 (__TEXT,__text) external _IOSleep
000000021e9c2420 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001e78f142c (__TEXT,__text) external _IOThreadLocalStorageGet
00000001e78f137c (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001e78f13d0 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001e78f13f8 (__TEXT,__text) external _IOThreadLocalStorageSet
000000021e9c4b40 (__AUTH_CONST,__const) external _IOThread_Class
000000021e9c2ef0 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
000000021e9c30a0 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e78f1e30 (__TEXT,__text) external _IOUserServerMain
00000001e791f8f0 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e791fa7c (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e791f91c (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e791f948 (__TEXT,__text) non-external _IOUserServerMain.cold.3
