00007ffc4140f658 (__DATA,__bss) non-external _A
00007ffc4140f420 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffc4140f2a8 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffc4140f2a0 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffc4140f2a4 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffc4140f660 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffc4140f668 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffc4140f670 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffc4140f66c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffc4140f610 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffc0fc64850 (__TEXT,__const) non-external _HREF_SAFE
00007ffc0fc62be0 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffc0fc64750 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffc0fc58e1a (__TEXT,__text) non-external _S_advance_offset
00007ffc0fc4ab81 (__TEXT,__text) non-external _S_blankline
00007ffc0fc59861 (__TEXT,__text) non-external _S_can_contain
00007ffc0fc4ab6e (__TEXT,__text) non-external _S_cr
00007ffc0fc58ebd (__TEXT,__text) non-external _S_find_first_nonspace
00007ffc0fc4cb0c (__TEXT,__text) non-external _S_get_enumlevel
00007ffc0fc597ad (__TEXT,__text) non-external _S_node_unlink
00007ffc0fc4ab94 (__TEXT,__text) non-external _S_out
00007ffc0fc49112 (__TEXT,__text) non-external _S_outc
00007ffc0fc57372 (__TEXT,__text) non-external _S_parser_feed
00007ffc0fc64730 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffc0fc5ac6f (__TEXT,__text) non-external _S_print_error
00007ffc0fc57abc (__TEXT,__text) non-external _S_process_line
00007ffc0fc620f1 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffc0fc62112 (__TEXT,__text) non-external _S_process_line.cold.2
00007ffc0fc62133 (__TEXT,__text) non-external _S_process_line.cold.3
00007ffc0fc62156 (__TEXT,__text) non-external _S_process_line.cold.4
00007ffc0fc62179 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffc0fc48a08 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffc0fc46b8c (__TEXT,__text) non-external _S_render_node
00007ffc0fc491fc (__TEXT,__text) non-external _S_render_node
00007ffc0fc4c434 (__TEXT,__text) non-external _S_render_node
00007ffc0fc5f61b (__TEXT,__text) non-external _S_render_node
00007ffc0fc61e98 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc0fc61f2c (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc0fc61fdb (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc0fc628e4 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc0fc59490 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc0fc594b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc0fc4af1d (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffc0fc4cd20 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffc0fc54f81 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffc0fc64230 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffc0fc4e0e5 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffc0fc63330 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffc0fc4d6bf (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffc0fc63230 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffc0fc55507 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffc0fc64530 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffc0fc55f92 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffc0fc55627 (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffc0fc5629d (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffc0fc64630 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffc0fc53008 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffc0fc63b30 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffc0fc53af3 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffc0fc63c30 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffc0fc53eda (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffc0fc63d30 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffc0fc54264 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffc0fc63e30 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffc0fc54520 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffc0fc63f30 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffc0fc51588 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffc0fc52a28 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffc0fc63a30 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffc0fc51352 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffc0fc63930 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffc0fc50ebc (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffc0fc63630 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffc0fc5125b (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffc0fc63830 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffc0fc51011 (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffc0fc63730 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffc0fc5062f (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffc0fc63430 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffc0fc50bff (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffc0fc63530 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffc0fc54907 (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffc0fc64030 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffc0fc551e5 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffc0fc64430 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffc0fc4cd68 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffc0fc55098 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffc0fc64330 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffc0fc54f59 (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffc0fc64130 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffc0fc4b144 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffc0fc62ef0 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffc0fc4b3ab (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffc0fc4b3cf (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffc0fc62ff0 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffc0fc4af5c (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffc0fc62df0 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffc0fc4b456 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffc0fc630f0 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffc0fc58cf5 (__TEXT,__text) non-external _add_child
00007ffc0fc6219c (__TEXT,__text) non-external _add_child.cold.1
00007ffc0fc593f2 (__TEXT,__text) non-external _add_line
00007ffc0fc62205 (__TEXT,__text) non-external _add_line.cold.1
00007ffc0fc5e81e (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffc0fc61aab (__TEXT,__text) non-external _alloc_arena_chunk
00007ffc0fc61be6 (__TEXT,__text) non-external _arena_calloc
00007ffc0fc61cf5 (__TEXT,__text) non-external _arena_free
00007ffc4140f618 (__DATA,__bss) non-external _arena_lock
00007ffc4140f410 (__DATA,__data) non-external _arena_once
00007ffc0fc61cad (__TEXT,__text) non-external _arena_realloc
00007ffc0fc4a5ba (__TEXT,__text) non-external _autolink_delim
00007ffc4140f250 (__DATA,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007ffc0fc48ed1 (__TEXT,__text) non-external _can_contain
00007ffc0fc4b8cd (__TEXT,__text) non-external _can_contain
00007ffc0fc6065a (__TEXT,__text) non-external _can_contain
