00007ff81b703805 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81b70904c (__TEXT,__text) non-external +[CalCalendar calendar]
00007ff81b70e153 (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
00007ff81b708c39 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00007ff81b708e2d (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00007ff81b708a39 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00007ff81b7087c6 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00007ff81b707ddd (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00007ff81b705210 (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00007ff81b702e20 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00007ff81b70807f (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00007ff81b707e50 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00007ff81b70505c (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
00007ff81b704f7b (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00007ff81b708308 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00007ff81b708423 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00007ff81b708565 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00007ff81b708684 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00007ff81b707c32 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00007ff81b70a14e (__TEXT,__text) non-external +[CalEvent event]
00007ff81b70a94e (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
00007ff81b70cb93 (__TEXT,__text) non-external +[CalNthWeekDay nthWeekDayWithDayOfTheWeek:weekNumber:]
00007ff81b70cc48 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithEndDate:]
