000000020d171b4c (__TEXT,__text) non-external _Done_iODBC
000000020d1909f0 (__TEXT,__const) non-external _FunctionNumbers
000000020d18f858 (__TEXT,__text) non-external _GetPrivateProfileString
000000020d1719c8 (__TEXT,__text) non-external _Init_iODBC
000000021ba981ac (__DATA,__common) non-external _ODBCSharedTraceFlag
000000020d1700c8 (__TEXT,__text) external _SQLAllocConnect
000000020d16ffd8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000020d171938 (__TEXT,__text) external _SQLAllocEnv
000000020d171794 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000020d17b8e4 (__TEXT,__text) external _SQLAllocHandle
000000020d17b9fc (__TEXT,__text) non-external _SQLAllocHandleStd
000000020d17b644 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000020d1745b8 (__TEXT,__text) external _SQLAllocStmt
000000020d174104 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000020d1795ac (__TEXT,__text) external _SQLBindCol
000000020d1815c8 (__TEXT,__text) external _SQLBindParam
000000020d178a54 (__TEXT,__text) external _SQLBindParameter
000000020d16cd90 (__TEXT,__text) external _SQLBrowseConnect
000000020d16ced8 (__TEXT,__text) external _SQLBrowseConnectA
000000020d16d020 (__TEXT,__text) external _SQLBrowseConnectW
000000020d16c86c (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000020d1810dc (__TEXT,__text) external _SQLBulkOperations
000000020d1754e8 (__TEXT,__text) external _SQLCancel
000000020d18160c (__TEXT,__text) external _SQLCloseCursor
000000020d180b20 (__TEXT,__text) external _SQLColAttribute
000000020d180cc8 (__TEXT,__text) external _SQLColAttributeA
000000020d180e70 (__TEXT,__text) external _SQLColAttributeW
000000020d180458 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000020d17b14c (__TEXT,__text) external _SQLColAttributes
000000020d17b2f4 (__TEXT,__text) external _SQLColAttributesA
000000020d17b49c (__TEXT,__text) external _SQLColAttributesW
000000020d17acb0 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000020d165ce8 (__TEXT,__text) external _SQLColumnPrivileges
000000020d165ecc (__TEXT,__text) external _SQLColumnPrivilegesA
000000020d1660b0 (__TEXT,__text) external _SQLColumnPrivilegesW
000000020d165a54 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000020d166528 (__TEXT,__text) external _SQLColumns
000000020d16670c (__TEXT,__text) external _SQLColumnsA
000000020d1668f0 (__TEXT,__text) external _SQLColumnsW
000000020d166294 (__TEXT,__text) non-external _SQLColumns_Internal
000000020d16a1bc (__TEXT,__text) external _SQLConnect
000000020d16a948 (__TEXT,__text) external _SQLConnectA
000000020d16aaa8 (__TEXT,__text) external _SQLConnectW
000000020d16a31c (__TEXT,__text) non-external _SQLConnect_Internal
000000020d19047c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000020d1802dc (__TEXT,__text) external _SQLCopyDesc
000000020d176008 (__TEXT,__text) external _SQLDataSources
000000020d176150 (__TEXT,__text) external _SQLDataSourcesA
000000020d176298 (__TEXT,__text) external _SQLDataSourcesW
000000020d175bac (__TEXT,__text) non-external _SQLDataSources_Internal
000000021ba98130 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000021ba98150 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000021ba98158 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000020d17a6d4 (__TEXT,__text) external _SQLDescribeCol
000000020d17a8c8 (__TEXT,__text) external _SQLDescribeColA
000000020d17aabc (__TEXT,__text) external _SQLDescribeColW
000000020d17a420 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000020d16ee88 (__TEXT,__text) external _SQLDescribeParam
000000020d16d168 (__TEXT,__text) external _SQLDisconnect
000000020d16c3f8 (__TEXT,__text) external _SQLDriverConnect
000000020d16c574 (__TEXT,__text) external _SQLDriverConnectA
000000020d16c6f0 (__TEXT,__text) external _SQLDriverConnectW
000000020d16ac08 (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000020d1904a8 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000020d1904d4 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000020d17689c (__TEXT,__text) external _SQLDrivers
000000020d1769e4 (__TEXT,__text) external _SQLDriversA
000000020d176b2c (__TEXT,__text) external _SQLDriversW
000000020d1764b8 (__TEXT,__text) non-external _SQLDrivers_Internal
000000021ba98134 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000021ba98160 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000021ba98168 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000020d181018 (__TEXT,__text) external _SQLEndTran
000000020d1722cc (__TEXT,__text) external _SQLError
000000020d1723f4 (__TEXT,__text) external _SQLErrorA
000000020d17251c (__TEXT,__text) external _SQLErrorW
000000020d16e390 (__TEXT,__text) external _SQLExecDirect
000000020d16e4e0 (__TEXT,__text) external _SQLExecDirectA
000000020d16e630 (__TEXT,__text) external _SQLExecDirectW
000000020d16e134 (__TEXT,__text) non-external _SQLExecDirect_Internal
000000020d16de6c (__TEXT,__text) external _SQLExecute
000000020d16f578 (__TEXT,__text) external _SQLExtendedFetch
000000020d16f2c0 (__TEXT,__text) external _SQLFetch
000000020d1812c8 (__TEXT,__text) external _SQLFetchScroll
000000020d16f104 (__TEXT,__text) non-external _SQLFetch_Internal
000000020d166e28 (__TEXT,__text) external _SQLForeignKeys
000000020d1670e4 (__TEXT,__text) external _SQLForeignKeysA
000000020d1673a0 (__TEXT,__text) external _SQLForeignKeysW
000000020d166ad4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000020d17023c (__TEXT,__text) external _SQLFreeConnect
