00007ff80b7b1dfe (__TEXT,__text) non-external _Annihilate
00007ff80b7f54f6 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80b7f5db5 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80b7f4005 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80b7b1bf3 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80b7ce28f (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80b7a2240 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80b7b1eda (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80b7a252b (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80b7f24cf (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80b7f2e72 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80b7a2826 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80b7b9718 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80b7c5744 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80b7c63ee (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80b7c4a9a (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80b7c4e1b (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80b7c5ac5 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80b7c4171 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80b7ab538 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80b7ace82 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80b7ae65c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80b7afe36 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80b7ab6a8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80b7e5f28 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80b7e80c6 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80b7e9063 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80b7ea000 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80b7eaf9d (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80b7ebf3a (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80b7eced7 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80b7ede74 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80b7eef1b (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80b7e618c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80b7e7129 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80b7c240e (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80b7d56f0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80b7c91c3 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80b7c1a70 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80b7c909a (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80b7b7d04 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80b7b7dd5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80b7b7eb0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80b7b7da0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80b7bc3e4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80b7bc3db (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
