                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff814b3329e (__TEXT,__text) non-external _alone_decode
00007ff814b33558 (__TEXT,__text) non-external _alone_decoder_end
00007ff814b33579 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff814b31e3e (__TEXT,__text) non-external _alone_encode
00007ff814b31f02 (__TEXT,__text) non-external _alone_encoder_end
00007ff814b31cc3 (__TEXT,__text) non-external _alone_encoder_init
00007ff814b3d6d8 (__TEXT,__text) non-external _arm64_code
00007ff814b405aa (__TEXT,__text) non-external _arm_code
00007ff814b4066d (__TEXT,__text) non-external _armthumb_code
00007ff814b3373f (__TEXT,__text) non-external _auto_decode
00007ff814b3387c (__TEXT,__text) non-external _auto_decoder_end
00007ff814b3389d (__TEXT,__text) non-external _auto_decoder_get_check
00007ff814b33663 (__TEXT,__text) non-external _auto_decoder_init
00007ff814b338b4 (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff814b46140 (__TEXT,__const) non-external _bcj_optmap
00007ff814b31fbf (__TEXT,__text) non-external _block_buffer_encode
00007ff814b33bda (__TEXT,__text) non-external _block_decode
00007ff814b33e6c (__TEXT,__text) non-external _block_decoder_end
00007ff814b2ca40 (__TEXT,__text) non-external _block_encode
00007ff814b3227f (__TEXT,__text) non-external _block_encode_normal
00007ff814b323e1 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff814b30db2 (__TEXT,__text) non-external _block_encoder_end
00007ff814b2ac5e (__TEXT,__text) non-external _block_encoder_init
00007ff814b32562 (__TEXT,__text) non-external _block_encoder_update
00007ff814b2fc2b (__TEXT,__text) non-external _bt_find_func
00007ff814b2dcd4 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _clock_gettime (from libSystem)
00007ff814b3ff9a (__TEXT,__text) non-external _copy_or_code
00007ff814b38758 (__TEXT,__text) non-external _decode_buffer
00007ff814b34297 (__TEXT,__text) non-external _decoder_find
00007ff8417eddf0 (__DATA_CONST,__const) non-external _decoders
00007ff814b3f82c (__TEXT,__text) non-external _delta_coder_end
00007ff814b3fa0b (__TEXT,__text) non-external _delta_decode
00007ff814b3f89d (__TEXT,__text) non-external _delta_encode
00007ff814b3f9ba (__TEXT,__text) non-external _delta_encoder_update
00007ff814b46160 (__TEXT,__const) non-external _delta_optmap
00007ff814b2b1cd (__TEXT,__text) non-external _encoder_find
00007ff8417edb80 (__DATA_CONST,__const) non-external _encoders
00007ff814b41f20 (__TEXT,__const) non-external _features
00007ff814b39309 (__TEXT,__text) non-external _file_info_decode
00007ff814b399d0 (__TEXT,__text) non-external _file_info_decoder_end
00007ff814b39a10 (__TEXT,__text) non-external _file_info_decoder_memconfig
00007ff8417edf50 (__DATA_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00007ff814b2fd9c (__TEXT,__text) non-external _get_literal_price
00007ff814b40b93 (__TEXT,__text) non-external _get_options
00007ff814b4153a (__TEXT,__text) non-external _get_progress
00007ff814b3f23d (__TEXT,__text) non-external _get_thread
00007ff814b34b51 (__TEXT,__text) non-external _hash_append
00007ff814b368d2 (__TEXT,__text) non-external _hc_find_func
00007ff814b403f5 (__TEXT,__text) non-external _ia64_code
00007ff814b482c0 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff814b31846 (__TEXT,__text) non-external _index_cat_helper
00007ff814b34531 (__TEXT,__text) non-external _index_decode
00007ff814b3481c (__TEXT,__text) non-external _index_decoder_end
00007ff814b34841 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff814b305ad (__TEXT,__text) non-external _index_encode
00007ff814b30e60 (__TEXT,__text) non-external _index_encoder_end
00007ff814b30eba (__TEXT,__text) non-external _index_stream_end
00007ff814b2a90f (__TEXT,__text) non-external _index_tree_append
00007ff814b30e6a (__TEXT,__text) non-external _index_tree_node_end
00007ff814b2b94d (__TEXT,__text) non-external _is_options_valid
00007ff814b30a14 (__TEXT,__text) non-external _iter_set_info
