00007ff90e98dd66 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90e98dd7d (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff90e97e231 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00007ff90e97e0a1 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff90e97e57b (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff90e98e1f7 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff90e9915dd (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff90e991664 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff90e98e503 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff90e98d996 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff90e986728 (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff90e99087c (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00007ff90e986784 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff90e986d78 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff90e990a5c (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff90e990ac6 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff90e986707 (__TEXT,__text) non-external +[MIS isAvailable]
00007ff90e986c82 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff90e9909f4 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff90e990a28 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff90e986bd0 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff90e9909c0 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff90e986988 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff90e990894 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff90e9908fe (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff90e990932 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff90e990966 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff90e986f9b (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff90e990be4 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
