                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00000002846dae7c (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000002846db0f8 (__TEXT,__const) external _libopenpam
00000002846da9a4 (__TEXT,__text) external _misc_conv
00000002846dafa0 (__TEXT,__text) non-external _misc_conv.cold.1
00000002846dafa0 (__TEXT,__text) non-external _misc_conv.cold.2
00000002846da6c8 (__TEXT,__text) external _pam_acct_mgmt
00000002846daf10 (__TEXT,__text) non-external _pam_acct_mgmt.cold.1
00000002846daf10 (__TEXT,__text) non-external _pam_acct_mgmt.cold.2
00000002846da5d8 (__TEXT,__text) external _pam_authenticate
00000002846daee0 (__TEXT,__text) non-external _pam_authenticate.cold.1
00000002846daee0 (__TEXT,__text) non-external _pam_authenticate.cold.2
00000002846da740 (__TEXT,__text) external _pam_chauthtok
00000002846daf28 (__TEXT,__text) non-external _pam_chauthtok.cold.1
00000002846daf28 (__TEXT,__text) non-external _pam_chauthtok.cold.2
00000002846da830 (__TEXT,__text) external _pam_close_session
00000002846daf58 (__TEXT,__text) non-external _pam_close_session.cold.1
00000002846daf58 (__TEXT,__text) non-external _pam_close_session.cold.2
00000002846da568 (__TEXT,__text) external _pam_end
00000002846daec8 (__TEXT,__text) non-external _pam_end.cold.1
00000002846daec8 (__TEXT,__text) non-external _pam_end.cold.2
00000002846dabd8 (__TEXT,__text) external _pam_get_data
00000002846db018 (__TEXT,__text) non-external _pam_get_data.cold.1
00000002846db018 (__TEXT,__text) non-external _pam_get_data.cold.2
00000002846da924 (__TEXT,__text) external _pam_get_item
00000002846daf88 (__TEXT,__text) non-external _pam_get_item.cold.1
00000002846daf88 (__TEXT,__text) non-external _pam_get_item.cold.2
00000002846dadf8 (__TEXT,__text) external _pam_get_pass
00000002846db078 (__TEXT,__text) non-external _pam_get_pass.cold.1
00000002846db090 (__TEXT,__text) non-external _pam_get_pass.cold.2
00000002846dace0 (__TEXT,__text) external _pam_get_user
00000002846db048 (__TEXT,__text) non-external _pam_get_user.cold.1
00000002846db048 (__TEXT,__text) non-external _pam_get_user.cold.2
00000002846dab08 (__TEXT,__text) external _pam_getenv
00000002846dafe8 (__TEXT,__text) non-external _pam_getenv.cold.1
00000002846dafe8 (__TEXT,__text) non-external _pam_getenv.cold.2
00000002846dab74 (__TEXT,__text) external _pam_getenvlist
00000002846db000 (__TEXT,__text) non-external _pam_getenvlist.cold.1
00000002846db000 (__TEXT,__text) non-external _pam_getenvlist.cold.2
00000002846da7bc (__TEXT,__text) external _pam_open_session
00000002846daf40 (__TEXT,__text) non-external _pam_open_session.cold.1
00000002846daf40 (__TEXT,__text) non-external _pam_open_session.cold.2
00000002846dad60 (__TEXT,__text) external _pam_prompt
00000002846db060 (__TEXT,__text) non-external _pam_prompt.cold.1
00000002846db060 (__TEXT,__text) non-external _pam_prompt.cold.2
00000002846daa98 (__TEXT,__text) external _pam_putenv
00000002846dafd0 (__TEXT,__text) non-external _pam_putenv.cold.1
00000002846dafd0 (__TEXT,__text) non-external _pam_putenv.cold.2
00000002846dac58 (__TEXT,__text) external _pam_set_data
00000002846db030 (__TEXT,__text) non-external _pam_set_data.cold.1
00000002846db030 (__TEXT,__text) non-external _pam_set_data.cold.2
00000002846da8a4 (__TEXT,__text) external _pam_set_item
00000002846daf70 (__TEXT,__text) non-external _pam_set_item.cold.1
00000002846daf70 (__TEXT,__text) non-external _pam_set_item.cold.2
00000002846da650 (__TEXT,__text) external _pam_setcred
00000002846daef8 (__TEXT,__text) non-external _pam_setcred.cold.1
00000002846daef8 (__TEXT,__text) non-external _pam_setcred.cold.2
00000002846da4e0 (__TEXT,__text) external _pam_start
00000002846daeb0 (__TEXT,__text) non-external _pam_start.cold.1
00000002846daeb0 (__TEXT,__text) non-external _pam_start.cold.2
00000002846daa2c (__TEXT,__text) external _pam_strerror
00000002846dafb8 (__TEXT,__text) non-external _pam_strerror.cold.1
00000002846dafb8 (__TEXT,__text) non-external _pam_strerror.cold.2
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000002846da480 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00000002846da490 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00000002846da4dc (__TEXT,__text) external _xlate_pam_shim_item_type
00000002846da4b8 (__TEXT,__text) external _xlate_pam_shim_retval
00000002846da4a4 (__TEXT,__text) external _xlate_pam_shim_session_flags
00000002846da4b0 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
