00007ffa1bd92a9b (__TEXT,__text) non-external _DiToMD5
00007ffa1bd92d7b (__TEXT,__text) non-external _DiToSHA1
00007ffa1bd7b9a2 (__TEXT,__text) external _DriverExecutableMain
00007ffa41e78808 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa41e78ac8 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa41e789d0 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa41e78bc0 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa41e78d20 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa1bd77f50 (__TEXT,__text) external _IODelay
00007ffa41e78ed0 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa41e79080 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa1bd7bee4 (__TEXT,__text) external _IODriverKitTest
00007ffa1bda2973 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa1bda299e (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa1bda29c1 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa1bda29ec (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa1bda2a0f (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa1bda2a32 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa1bda2a55 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa1bda2a78 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa41e79230 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa1bd77eff (__TEXT,__text) external _IOFree
00007ffa1bd77f36 (__TEXT,__text) external _IOFreeData
00007ffa1bd7bec9 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa41e79a80 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa41e79390 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa1bd77f63 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa1bd7acce (__TEXT,__text) external _IOLockAlloc
00007ffa1bd7ad1d (__TEXT,__text) external _IOLockAssert
00007ffa1bda23a4 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa1bd7ace9 (__TEXT,__text) external _IOLockFree
00007ffa1bd7acff (__TEXT,__text) external _IOLockLock
00007ffa1bd7ad09 (__TEXT,__text) external _IOLockTryLock
00007ffa1bd7ad13 (__TEXT,__text) external _IOLockUnlock
00007ffa1bd77d02 (__TEXT,__text) external _IOLog
00007ffa1bd77b92 (__TEXT,__text) external _IOLogBuffer
00007ffa1bd77daa (__TEXT,__text) external _IOLogv
00007ffa1bd77ed2 (__TEXT,__text) external _IOMalloc
00007ffa1bd77f09 (__TEXT,__text) external _IOMallocData
00007ffa1bd77eed (__TEXT,__text) external _IOMallocZero
00007ffa1bd77f24 (__TEXT,__text) external _IOMallocZeroData
00007ffa41e79540 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa41e796f0 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa1bd77fe3 (__TEXT,__text) external _IOParseBootArgNumber
00007ffa1bd7844c (__TEXT,__text) external _IOParseBootArgString
00007ffa1bd79ed9 (__TEXT,__text) external _IORPCMessageFromMach
00007ffa1bda20fd (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffa1bda2132 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa1bd7af1c (__TEXT,__text) external _IORWLockAlloc
00007ffa1bda24bc (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffa1bd7af55 (__TEXT,__text) external _IORWLockFree
00007ffa1bd7af7c (__TEXT,__text) external _IORWLockRead
00007ffa1bda24df (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa1bd7afa8 (__TEXT,__text) external _IORWLockUnlock
00007ffa1bda2525 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa1bd7af92 (__TEXT,__text) external _IORWLockWrite
00007ffa1bda2502 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa1bd7ad96 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa1bd7adc2 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa1bd7ae84 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa1bda2453 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa1bd7add8 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1bda23c7 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa1bda23ea (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa1bd7aeb8 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa1bda2476 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa1bda2499 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa1bd7ae30 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa1bda240d (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffa1bda2430 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa1bd7ad3a (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa1bd7ad56 (__TEXT,__text) external _IORecursiveLockFree
00007ffa1bd7ad82 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa1bd7ad6c (__TEXT,__text) external _IORecursiveLockLock
00007ffa1bd7ad8c (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa1bd7ad78 (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa41e79b20 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa41e798a0 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa41e79f28 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa41e7a088 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa41e79d78 (__DATA_CONST,__const) external _IOService_Class
00007ffa41e79940 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa1bd77f40 (__TEXT,__text) external _IOSleep
00007ffa41e799e0 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa1bd7b030 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffa1bd7afbe (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffa1bd7affa (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffa1bd7b00f (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffa41e7bcf8 (__DATA_CONST,__const) external _IOThread_Class
00007ffa41e7a1e8 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa41e7a398 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa1bd7b9e8 (__TEXT,__text) external _IOUserServerMain
00007ffa1bda2815 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa1bda2950 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1bda2838 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa1bda285b (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa1bda287e (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffa1bda28a1 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1bda28c4 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1bda28e7 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa1bda290a (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa1bda292d (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa41e7a678 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa4410a630 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa41e7a828 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa1bd92c30 (__TEXT,__text) external _MD5Final
00007ffa1bd92a00 (__TEXT,__text) external _MD5Init
00007ffa1bd92bba (__TEXT,__text) non-external _MD5ToDi
00007ffa1bd92afd (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa41e7a988 (__DATA_CONST,__const) external _OSAction_Class
00007ffa41e7a438 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa41e7ba88 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa1bd84244 (__TEXT,__text) external _OSArrayAppendValue
00007ffa1bd83ec5 (__TEXT,__text) external _OSArrayApply
00007ffa1bd83e71 (__TEXT,__text) external _OSArrayCreate
00007ffa1bd83554 (__TEXT,__text) external _OSArrayGetCount
00007ffa1bd842d2 (__TEXT,__text) external _OSArrayGetStringValue
00007ffa1bd84342 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa1bd84278 (__TEXT,__text) external _OSArrayGetValue
00007ffa1bd84235 (__TEXT,__text) external _OSArrayReplaceValue
00007ffa1bd842fd (__TEXT,__text) external _OSArraySetStringValue
00007ffa1bd84408 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa1bd84097 (__TEXT,__text) external _OSArraySetValue
00007ffa41e7ab38 (__DATA_CONST,__const) external _OSArray_Class
00007ffa41e7ac30 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa41e7ad28 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa1bd82213 (__TEXT,__text) external _OSCollectionTypeID
00007ffa1bda3465 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa1bd82190 (__TEXT,__text) external _OSCollectionTypeName
00007ffa1bda3421 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffa41e7ae20 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa1bd86b06 (__TEXT,__text) external _OSCollectionsInitialize
00007ffa41e7af18 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa1bd82277 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa1bda34ab (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa1bd84d42 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa1bda39d9 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa1bd84c44 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa1bd833d9 (__TEXT,__text) external _OSDataAppendBytes
00007ffa1bd83335 (__TEXT,__text) external _OSDataCreate
00007ffa1bda364b (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffa1bd832e1 (__TEXT,__text) external _OSDataGetBytes
00007ffa1bd83298 (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa1bd832d0 (__TEXT,__text) external _OSDataGetLength
00007ffa41e7b078 (__DATA_CONST,__const) external _OSData_Class
00007ffa1bd83561 (__TEXT,__text) external _OSDictionaryApply
00007ffa1bd834f3 (__TEXT,__text) external _OSDictionaryCreate
00007ffa1bd83547 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa1bd83bf1 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa1bd83d94 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa1bd83b54 (__TEXT,__text) external _OSDictionaryGetValue
00007ffa1bd83d4f (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa1bd83e33 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa1bd83810 (__TEXT,__text) external _OSDictionarySetValue
00007ffa41e7b170 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa41e7b268 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa1bd83491 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa1bd83470 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa41e7b360 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa1bd85390 (__TEXT,__text) external _OSObjectLog
00007ffa1bd821cb (__TEXT,__text) external _OSObjectRelease
00007ffa1bd821c0 (__TEXT,__text) external _OSObjectRetain
00007ffa41e7b458 (__DATA_CONST,__const) external _OSObject_Class
00007ffa41e7b608 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa1bd7845b (__TEXT,__text) external _OSReportWithBacktrace
00007ffa1bd84e6c (__TEXT,__text) external _OSSerializationGetBytes
00007ffa41e7b700 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa41e7b7f8 (__DATA_CONST,__const) external _OSSet_Class
00007ffa1bd82d35 (__TEXT,__text) external _OSStringCreate
00007ffa1bda355a (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa1bda357d (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffa1bda359e (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffa1bd82cea (__TEXT,__text) external _OSStringGetLength
00007ffa1bd82cb2 (__TEXT,__text) external _OSStringGetStringPtr
00007ffa41e7b8f0 (__DATA_CONST,__const) external _OSString_Class
00007ffa1bd77f5a (__TEXT,__text) external _OSSynchronizeIO
00007ffa43050770 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa1bd78853 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa1bd92f0a (__TEXT,__text) external _SHA1Final
00007ffa1bd92ce0 (__TEXT,__text) external _SHA1Init
00007ffa1bd92e9d (__TEXT,__text) non-external _SHA1ToDi
00007ffa1bd92de0 (__TEXT,__text) external _SHA1Update
00007ffa1bd93754 (__TEXT,__text) external _SHA256_Final
00007ffa1bd936e1 (__TEXT,__text) external _SHA256_Init
00007ffa1bda4160 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffa1bd93721 (__TEXT,__text) external _SHA256_Update
00007ffa1bd937f2 (__TEXT,__text) external _SHA384_Final
00007ffa1bd93779 (__TEXT,__text) external _SHA384_Init
00007ffa1bda4179 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffa1bd937bf (__TEXT,__text) external _SHA384_Update
00007ffa1bd93890 (__TEXT,__text) external _SHA512_Final
00007ffa1bd93817 (__TEXT,__text) external _SHA512_Init
00007ffa1bda4192 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffa1bd9385d (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa1bd7934a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa1bd938b5 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffa41e7b9e8 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa1bd796c1 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
