                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
0000000199a69678 (__TEXT,__text) external _vDSP_DCT_CreateSetup
0000000199a69ba4 (__TEXT,__text) external _vDSP_DCT_Execute
0000000199a68f60 (__TEXT,__text) external _vDSP_DFT_CreateSetup
00000001999c0d20 (__TEXT,__text) external _vDSP_DFT_DestroySetup
0000000199a6a0d0 (__TEXT,__text) external _vDSP_DFT_DestroySetupD
00000001999b6200 (__TEXT,__text) external _vDSP_DFT_Execute
0000000199a6a810 (__TEXT,__text) external _vDSP_DFT_ExecuteD
00000001999da6f8 (__TEXT,__text) external _vDSP_DFT_Interleaved_CreateSetup
00000001999f5c74 (__TEXT,__text) external _vDSP_DFT_Interleaved_CreateSetupD
00000001999da67c (__TEXT,__text) external _vDSP_DFT_Interleaved_DestroySetup
00000001999f5c00 (__TEXT,__text) external _vDSP_DFT_Interleaved_DestroySetupD
00000001999daff0 (__TEXT,__text) external _vDSP_DFT_Interleaved_Execute
00000001999f6308 (__TEXT,__text) external _vDSP_DFT_Interleaved_ExecuteD
0000000199a691a4 (__TEXT,__text) external _vDSP_DFT_zop
00000001999c2908 (__TEXT,__text) external _vDSP_DFT_zop_CreateSetup
0000000199a6a134 (__TEXT,__text) external _vDSP_DFT_zop_CreateSetupD
00000001999c0d9c (__TEXT,__text) external _vDSP_DFT_zrop_CreateSetup
0000000199a6a49c (__TEXT,__text) external _vDSP_DFT_zrop_CreateSetupD
00000001999cd260 (__TEXT,__text) external _vDSP_FFT16_copv
00000001999cd8d0 (__TEXT,__text) external _vDSP_FFT16_zopv
00000001999cdabc (__TEXT,__text) external _vDSP_FFT32_copv
00000001999ce020 (__TEXT,__text) external _vDSP_FFT32_zopv
00000001999b1538 (__TEXT,__text) external _vDSP_biquad
0000000199a50054 (__TEXT,__text) external _vDSP_biquadD
