00007ff84004ab98 (__DATA,__data) non-external _C
00007ff84004d738 (__DATA,__bss) non-external _NXArgc_pointer
00007ff84004d730 (__DATA,__bss) non-external _NXArgv_pointer
00007ff8002b4fbd (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff8002b4ff4 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff8002b50fb (__TEXT,__text) non-external __BIG5_mbsinit
00007ff8002b50bc (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff84002e0c0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff84002e0e0 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff84002e188 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff84002e3a0 (__DATA_CONST,__const) non-external __C_time_locale
00007ff84004b370 (__DATA,__data) external __CurrentRuneLocale
00007ff84004bc38 (__DATA,__constrw) external __DefaultRuneLocale
00007ff84004c8c0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff8002b7636 (__TEXT,__text) non-external __EUC_free_extra
00007ff8002b6b70 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff8002b6cf6 (__TEXT,__text) non-external __EUC_mbrtowc
00007ff8002b761c (__TEXT,__text) non-external __EUC_mbsinit
00007ff8002b6ea3 (__TEXT,__text) non-external __EUC_wcrtomb
00007ff8002df472 (__TEXT,__text) external __Exit
00007ff8002b771a (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff8002b7751 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff8002b797f (__TEXT,__text) non-external __GB18030_mbsinit
00007ff8002b789c (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff8002b7998 (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff8002b79cf (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff8002b7afd (__TEXT,__text) non-external __GB2312_mbsinit
