                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00007ff8436b44b0 (__DATA,__data) external _CMFSSEAM_DEFAULT
00007ff80b98d994 (__TEXT,__const) external _CONTAINER_CURRENT_MOBILE_UID
00007ff80b98d99c (__TEXT,__const) external _CONTAINER_INSTALLATION_UID
00007ff8410f70b8 (__DATA_CONST,__const) external _CONTAINER_NOTIFY_USER_INVALIDATED
00007ff8410f70c8 (__DATA_CONST,__const) external _CONTAINER_PERSONA_CURRENT
00007ff8436b4c38 (__DATA,__bss) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.cache
00007ff8436b4c40 (__DATA,__bss) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.lock
00007ff8436b4c48 (__DATA,__bss) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.once_token
00007ff80b98d9a0 (__TEXT,__const) non-external _CONTAINER_PERSONA_CURRENT_block_invoke.persona_name_default
00007ff80b98d98c (__TEXT,__const) non-external _CONTAINER_PERSONA_DEFAULT
00007ff8410f70c0 (__DATA_CONST,__const) external _CONTAINER_PERSONA_PRIMARY
00007ff80b98d998 (__TEXT,__const) external _CONTAINER_SYSTEM_UID
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libsystem_sandbox)
                 (undefined) external _SANDBOX_EXTENSION_DEFAULT (from libsystem_sandbox)
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff8410f6de0 (__DATA_CONST,__const) non-external __CONTAINER_NAMES
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff80b97f702 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke
00007ff80b97f7ed (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke_2
00007ff80b97fb37 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke
00007ff80b97fbba (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.10
00007ff80b97fb5f (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.7
00007ff80b97fbde (__TEXT,__text) non-external _____locked_clear_per_persona_data_block_invoke
00007ff80b97f6de (__TEXT,__text) non-external _____locked_revoke_block_invoke
00007ff80b98855d (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke
00007ff80b988513 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke_2
00007ff80b987432 (__TEXT,__text) non-external ____container_legacy_lookup_multiple_block_invoke
00007ff80b97ab3e (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke
00007ff80b97ab5c (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke_2
00007ff80b970969 (__TEXT,__text) non-external ____container_paths_chown_component_block_invoke
00007ff80b975e94 (__TEXT,__text) non-external ____container_xpc_default_sender_block_invoke
00007ff80b9732a5 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke
00007ff80b973071 (__TEXT,__text) non-external ____container_xpc_invalidate_shared_connection_after_timeout_block_invoke.11
00007ff80b97608c (__TEXT,__text) non-external ____container_xpc_pthread_key_for_client_context_block_invoke
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff8410f5c60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff8410f6260 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00007ff8410f66b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.261
00007ff8410f6820 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.327
00007ff8410f6970 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.386
00007ff8410f6c00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.593
00007ff8410f6d50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.623
00007ff8410f7068 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1.788
00007ff8410f6710 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10
00007ff8410f6a20 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10.382
00007ff8410f7220 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.10.834
00007ff8410f7a40 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.106
00007ff8410f7a70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.107
00007ff8410f7250 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ff8410f7ab0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.110
00007ff8410f67e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00007ff8410f6f40 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12.666
00007ff8410f7280 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12.835
00007ff8410f6f70 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13
00007ff8410f72b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.13.840
00007ff8410f72e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.14
00007ff8410f6fb0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00007ff8410f6160 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.154
00007ff8410f6190 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.158
00007ff8410f7310 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.16
00007ff8410f7340 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.17
00007ff8410f7370 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.18
00007ff8410f6240 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.183
00007ff8410f6280 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2
00007ff8410f6840 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2.329
00007ff8410f6c30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2.595
00007ff8410f6d80 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.2.628
00007ff8410f73a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.22
