                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
0000000200228fe4 (__TEXT,__text) external _apr__SHA256_Data
0000000200228f18 (__TEXT,__text) external _apr__SHA256_End
0000000200228e00 (__TEXT,__text) external _apr__SHA256_Final
0000000200228ae0 (__TEXT,__text) external _apr__SHA256_Init
0000000200228b10 (__TEXT,__text) external _apr__SHA256_Transform
0000000200228d1c (__TEXT,__text) external _apr__SHA256_Update
00000002002203b8 (__TEXT,__text) external _apr_allocator_alloc
0000000200220244 (__TEXT,__text) external _apr_allocator_create
00000002002202a4 (__TEXT,__text) external _apr_allocator_destroy
0000000200220588 (__TEXT,__text) external _apr_allocator_free
0000000200220330 (__TEXT,__text) external _apr_allocator_max_free_set
0000000200220318 (__TEXT,__text) external _apr_allocator_mutex_get
0000000200220310 (__TEXT,__text) external _apr_allocator_mutex_set
0000000200220328 (__TEXT,__text) external _apr_allocator_owner_get
0000000200220320 (__TEXT,__text) external _apr_allocator_owner_set
0000000200222afc (__TEXT,__text) external _apr_app_initialize
00000002002199f0 (__TEXT,__text) external _apr_array_append
0000000200219818 (__TEXT,__text) external _apr_array_cat
0000000200219730 (__TEXT,__text) external _apr_array_clear
00000002002198f8 (__TEXT,__text) external _apr_array_copy
00000002002199a8 (__TEXT,__text) external _apr_array_copy_hdr
00000002002196b0 (__TEXT,__text) external _apr_array_make
0000000200219738 (__TEXT,__text) external _apr_array_pop
0000000200219a54 (__TEXT,__text) external _apr_array_pstrcat
0000000200219764 (__TEXT,__text) external _apr_array_push
0000000200217918 (__TEXT,__text) external _apr_atoi64
000000020021b21c (__TEXT,__text) external _apr_atomic_add32
000000020021b24c (__TEXT,__text) external _apr_atomic_cas32
000000020021b264 (__TEXT,__text) external _apr_atomic_casptr
000000020021b23c (__TEXT,__text) external _apr_atomic_dec32
000000020021b230 (__TEXT,__text) external _apr_atomic_inc32
000000020021b204 (__TEXT,__text) external _apr_atomic_init
000000020021b20c (__TEXT,__text) external _apr_atomic_read32
000000020021b214 (__TEXT,__text) external _apr_atomic_set32
000000020021b224 (__TEXT,__text) external _apr_atomic_sub32
000000020021b258 (__TEXT,__text) external _apr_atomic_xchg32
000000020021b270 (__TEXT,__text) external _apr_atomic_xchgptr
0000000200214c60 (__TEXT,__text) external _apr_collapse_spaces
00000002002148c8 (__TEXT,__text) external _apr_cpystrn
0000000200229074 (__TEXT,__text) external _apr_crypto_sha256_new
000000020022b484 (__TEXT,__text) external _apr_ctime
000000020022cb40 (__TEXT,__const) external _apr_day_snames
000000020021b7f4 (__TEXT,__text) external _apr_dir_close
000000020021ba30 (__TEXT,__text) external _apr_dir_make
000000020021ba70 (__TEXT,__text) external _apr_dir_make_recursive
000000020021b728 (__TEXT,__text) external _apr_dir_open
000000020021b834 (__TEXT,__text) external _apr_dir_read
000000020021bb6c (__TEXT,__text) external _apr_dir_remove
000000020021ba10 (__TEXT,__text) external _apr_dir_rewind
000000020021b440 (__TEXT,__text) external _apr_dso_error
000000020021b2e4 (__TEXT,__text) external _apr_dso_load
000000020021b3f0 (__TEXT,__text) external _apr_dso_sym
000000020021b3d4 (__TEXT,__text) external _apr_dso_unload
0000000200221980 (__TEXT,__text) external _apr_env_delete
000000020022191c (__TEXT,__text) external _apr_env_get
000000020022195c (__TEXT,__text) external _apr_env_set
00000002002141b8 (__TEXT,__text) external _apr_escape_echo
0000000200213a2c (__TEXT,__text) external _apr_escape_entity
00000002002144a0 (__TEXT,__text) external _apr_escape_hex
000000020021364c (__TEXT,__text) external _apr_escape_path
00000002002134ac (__TEXT,__text) external _apr_escape_path_segment
0000000200212e84 (__TEXT,__text) external _apr_escape_shell
0000000200213864 (__TEXT,__text) external _apr_escape_urlencoded
000000020021b6f0 (__TEXT,__text) external _apr_file_append
000000020021c9a8 (__TEXT,__text) external _apr_file_attrs_set
000000020021b484 (__TEXT,__text) external _apr_file_buffer_set
000000020021b520 (__TEXT,__text) external _apr_file_buffer_size_get
000000020021d40c (__TEXT,__text) external _apr_file_close
000000020021b528 (__TEXT,__text) external _apr_file_copy
000000020021bcd8 (__TEXT,__text) external _apr_file_data_get
000000020021bce0 (__TEXT,__text) external _apr_file_data_set
000000020021e6a4 (__TEXT,__text) external _apr_file_datasync
000000020021bcf8 (__TEXT,__text) external _apr_file_dup
000000020021bef0 (__TEXT,__text) external _apr_file_dup2
000000020021d560 (__TEXT,__text) external _apr_file_eof
000000020021bc20 (__TEXT,__text) external _apr_file_flags_get
000000020021e5d8 (__TEXT,__text) external _apr_file_flush
000000020021e2fc (__TEXT,__text) external _apr_file_flush_locked
000000020021e558 (__TEXT,__text) external _apr_file_getc
000000020021e718 (__TEXT,__text) external _apr_file_gets
000000020021c8ac (__TEXT,__text) external _apr_file_info_get
000000020021c754 (__TEXT,__text) external _apr_file_info_get_locked
000000020021d78c (__TEXT,__text) external _apr_file_inherit_set
000000020021d840 (__TEXT,__text) external _apr_file_inherit_unset
000000020021d8fc (__TEXT,__text) external _apr_file_link
000000020021cc0c (__TEXT,__text) external _apr_file_lock
000000020021cfd4 (__TEXT,__text) external _apr_file_mktemp
000000020021cb18 (__TEXT,__text) external _apr_file_mtime_set
000000020021bc10 (__TEXT,__text) external _apr_file_name_get
000000020021dddc (__TEXT,__text) external _apr_file_namedpipe_create
000000020021d1a8 (__TEXT,__text) external _apr_file_open
000000020021d578 (__TEXT,__text) external _apr_file_open_flags_stderr
000000020021d5e0 (__TEXT,__text) external _apr_file_open_flags_stdin
000000020021d5ac (__TEXT,__text) external _apr_file_open_flags_stdout
000000020021d610 (__TEXT,__text) external _apr_file_open_stderr
000000020021d710 (__TEXT,__text) external _apr_file_open_stdin
000000020021d690 (__TEXT,__text) external _apr_file_open_stdout
000000020021c95c (__TEXT,__text) external _apr_file_perms_set
000000020021dbb0 (__TEXT,__text) external _apr_file_pipe_create
000000020021dd60 (__TEXT,__text) external _apr_file_pipe_create_ex
