                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
00007ff802e592fb (__TEXT,__text) non-external _LI_get_thread_info
00007ff802e6f304 (__TEXT,__text) external _LI_get_thread_item
00007ff802e637f0 (__TEXT,__text) external _LI_get_thread_list
00007ff802e580cc (__TEXT,__text) external _LI_ils_create
00007ff802e592d4 (__TEXT,__text) external _LI_set_thread_item
00007ff802e5df51 (__TEXT,__text) external _LI_set_thread_list
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __DefaultRuneLocale (from libsystem_c)
00007ff802e5b025 (__TEXT,__text) non-external __LI_data_free
00007ff802e59468 (__TEXT,__text) non-external __LI_data_init
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff802e6cc17 (__TEXT,__text) non-external ____check_groups_block_invoke
00007ff802e6cc98 (__TEXT,__text) non-external ____check_groups_block_invoke_2
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff802e703cc (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
00007ff802e770c1 (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
00007ff802e70452 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00007ff802e77074 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00007ff802e70475 (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00007ff802e7710e (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00007ff802e704dc (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke
00007ff802e70521 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.38
00007ff802e70566 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.40
00007ff802e705ab (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.42
00007ff802e70636 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.44
00007ff802e706be (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.46
00007ff802e7011d (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke
00007ff802e70282 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.14
00007ff802e702c4 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.17
00007ff802e70306 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.19
00007ff802e70348 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.21
00007ff802e7038a (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.23
00007ff802e63df0 (__TEXT,__text) non-external ____ds_list_block_invoke
00007ff802e67bbc (__TEXT,__text) non-external ____extract_alias_dict_block_invoke
00007ff802e64136 (__TEXT,__text) non-external ____extract_fstab_dict_block_invoke
00007ff802e59d70 (__TEXT,__text) non-external ____extract_group_dict_block_invoke
00007ff802e677c0 (__TEXT,__text) non-external ____extract_netgroup_dict_block_invoke
00007ff802e67f28 (__TEXT,__text) non-external ____extract_network_dict_block_invoke
00007ff802e68658 (__TEXT,__text) non-external ____extract_protocol_dict_block_invoke
00007ff802e689f0 (__TEXT,__text) non-external ____extract_rpc_dict_block_invoke
00007ff802e682ab (__TEXT,__text) non-external ____extract_service_dict_block_invoke
