00007ffb005712f2 (__TEXT,__text) non-external _DiToMD5
00007ffb00571572 (__TEXT,__text) non-external _DiToSHA1
00007ffb0055a77e (__TEXT,__text) external _DriverExecutableMain
00007ffb40022a40 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb40022d00 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb40022c08 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb40022df8 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb40022f58 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb005571b8 (__TEXT,__text) external _IODelay
00007ffb40023108 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb400232b8 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb0055ac6b (__TEXT,__text) external _IODriverKitTest
00007ffb005822c8 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb005822f3 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb00582316 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb00582341 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb00582364 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb00582387 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb005823aa (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb005823cd (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb40023468 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb400235c8 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb00557167 (__TEXT,__text) external _IOFree
00007ffb0055719e (__TEXT,__text) external _IOFreeData
00007ffb0055ac50 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb40023e48 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb40023758 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb005571cb (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb00559e32 (__TEXT,__text) external _IOLockAlloc
00007ffb00559e81 (__TEXT,__text) external _IOLockAssert
00007ffb00581d3f (__TEXT,__text) non-external _IOLockAssert.cold.1
