000000018bb22348 (__TEXT,__const) non-external _KW_ANY
000000018bb222cd (__TEXT,__const) non-external _KW_ATTLIST
000000018bb222fb (__TEXT,__const) non-external _KW_CDATA
000000018bb222b0 (__TEXT,__const) non-external _KW_DOCTYPE
000000018bb222d5 (__TEXT,__const) non-external _KW_ELEMENT
000000018bb22342 (__TEXT,__const) non-external _KW_EMPTY
000000018bb22311 (__TEXT,__const) non-external _KW_ENTITIES
000000018bb222c6 (__TEXT,__const) non-external _KW_ENTITY
000000018bb2233c (__TEXT,__const) non-external _KW_FIXED
000000018bb22301 (__TEXT,__const) non-external _KW_ID
000000018bb22304 (__TEXT,__const) non-external _KW_IDREF
000000018bb2230a (__TEXT,__const) non-external _KW_IDREFS
000000018bb222ee (__TEXT,__const) non-external _KW_IGNORE
000000018bb2232b (__TEXT,__const) non-external _KW_IMPLIED
000000018bb222e6 (__TEXT,__const) non-external _KW_INCLUDE
000000018bb22a58 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018bb222f5 (__TEXT,__const) non-external _KW_NDATA
000000018bb2231a (__TEXT,__const) non-external _KW_NMTOKEN
000000018bb22322 (__TEXT,__const) non-external _KW_NMTOKENS
000000018bb222dd (__TEXT,__const) non-external _KW_NOTATION
000000018bb2234c (__TEXT,__const) non-external _KW_PCDATA
000000018bb222bf (__TEXT,__const) non-external _KW_PUBLIC
000000018bb22333 (__TEXT,__const) non-external _KW_REQUIRED
000000018bb222b8 (__TEXT,__const) non-external _KW_SYSTEM
000000018bb22a63 (__TEXT,__const) non-external _KW_US_ASCII
000000018bb22a72 (__TEXT,__const) non-external _KW_UTF_16
000000018bb22a79 (__TEXT,__const) non-external _KW_UTF_16BE
000000018bb22a82 (__TEXT,__const) non-external _KW_UTF_16LE
000000018bb22a6c (__TEXT,__const) non-external _KW_UTF_8
000000018bb22a99 (__TEXT,__const) non-external _KW_encoding
000000018bb22ab1 (__TEXT,__const) non-external _KW_no
000000018bb22aa2 (__TEXT,__const) non-external _KW_standalone
000000018bb22a91 (__TEXT,__const) non-external _KW_version
000000018bb22aad (__TEXT,__const) non-external _KW_yes
000000018bb0b1b8 (__TEXT,__text) external _XML_DefaultCurrent
000000018bb0b2e8 (__TEXT,__text) external _XML_ErrorString
000000018bb0b30c (__TEXT,__text) external _XML_ExpatVersion
000000018bb0b318 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018bb0999c (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018bb0b164 (__TEXT,__text) external _XML_FreeContentModel
000000018bb0a694 (__TEXT,__text) external _XML_GetBase
000000018bb0aad4 (__TEXT,__text) external _XML_GetBuffer
000000018bb0b048 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018bb0b024 (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018bb0b10c (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018bb0b0b0 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018bb0b010 (__TEXT,__text) external _XML_GetErrorCode
000000018bb0b328 (__TEXT,__text) external _XML_GetFeatureList
00000001d2035f40 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018bb0a6b4 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018bb0b070 (__TEXT,__text) external _XML_GetInputContext
000000018bb0afe8 (__TEXT,__text) external _XML_GetParsingStatus
000000018bb21430 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018bb0a6a0 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018bb0b1a4 (__TEXT,__text) external _XML_MemFree
000000018bb0b178 (__TEXT,__text) external _XML_MemMalloc
000000018bb0b18c (__TEXT,__text) external _XML_MemRealloc
000000018bb0a890 (__TEXT,__text) external _XML_Parse
000000018bb0ad24 (__TEXT,__text) external _XML_ParseBuffer
000000018bb0913c (__TEXT,__text) external _XML_ParserCreate
000000018bb09154 (__TEXT,__text) external _XML_ParserCreateNS
000000018bb0914c (__TEXT,__text) external _XML_ParserCreate_MM
000000018bb0a148 (__TEXT,__text) external _XML_ParserFree
000000018bb093e8 (__TEXT,__text) external _XML_ParserReset
000000018bb0aef8 (__TEXT,__text) external _XML_ResumeParser
000000018bb0a810 (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018bb0a5e4 (__TEXT,__text) external _XML_SetBase
000000018bb0b364 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018bb0b334 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018bb0a710 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018bb0a6ec (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018bb0a704 (__TEXT,__text) external _XML_SetCommentHandler
000000018bb0a734 (__TEXT,__text) external _XML_SetDefaultHandler
000000018bb0a744 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018bb0a758 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018bb0a804 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018bb0a6c8 (__TEXT,__text) external _XML_SetElementHandler
