0000000180450420 (__TEXT,__text) external _NSAddImage
00000001804503b0 (__TEXT,__text) external _NSAddLibrary
00000001804503e8 (__TEXT,__text) external _NSAddLibraryWithSearching
000000018044fd78 (__TEXT,__text) external _NSAddressOfSymbol
000000018044ff44 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
000000018044fc90 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
000000018044ff78 (__TEXT,__text) external _NSDestroyObjectFileImage
000000018044fd00 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
0000000180450370 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00000001804500a8 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
0000000180450170 (__TEXT,__text) external _NSIsSymbolNameDefined
00000001804501d4 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00000001804501a0 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
000000018045010c (__TEXT,__text) external _NSLibraryNameForModule
000000018045032c (__TEXT,__text) external _NSLinkEditError
000000018044fcc8 (__TEXT,__text) external _NSLinkModule
0000000180450208 (__TEXT,__text) external _NSLookupAndBindSymbol
0000000180450238 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
0000000180450274 (__TEXT,__text) external _NSLookupSymbolInImage
000000018044fd3c (__TEXT,__text) external _NSLookupSymbolInModule
00000001804502f4 (__TEXT,__text) external _NSModuleForSymbol
00000001804500dc (__TEXT,__text) external _NSNameOfModule
00000001804502b4 (__TEXT,__text) external _NSNameOfSymbol
000000018044ffa8 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
000000018044ffe8 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
0000000180450028 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
0000000180450068 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
000000018045013c (__TEXT,__text) external _NSUnLinkModule
000000018044ec20 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
000000018044eeec (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001e8291838 (__DATA_DIRTY,__common) external _NXArgc
00000001e8291840 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
000000018044e934 (__TEXT,__text) external __NSGetExecutablePath
0000000180467298 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
00000001804612b8 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
000000018046d518 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
000000018046d8ac (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
000000018044ff0c (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00000001ece54c88 (__AUTH_CONST,__const) non-external __ZL8sHelpers
000000018044fde8 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
000000018044fe70 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
000000018044fe18 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcPc
000000018044f53c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
000000018044e340 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
000000018044e510 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
0000000180461194 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
000000018046110c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
0000000180461100 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
0000000180461288 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
0000000180451c10 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
000000018045fa64 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
000000018045fef8 (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
0000000180461954 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
000000018046250c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
0000000180462fdc (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
0000000180461a24 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
000000018046168c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
00000001804617dc (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base29addInfoFromRemoteLoadCommandsEjy
0000000180461e44 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_3218dyld_image_info_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
0000000180462124 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_6418dyld_image_info_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
0000000180461534 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8addImageEjbyyyyPKc
0000000180461440 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8copyPathEjPiy
00000001804613d4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base9addStringEPKcm
0000000180461350 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_baseC2Ejjjm
000000018046fb24 (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.1
000000018046fb50 (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.2
000000018046cedc (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base10disconnectEv
000000018046cc04 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base11handleEventEv
000000018046cba8 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base17teardownMachPortsEv
000000018046d064 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base23replyToMonitoredProcessER17mach_msg_header_t
000000018046cf9c (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base7releaseEv
000000018046c9ac (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi
0000000180470f2c (__TEXT,__text) non-external __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi.cold.1
000000018046ce5c (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseD2Ev
0000000180456070 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIjN5dyld45Atlas7Process19ProcessUpdateRecordENSt3__14lessIjEEE6insertEONS5_4pairIKjS4_EE
0000000180456314 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIjN5dyld45Atlas7Process21ProcessNotifierRecordENSt3__14lessIjEEE6insertEONS5_4pairIKjS4_EE
0000000180464d00 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIyNS_4UUIDENSt3__14lessIyEEE6insertEONS2_4pairIKyS1_EE
00000001804575c4 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetINS_9UniquePtrIN5dyld45Atlas5ImageEEENSt3__14lessIS5_EEE6insertEOS5_
0000000180453ce0 (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIPKcNS_20ConstCharStarCompareEE6insertERKS2_
0000000180451b4c (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedSetIiNSt3__14lessIiEEE6insertERKi
0000000180467014 (__TEXT,__text) non-external (was a private external) __ZN3lsl13MemoryManager17vm_allocate_bytesEy
000000018046fff4 (__TEXT,__text) non-external __ZN3lsl13MemoryManager17vm_allocate_bytesEy.cold.1
0000000180461030 (__TEXT,__text) non-external (was a private external) __ZN3lsl14readPVLEUInt64ERNSt3__14spanISt4byteLm18446744073709551615EEE
0000000180467200 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata10freeObjectEv
00000001804671f8 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata13getForPointerEPv
0000000180467280 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata17decrementRefCountEv
0000000180467270 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata17incrementRefCountEv
00000001804671e8 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadata7setTypeENS0_4TypeE
0000000180471af0 (__TEXT,__const) non-external (was a private external) __ZN3lsl18AllocationMetadata8granulesE
0000000180467174 (__TEXT,__text) non-external (was a private external) __ZN3lsl18AllocationMetadataC2EPNS_9AllocatorEy
0000000180466edc (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator15allocate_bufferEyyy
000000018046ff9c (__TEXT,__text) non-external __ZN3lsl18EphemeralAllocator15allocate_bufferEyyy.cold.1
000000018046ffc8 (__TEXT,__text) non-external __ZN3lsl18EphemeralAllocator15allocate_bufferEyyy.cold.2
00000001804670f4 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator17deallocate_bufferENS_13MemoryManager6BufferE
0000000180466d2c (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator5resetEv
0000000180467170 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocator7destroyEv
0000000180466c88 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorC1Ev
0000000180466c8c (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorC2EPvy
0000000180466b1c (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorC2Ev
0000000180466e98 (__TEXT,__text) non-external (was a private external) __ZN3lsl18EphemeralAllocatorD1Ev
0000000180467ed4 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator12reserveRangeERNS_5BTreeINS_13MemoryManager6BufferENS0_17RegionSizeCompareELb0EE14const_iteratorES3_
00000001804701c4 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator12reserveRangeERNS_5BTreeINS_13MemoryManager6BufferENS0_17RegionSizeCompareELb0EE14const_iteratorES3_.cold.1
0000000180467774 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator13memoryManagerEv
00000001804687c0 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator14reloadMagazineEv
0000000180470248 (__TEXT,__text) non-external __ZN3lsl19PersistentAllocator14reloadMagazineEv.cold.1
00000001804684f0 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator15allocate_bufferEyyy
0000000180469d68 (__TEXT,__text) non-external (was a private external) __ZN3lsl19PersistentAllocator17MagazineAllocatorILj256ELj256EE15allocate_bufferEyyy
