0000000180718840 (__TEXT,__text) external _OSAtomicAdd32
000000018071884c (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180718898 (__TEXT,__text) external _OSAtomicAdd64
00000001807188a4 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001807188f0 (__TEXT,__text) external _OSAtomicAnd32
0000000180718900 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180718910 (__TEXT,__text) external _OSAtomicAnd32Orig
000000018071891c (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180718978 (__TEXT,__text) external _OSAtomicCompareAndSwap32
000000018071898c (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180718a18 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180718a2c (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001807189c8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001807189dc (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001807189f0 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180718a04 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001807189a0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001807189b4 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180718878 (__TEXT,__text) external _OSAtomicDecrement32
0000000180718888 (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001807188d0 (__TEXT,__text) external _OSAtomicDecrement64
00000001807188e0 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180718bd4 (__TEXT,__text) external _OSAtomicDequeue
0000000180718b60 (__TEXT,__text) external _OSAtomicEnqueue
00000001807175e0 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001807175a0 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180718858 (__TEXT,__text) external _OSAtomicIncrement32
0000000180718868 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001807188b0 (__TEXT,__text) external _OSAtomicIncrement64
00000001807188c0 (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180718928 (__TEXT,__text) external _OSAtomicOr32
0000000180718934 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180718940 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180718948 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180718ad0 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180718b18 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180718a40 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180718a88 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180718950 (__TEXT,__text) external _OSAtomicXor32
000000018071895c (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180718968 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180718970 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180718c50 (__TEXT,__text) external _OSMemoryBarrier
00000001807178ac (__TEXT,__text) external _OSSpinLockLock
00000001807178c8 (__TEXT,__text) external _OSSpinLockTry
00000001807178f8 (__TEXT,__text) external _OSSpinLockUnlock
000000018071a790 (__TEXT,__const) non-external __0x
000000018071a801 (__TEXT,__cstring) non-external __H
0000000180718c2c (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180718bac (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180717764 (__TEXT,__text) external __OSSpinLockLockSlow
00000001807177dc (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180719a20 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
0000000182778010 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180715460 (__TEXT,__text) external ___libplatform_init
00000001807181fc (__TEXT,__text) external ___os_once_reset
00000001807174b4 (__TEXT,__text) non-external (was a private external) ___pfz_setup
000000018071a788 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
000000018071a750 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180718cc8 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180715968 (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180719f0c (__TEXT,__text) external __ctx_done
000000018071a22c (__TEXT,__text) non-external (was a private external) __ctx_start
00000001807163cc (__TEXT,__text) non-external __enlarge
000000018071a2e4 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180716294 (__TEXT,__text) non-external __flush
