00000001804ac75c (__TEXT,__text) external _OSAtomicAdd32
00000001804ac81c (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001804ac918 (__TEXT,__text) external _OSAtomicAdd64
00000001804aca90 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001804aca20 (__TEXT,__text) external _OSAtomicAnd32
00000001804ad4e4 (__TEXT,__text) external _OSAtomicAnd32Barrier
00000001804ad458 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001804ac93c (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001804ac748 (__TEXT,__text) external _OSAtomicCompareAndSwap32
00000001804ac7dc (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
00000001804ab7f8 (__TEXT,__text) external _OSAtomicCompareAndSwap64
00000001804ac7c8 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001804ac9d8 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001804acac0 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001804ac9f8 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001804ac948 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001804aca0c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001804ac7f0 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001804abd38 (__TEXT,__text) external _OSAtomicDecrement32
00000001804ac890 (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001804aca80 (__TEXT,__text) external _OSAtomicDecrement64
00000001804aca30 (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001804a9f50 (__TEXT,__text) external _OSAtomicDequeue
00000001804aa22c (__TEXT,__text) external _OSAtomicEnqueue
00000001804ae3a4 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001804afa04 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
00000001804ae340 (__TEXT,__text) external _OSAtomicFifoEnqueue
00000001804afa04 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
00000001804abd28 (__TEXT,__text) external _OSAtomicIncrement32
00000001804ac880 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001804ac5dc (__TEXT,__text) external _OSAtomicIncrement64
00000001804ac9c8 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001804ac9ec (__TEXT,__text) external _OSAtomicOr32
00000001804ac804 (__TEXT,__text) external _OSAtomicOr32Barrier
00000001804acab8 (__TEXT,__text) external _OSAtomicOr32Orig
00000001804aedac (__TEXT,__text) external _OSAtomicOr32OrigBarrier
00000001804aca40 (__TEXT,__text) external _OSAtomicTestAndClear
00000001804ad4a4 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000001804ad464 (__TEXT,__text) external _OSAtomicTestAndSet
00000001804ac95c (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001804aedb4 (__TEXT,__text) external _OSAtomicXor32
00000001804ac810 (__TEXT,__text) external _OSAtomicXor32Barrier
00000001804aedc0 (__TEXT,__text) external _OSAtomicXor32Orig
00000001804aedc8 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
00000001804ac7c0 (__TEXT,__text) external _OSMemoryBarrier
00000001804ac5b8 (__TEXT,__text) external _OSSpinLockLock
00000001804ac924 (__TEXT,__text) external _OSSpinLockTry
00000001804ac5d4 (__TEXT,__text) external _OSSpinLockUnlock
00000001804b0178 (__TEXT,__const) non-external _UUID_NULL
00000001804b029f (__TEXT,__cstring) non-external __0x
00000001804b027d (__TEXT,__cstring) non-external __H
00000001804aedf8 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
00000001804aedd0 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
00000001804ac8a0 (__TEXT,__text) external __OSSpinLockLockSlow
00000001804ae510 (__TEXT,__text) non-external __OSSpinLockLockYield
