00000001aca13258 (__TEXT,__text) non-external +[Caller current]
00000001aca137f8 (__TEXT,__text) non-external +[Caller pathFromPid:]
00000001aca15b80 (__TEXT,__text) non-external +[DaemonUtils _enumAllSubrequirements:processingBlock:]
00000001aca15c68 (__TEXT,__text) non-external +[DaemonUtils _isNonUiExtensionPointIdentifier:]
00000001aca15758 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus]
00000001aca3544c (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus].cold.1
00000001aca15840 (__TEXT,__text) non-external +[DaemonUtils _updateWithDFRStatus:source:]
00000001aca14cf8 (__TEXT,__text) non-external +[DaemonUtils callerDisplayNameWithPid:auditToken:bundleId:]
00000001aca14f6c (__TEXT,__text) non-external +[DaemonUtils callerIdWithPid:auditToken:]
00000001aca16530 (__TEXT,__text) non-external +[DaemonUtils canCallToDependencies]
00000001aca15694 (__TEXT,__text) non-external +[DaemonUtils deviceHasAtLeastSimulatedDFR]
00000001aca155d0 (__TEXT,__text) non-external +[DaemonUtils deviceHasDFR]
00000001aca15e1c (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl]
00000001aca35520 (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl].cold.1
00000001aca15cdc (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP]
00000001aca354d8 (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP].cold.1
00000001aca1597c (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDFR]
00000001aca16148 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDoublePressHW]
00000001aca161f4 (__TEXT,__text) non-external +[DaemonUtils deviceHasSpecialTouchID]
00000001aca16278 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchIDAndSecureDoublePress]
00000001aca15f5c (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID]
00000001aca35568 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID].cold.1
00000001aca1622c (__TEXT,__text) non-external +[DaemonUtils deviceIsPoseidon]
00000001aca1609c (__TEXT,__text) non-external +[DaemonUtils deviceSupportsSecureDoubleClick]
00000001aca15960 (__TEXT,__text) non-external +[DaemonUtils dfrHardwarePresent]
00000001aca1594c (__TEXT,__text) non-external +[DaemonUtils dfrPresent]
00000001aca15970 (__TEXT,__text) non-external +[DaemonUtils dfrStatus]
00000001aca1649c (__TEXT,__text) non-external +[DaemonUtils dispatchOnServer:]
00000001aca162c4 (__TEXT,__text) non-external +[DaemonUtils dispatchReallyAfter:tolerance:queue:block:]
00000001aca16428 (__TEXT,__text) non-external +[DaemonUtils dispatchSyncOnMain:]
00000001aca15360 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:]
00000001aca352d4 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.1
00000001aca35340 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.2
00000001aca353ac (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.3
00000001aca353e0 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.4
00000001aca15260 (__TEXT,__text) non-external +[DaemonUtils isClosedLidPreventingUseOfTouchID]
00000001aca1502c (__TEXT,__text) non-external +[DaemonUtils isLidClosed]
00000001aca35224 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.1
00000001aca35258 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.2
00000001aca3528c (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.3
00000001aca14c98 (__TEXT,__text) non-external +[DaemonUtils queue]
00000001aca14bfc (__TEXT,__text) non-external +[DaemonUtils sharedInstance]
00000001aca351fc (__TEXT,__text) non-external +[DaemonUtils sharedInstance].cold.1
00000001aca11d20 (__TEXT,__text) non-external +[EvaluationRequest current]
