00007fff7776868f (__TEXT,__text) external _AAArchiveStreamCancel
00007fff77768658 (__TEXT,__text) external _AAArchiveStreamClose
00007fff77776cc1 (__TEXT,__text) external _AAArchiveStreamProcess
00007fff7776860a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007fff777685f0 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007fff7776863e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007fff77768624 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007fff77769722 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007fff7779ae94 (__TEXT,__text) external _AAByteStreamCancel
00007fff7779aea9 (__TEXT,__text) external _AAByteStreamClose
00007fff7779ae5c (__TEXT,__text) external _AAByteStreamPRead
00007fff7779ae24 (__TEXT,__text) external _AAByteStreamPWrite
00007fff7778ada7 (__TEXT,__text) external _AAByteStreamProcess
00007fff7779ae40 (__TEXT,__text) external _AAByteStreamRead
00007fff7779ae78 (__TEXT,__text) external _AAByteStreamSeek
00007fff7779ae08 (__TEXT,__text) external _AAByteStreamWrite
00007fff77782a25 (__TEXT,__text) external _AAChunkInputStreamOpen
00007fff7778987e (__TEXT,__text) external _AAChunkOutputStreamOpen
00007fff7779b451 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007fff7779bbbc (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007fff77785f50 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007fff777686a4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007fff77768728 (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007fff7776871e (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007fff77768715 (__TEXT,__text) external _AACustomArchiveStreamSetData
00007fff77768750 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007fff77768746 (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007fff7776873c (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007fff77768732 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007fff7779b3ad (__TEXT,__text) external _AACustomByteStreamOpen
00007fff7779b447 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007fff7779b40b (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007fff7779b402 (__TEXT,__text) external _AACustomByteStreamSetData
00007fff7779b41f (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007fff7779b433 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007fff7779b415 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007fff7779b43d (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007fff7779b429 (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007fff77799340 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007fff7779b3a1 (__TEXT,__text) external _AADecompressionInputStreamOpen
00007fff7779db3a (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007fff77798848 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007fff777970dd (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007fff777973c3 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007fff777973ad (__TEXT,__text) external _AAEntryACLBlobClear
00007fff7779727d (__TEXT,__text) external _AAEntryACLBlobCreate
00007fff7779731a (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007fff77797361 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007fff777972e6 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007fff7779806f (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007fff77798065 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007fff77797bf0 (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007fff77797be8 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007fff77797fa8 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007fff77797d9d (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007fff77795a5e (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007fff77795d83 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007fff77795d6d (__TEXT,__text) external _AAEntryXATBlobClear
00007fff77795c42 (__TEXT,__text) external _AAEntryXATBlobCreate
00007fff77795cdf (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007fff77795d26 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007fff77795cab (__TEXT,__text) external _AAEntryXATBlobDestroy
00007fff777965e7 (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007fff777965dd (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007fff7779617a (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007fff77796172 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007fff777964d3 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007fff777962ab (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007fff77798585 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007fff7779845e (__TEXT,__text) external _AAEntryYECBlobCreate
00007fff777984f2 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007fff77798539 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007fff777984bf (__TEXT,__text) external _AAEntryYECBlobDestroy
00007fff7779883e (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007fff77798835 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007fff7778ece0 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007fff7778c4d5 (__TEXT,__text) external _AAFieldKeySetClear
00007fff7778c3ab (__TEXT,__text) external _AAFieldKeySetClone
00007fff7778c4eb (__TEXT,__text) external _AAFieldKeySetContainsKey
00007fff7778bffe (__TEXT,__text) external _AAFieldKeySetCreate
00007fff7778c05f (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007fff7778c385 (__TEXT,__text) external _AAFieldKeySetDestroy
00007fff7778cb1b (__TEXT,__text) external _AAFieldKeySetGetKey
00007fff7778cb13 (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007fff7778c581 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007fff7778c7ef (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007fff7778c72c (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007fff7778c9ef (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007fff7778ca98 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007fff7778cb2a (__TEXT,__text) external _AAFieldKeySetSerialize
00007fff7779aee0 (__TEXT,__text) external _AAFileStreamOpenWithFD
00007fff7779b05f (__TEXT,__text) external _AAFileStreamOpenWithPath
00007fff7779e872 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007fff77794015 (__TEXT,__text) external _AAHeaderAssign
