                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
000000024815c9b0 (__TEXT,__text) non-external _sbuf_extend
000000024815cac4 (__TEXT,__text) non-external _sbuf_put_byte
000000024815c6b4 (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
000000024815c684 (__TEXT,__text) external _usbuf_bcat
000000024815c7a8 (__TEXT,__text) external _usbuf_bcpy
000000024815c7f0 (__TEXT,__text) external _usbuf_cat
000000024815c534 (__TEXT,__text) external _usbuf_clear
000000024815c508 (__TEXT,__text) external _usbuf_clear_flags
000000024815c578 (__TEXT,__text) external _usbuf_count_drain
000000024815c838 (__TEXT,__text) external _usbuf_cpy
000000024815cd14 (__TEXT,__text) external _usbuf_data
000000024815cd44 (__TEXT,__text) external _usbuf_delete
000000024815cdac (__TEXT,__text) external _usbuf_done
000000024815c594 (__TEXT,__text) external _usbuf_drain
000000024815cdf0 (__TEXT,__text) external _usbuf_end_section
000000024815cc70 (__TEXT,__text) external _usbuf_error
000000024815cc78 (__TEXT,__text) external _usbuf_finish
000000024815c500 (__TEXT,__text) external _usbuf_get_flags
000000024815c1b8 (__TEXT,__text) external _usbuf_hexdump
000000024815cd1c (__TEXT,__text) external _usbuf_len
000000024815c408 (__TEXT,__text) external _usbuf_new
000000024815cb6c (__TEXT,__text) external _usbuf_nl_terminate
000000024815ca64 (__TEXT,__text) external _usbuf_printf
000000024815c3ac (__TEXT,__text) external _usbuf_printf_drain
000000024815c37c (__TEXT,__text) external _usbuf_putbuf
000000024815ca90 (__TEXT,__text) external _usbuf_putc
000000024815c58c (__TEXT,__text) external _usbuf_set_drain
000000024815c520 (__TEXT,__text) external _usbuf_set_flags
000000024815c550 (__TEXT,__text) external _usbuf_setpos
000000024815cdb8 (__TEXT,__text) external _usbuf_start_section
000000024815cbcc (__TEXT,__text) external _usbuf_trim
000000024815c898 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
