                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffb0ac64545 (__TEXT,__text) external _PFCheckNATRule
00007ffb0ac62093 (__TEXT,__text) external _PFCheckRule
00007ffb0ac61e2e (__TEXT,__text) external _PFManagerAddUser
00007ffb0ac61ecd (__TEXT,__text) external _PFManagerCheckUserExists
00007ffb0ac61d3d (__TEXT,__text) external _PFManagerCreate
00007ffb0ac61b30 (__TEXT,__text) external _PFManagerDebugLog
00007ffb0ac61830 (__TEXT,__text) external _PFManagerErrorLog
00007ffb0ac61771 (__TEXT,__text) external _PFManagerGetExternalAuthorizationObject
00007ffb0ac61be4 (__TEXT,__text) external _PFManagerGetQueue
00007ffb0ac61a7c (__TEXT,__text) external _PFManagerInfoLog
00007ffb0ac6192a (__TEXT,__text) external _PFManagerLogOpen
00007ffb0ac619cb (__TEXT,__text) external _PFManagerNoticeLog
00007ffb0ac61ff6 (__TEXT,__text) external _PFManagerRelease
00007ffb0ac61f29 (__TEXT,__text) external _PFManagerReleaseUser
00007ffb0ac61fb6 (__TEXT,__text) external _PFManagerSendMessage
00007ffb0ac5f763 (__TEXT,__text) external _PFUserAddRule
00007ffb0ac5f532 (__TEXT,__text) external _PFUserBeginRules
00007ffb0ac5fd6a (__TEXT,__text) external _PFUserClearRules
00007ffb0ac60df0 (__TEXT,__text) external _PFUserClearStates
00007ffb0ac5f9c7 (__TEXT,__text) external _PFUserCommitRules
00007ffb0ac60c3a (__TEXT,__text) external _PFUserCopyRules_S
00007ffb0ac5f084 (__TEXT,__text) external _PFUserCreate
00007ffb0ac60787 (__TEXT,__text) external _PFUserDeleteRule
00007ffb0ac5fed0 (__TEXT,__text) external _PFUserDeleteRules
00007ffb0ac609f2 (__TEXT,__text) external _PFUserGetRules
00007ffb0ac6026a (__TEXT,__text) external _PFUserInsertRule
00007ffb0ac6054c (__TEXT,__text) external _PFUserInsertRule_S
00007ffb0ac6104e (__TEXT,__text) external _PFUserNATLook
00007ffb0ac61307 (__TEXT,__text) external _PFUserNATLook_S
00007ffb0ac6012e (__TEXT,__text) external _PFUserRelease
00007ffb0ac64b78 (__TEXT,__text) external _PFXPCCleanup
00007ffb0ac64904 (__TEXT,__text) external _PFXPCGetResponse
00007ffb0ac64911 (__TEXT,__text) external _PFXPCSetupAndSend
00007ffb0ac65048 (__TEXT,__const) external _PacketFilterVersionNumber
