00007ff8185c37d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff8185c3870 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007ff8185c3930 (__TEXT,__gcc_except_tab) non-external GCC_except_table13
00007ff8185c3660 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00007ff8185c394c (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00007ff8185c3594 (__TEXT,__gcc_except_tab) non-external GCC_except_table17
00007ff8185c3618 (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00007ff8185c3464 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00007ff8185c3628 (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00007ff8185c395c (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00007ff8185c34f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table23
00007ff8185c3514 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00007ff8185c35a4 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00007ff8185c396c (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00007ff8185c3474 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00007ff8185c37f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table27
00007ff8185c3454 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ff8185c3638 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ff8185c3484 (__TEXT,__gcc_except_tab) non-external GCC_except_table30
00007ff8185c3670 (__TEXT,__gcc_except_tab) non-external GCC_except_table33
00007ff8185c35bc (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00007ff8185c3804 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff8185c36d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table46
00007ff8185c35d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table47
00007ff8185c35e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table48
00007ff8185c35f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table49
00007ff8185c3608 (__TEXT,__gcc_except_tab) non-external GCC_except_table50
00007ff8185c36e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table51
00007ff8185c3704 (__TEXT,__gcc_except_tab) non-external GCC_except_table52
00007ff8185c3714 (__TEXT,__gcc_except_tab) non-external GCC_except_table55
00007ff8185c3730 (__TEXT,__gcc_except_tab) non-external GCC_except_table57
00007ff8185c34a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table59
00007ff8185c34b8 (__TEXT,__gcc_except_tab) non-external GCC_except_table60
00007ff8185c3524 (__TEXT,__gcc_except_tab) non-external GCC_except_table61
00007ff8185c3534 (__TEXT,__gcc_except_tab) non-external GCC_except_table65
00007ff8185c3544 (__TEXT,__gcc_except_tab) non-external GCC_except_table66
00007ff8185c3554 (__TEXT,__gcc_except_tab) non-external GCC_except_table67
00007ff8185c3564 (__TEXT,__gcc_except_tab) non-external GCC_except_table68
00007ff8185c374c (__TEXT,__gcc_except_tab) non-external GCC_except_table69
00007ff8185c3818 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00007ff8185c3574 (__TEXT,__gcc_except_tab) non-external GCC_except_table70
00007ff8185c3584 (__TEXT,__gcc_except_tab) non-external GCC_except_table71
00007ff8185c375c (__TEXT,__gcc_except_tab) non-external GCC_except_table75
00007ff8185c3770 (__TEXT,__gcc_except_tab) non-external GCC_except_table78
00007ff8185c34c8 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff8185c3830 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff8185c3780 (__TEXT,__gcc_except_tab) non-external GCC_except_table86
00007ff8185c3790 (__TEXT,__gcc_except_tab) non-external GCC_except_table87
00007ff8185c37a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table88
00007ff8185c37b0 (__TEXT,__gcc_except_tab) non-external GCC_except_table89
00007ff8185c37c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table94
                 (undefined) external _AudioObjectGetPropertyData (from CoreAudio)
                 (undefined) external _CFArrayAppendArray (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreate (from CoreFoundation)
                 (undefined) external _CFArrayCreateCopy (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetFirstIndexOfValue (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayReplaceValues (from CoreFoundation)
                 (undefined) external _CFArraySetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFAutorelease (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetValueForInfoDictionaryKey (from CoreFoundation)
                 (undefined) external _CFCharacterSetAddCharactersInString (from CoreFoundation)
                 (undefined) external _CFCharacterSetCreateMutableCopy (from CoreFoundation)
                 (undefined) external _CFCharacterSetGetPredefined (from CoreFoundation)
                 (undefined) external _CFCharacterSetInvert (from CoreFoundation)
                 (undefined) external _CFCharacterSetIsCharacterMember (from CoreFoundation)
                 (undefined) external _CFCharacterSetUnion (from CoreFoundation)
                 (undefined) external _CFCopyDescription (from CoreFoundation)
                 (undefined) external _CFCopySearchPathForDirectoriesInDomains (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetKeysAndValues (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetRetainCount (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFLocaleCreate (from CoreFoundation)
                 (undefined) external _CFLocaleCreateCanonicalLocaleIdentifierFromString (from CoreFoundation)
                 (undefined) external _CFLocaleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFLocaleGetTypeID (from CoreFoundation)
                 (undefined) external _CFLocaleGetValue (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamClose (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFSetAddValue (from CoreFoundation)
                 (undefined) external _CFSetCreateMutable (from CoreFoundation)
                 (undefined) external _CFSetGetCount (from CoreFoundation)
                 (undefined) external _CFSetGetValues (from CoreFoundation)
                 (undefined) external _CFStringAppend (from CoreFoundation)
                 (undefined) external _CFStringAppendCharacters (from CoreFoundation)
                 (undefined) external _CFStringAppendFormat (from CoreFoundation)
