00007ffe07674052 (__TEXT,__text) non-external _Done_iODBC
00007ffe07691d50 (__TEXT,__const) non-external _FunctionNumbers
00007ffe07690d20 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffe07673f34 (__TEXT,__text) non-external _Init_iODBC
00007ffe433a72ac (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffe076725b2 (__TEXT,__text) external _SQLAllocConnect
00007ffe07672498 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffe07673ebb (__TEXT,__text) external _SQLAllocEnv
00007ffe07673d03 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffe0767e60c (__TEXT,__text) external _SQLAllocHandle
00007ffe0767e707 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffe0767e370 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffe07677165 (__TEXT,__text) external _SQLAllocStmt
00007ffe07676b80 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffe0767c269 (__TEXT,__text) external _SQLBindCol
00007ffe076845e9 (__TEXT,__text) external _SQLBindParam
00007ffe0767b5a2 (__TEXT,__text) external _SQLBindParameter
00007ffe0766f104 (__TEXT,__text) external _SQLBrowseConnect
00007ffe0766f273 (__TEXT,__text) external _SQLBrowseConnectA
00007ffe0766f3e2 (__TEXT,__text) external _SQLBrowseConnectW
00007ffe0766ea88 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffe076840a8 (__TEXT,__text) external _SQLBulkOperations
00007ffe0767806d (__TEXT,__text) external _SQLCancel
00007ffe07684615 (__TEXT,__text) external _SQLCloseCursor
00007ffe07683aec (__TEXT,__text) external _SQLColAttribute
00007ffe07683c96 (__TEXT,__text) external _SQLColAttributeA
00007ffe07683e40 (__TEXT,__text) external _SQLColAttributeW
00007ffe076833ab (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffe0767de6f (__TEXT,__text) external _SQLColAttributes
00007ffe0767e019 (__TEXT,__text) external _SQLColAttributesA
00007ffe0767e1c3 (__TEXT,__text) external _SQLColAttributesW
00007ffe0767d9bb (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffe07667844 (__TEXT,__text) external _SQLColumnPrivileges
00007ffe07667a15 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffe07667be6 (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffe07667564 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffe07668097 (__TEXT,__text) external _SQLColumns
00007ffe07668268 (__TEXT,__text) external _SQLColumnsA
00007ffe07668439 (__TEXT,__text) external _SQLColumnsW
00007ffe07667db7 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffe0766bf58 (__TEXT,__text) external _SQLConnect
00007ffe0766c873 (__TEXT,__text) external _SQLConnectA
00007ffe0766c9f7 (__TEXT,__text) external _SQLConnectW
00007ffe0766c0dc (__TEXT,__text) non-external _SQLConnect_Internal
00007ffe07691ab4 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffe0768322b (__TEXT,__text) external _SQLCopyDesc
00007ffe07678b01 (__TEXT,__text) external _SQLDataSources
00007ffe07678c27 (__TEXT,__text) external _SQLDataSourcesA
00007ffe07678d4d (__TEXT,__text) external _SQLDataSourcesW
00007ffe07678690 (__TEXT,__text) non-external _SQLDataSources_Internal
