00000002372d6a78 (__TEXT,__text) non-external +[CBOR cborFalse]
00000002372d69f0 (__TEXT,__text) non-external +[CBOR cborNil]
00000002372d6a34 (__TEXT,__text) non-external +[CBOR cborTrue]
00000002372d63c4 (__TEXT,__text) non-external +[CBOR cborWithArray:]
00000002372d6574 (__TEXT,__text) non-external +[CBOR cborWithData:]
00000002372d68d0 (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
00000002372d6468 (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
00000002372d650c (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
00000002372d6344 (__TEXT,__text) non-external +[CBOR cborWithDouble:]
00000002372d6abc (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
00000002372d6618 (__TEXT,__text) non-external +[CBOR cborWithEncodedTag24Data:]
00000002372d62c4 (__TEXT,__text) non-external +[CBOR cborWithFloat:]
00000002372d67b0 (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
00000002372d6244 (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
00000002372d60dc (__TEXT,__text) non-external +[CBOR cborWithInteger:]
00000002372d670c (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
00000002372d6198 (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
00000002372d13cc (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
00000002372d1944 (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
00000002372d18f4 (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
00000002372d834c (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
00000002372daee4 (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
00000002372d28bc (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
00000002372d28c8 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
00000002372d28d0 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:noCopy:]
00000002372d2d18 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:]
00000002372d2fd4 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType0And1FromBuffer:length:tag:]
00000002372d336c (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:]
00000002372d3a54 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00000002372d3ed0 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00000002372d44cc (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
00000002372d4784 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00000002372d19a8 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00000002372d19b0 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00000002372d9518 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00000002372daeec (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00000002372d6d04 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00000002372d5490 (__TEXT,__text) non-external -[CBOR array]
00000002372d524c (__TEXT,__text) non-external -[CBOR boolValue]
00000002372d6ca8 (__TEXT,__text) non-external -[CBOR cachedHash]
00000002372d4bd4 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00000002372d53d4 (__TEXT,__text) non-external -[CBOR data]
00000002372d5578 (__TEXT,__text) non-external -[CBOR date]
00000002372d5b64 (__TEXT,__text) non-external -[CBOR description]
00000002372d5504 (__TEXT,__text) non-external -[CBOR dictionary]
00000002372d514c (__TEXT,__text) non-external -[CBOR doubleValue]
00000002372d6b88 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00000002372d4f9c (__TEXT,__text) non-external -[CBOR hash]
00000002372d4ef0 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00000002372d4c18 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00000002372d5a58 (__TEXT,__text) non-external -[CBOR isBoolean]
00000002372d5a6c (__TEXT,__text) non-external -[CBOR isDate]
00000002372d5b04 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00000002372d4fa0 (__TEXT,__text) non-external -[CBOR isEqual:]
00000002372d5a44 (__TEXT,__text) non-external -[CBOR isFloatNumber]
00000002372d5a28 (__TEXT,__text) non-external -[CBOR isWholeNumber]
00000002372d5054 (__TEXT,__text) non-external -[CBOR longLongValue]
00000002372d51c0 (__TEXT,__text) non-external -[CBOR numeric]
00000002372d6cb8 (__TEXT,__text) non-external -[CBOR orderedKeys]
00000002372d6cb0 (__TEXT,__text) non-external -[CBOR setCachedHash:]
00000002372d6cc0 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00000002372d6c08 (__TEXT,__text) non-external -[CBOR setTag:]
00000002372d6c54 (__TEXT,__text) non-external -[CBOR setValue:]
00000002372d6ca0 (__TEXT,__text) non-external -[CBOR setValueSize:]
00000002372d52cc (__TEXT,__text) non-external -[CBOR string]
00000002372d6c00 (__TEXT,__text) non-external -[CBOR tag]
00000002372d6bf8 (__TEXT,__text) non-external -[CBOR type]
00000002372d50c8 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00000002372d6c98 (__TEXT,__text) non-external -[CBOR valueSize]
00000002372d6c4c (__TEXT,__text) non-external -[CBOR value]
00000002372d297c (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00000002372d8200 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00000002372d7600 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00000002372d7c70 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00000002372d81d0 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00000002372d81e0 (__TEXT,__text) non-external -[COSE contentType]
00000002372d7534 (__TEXT,__text) non-external -[COSE content]
00000002372d81d8 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00000002372d6ed8 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00000002372d6d54 (__TEXT,__text) non-external -[COSE initWithData:]
00000002372d6da8 (__TEXT,__text) non-external -[COSE initWithData:type:]
00000002372d71fc (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00000002372d81f0 (__TEXT,__text) non-external -[COSE initializationVector]
00000002372d81e8 (__TEXT,__text) non-external -[COSE keyIdentifier]
00000002372d81f8 (__TEXT,__text) non-external -[COSE partialInitializationVector]
00000002372d7434 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00000002372d81c8 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00000002372d8280 (__TEXT,__text) non-external -[COSE setType:]
00000002372d8304 (__TEXT,__text) non-external -[COSE sourceObject]
00000002372d75c8 (__TEXT,__text) non-external -[COSE tag]
00000002372d81c0 (__TEXT,__text) non-external -[COSE type]
00000002372d74b4 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00000002372dae4c (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00000002372da180 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00000002372dae24 (__TEXT,__text) non-external -[COSEKey algorithm]
00000002372dae3c (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00000002372dacdc (__TEXT,__text) non-external -[COSEKey ecCurveD]
00000002372dabec (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00000002372dac3c (__TEXT,__text) non-external -[COSEKey ecCurveX]
00000002372dac8c (__TEXT,__text) non-external -[COSEKey ecCurveY]
00000002372d8304 (__TEXT,__text) non-external -[COSEKey getSource]
00000002372dae2c (__TEXT,__text) non-external -[COSEKey identifier]
00000002372da758 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00000002372da900 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00000002372daa90 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00000002372d95d8 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00000002372d9584 (__TEXT,__text) non-external -[COSEKey initWithData:]
00000002372dadcc (__TEXT,__text) non-external -[COSEKey okpCurveD]
00000002372dad2c (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00000002372dad7c (__TEXT,__text) non-external -[COSEKey okpCurveX]
00000002372dae34 (__TEXT,__text) non-external -[COSEKey operations]
00000002372dae44 (__TEXT,__text) non-external -[COSEKey symmetricKey]
00000002372dae1c (__TEXT,__text) non-external -[COSEKey type]
00000002372d950c (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00000002372d9460 (__TEXT,__text) non-external -[COSE_Mac0 description]
00000002372d9280 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00000002372d8f4c (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00000002372d915c (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00000002372d9504 (__TEXT,__text) non-external -[COSE_Mac0 mac]
00000002372d8e68 (__TEXT,__text) non-external -[COSE_Sign1 description]
00000002372d8484 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00000002372d8354 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00000002372d8db4 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00000002372d866c (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00000002372d8864 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00000002372d8b20 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00000002372d8c88 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00000002372d8a78 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00000002372e0024 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000002372ddfc0 (__TEXT,__const) external _CBORLibraryVersionNumber
00000002372ddf90 (__TEXT,__const) external _CBORLibraryVersionString
00000002372ddfe8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00000002372ddfe9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00000002957be978 (__DATA,__data) external _COSEHeaderX509Bag
00000002957be980 (__DATA,__data) external _COSEHeaderX509Chain
00000002957be990 (__DATA,__data) external _COSEHeaderX509Hash
00000002957be998 (__DATA,__data) external _COSEHeaderX509HashSender
00000002957be9a0 (__DATA,__data) external _COSEHeaderX509Uri
00000002957be9a8 (__DATA,__data) external _COSEHeaderX509UriSender
00000002957be988 (__DATA,__data) external _COSEHeaderx509ChainSender
0000000298dff5a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_CBOR
0000000298dff5f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE
0000000298dff6e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSEKey
0000000298dff698 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
0000000298dff648 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000002957be600 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00000002957be604 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00000002957be5f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00000002957be5f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00000002957be5f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00000002957be5fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00000002957be614 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00000002957be608 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00000002957be61c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00000002957be618 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00000002957be624 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00000002957be620 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
