                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
000000025ab45998 (__TEXT,__text) non-external _sbuf_extend
000000025ab45ab4 (__TEXT,__text) non-external _sbuf_put_byte
000000025ab4569c (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
000000025ab4566c (__TEXT,__text) external _usbuf_bcat
000000025ab45790 (__TEXT,__text) external _usbuf_bcpy
000000025ab457d8 (__TEXT,__text) external _usbuf_cat
000000025ab4551c (__TEXT,__text) external _usbuf_clear
000000025ab454f0 (__TEXT,__text) external _usbuf_clear_flags
000000025ab45560 (__TEXT,__text) external _usbuf_count_drain
000000025ab45820 (__TEXT,__text) external _usbuf_cpy
000000025ab45d04 (__TEXT,__text) external _usbuf_data
000000025ab45d34 (__TEXT,__text) external _usbuf_delete
000000025ab45d9c (__TEXT,__text) external _usbuf_done
000000025ab4557c (__TEXT,__text) external _usbuf_drain
000000025ab45de0 (__TEXT,__text) external _usbuf_end_section
000000025ab45c60 (__TEXT,__text) external _usbuf_error
000000025ab45c68 (__TEXT,__text) external _usbuf_finish
000000025ab454e8 (__TEXT,__text) external _usbuf_get_flags
000000025ab45188 (__TEXT,__text) external _usbuf_hexdump
000000025ab45d0c (__TEXT,__text) external _usbuf_len
000000025ab453d8 (__TEXT,__text) external _usbuf_new
000000025ab45b5c (__TEXT,__text) external _usbuf_nl_terminate
000000025ab45a54 (__TEXT,__text) external _usbuf_printf
000000025ab4537c (__TEXT,__text) external _usbuf_printf_drain
000000025ab4534c (__TEXT,__text) external _usbuf_putbuf
000000025ab45a80 (__TEXT,__text) external _usbuf_putc
000000025ab45574 (__TEXT,__text) external _usbuf_set_drain
000000025ab45508 (__TEXT,__text) external _usbuf_set_flags
000000025ab45538 (__TEXT,__text) external _usbuf_setpos
000000025ab45da8 (__TEXT,__text) external _usbuf_start_section
000000025ab45bbc (__TEXT,__text) external _usbuf_trim
000000025ab45880 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
