00007ff80df1bd02 (__TEXT,__text) non-external _Annihilate
00007ff80df6194a (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff80df619be (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff80df61984 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff80df62df7 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80df6364a (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80df619f8 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80df1bafb (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80df3f20b (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80df0cb08 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80df1bddf (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80df0cd0b (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80df602fc (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80df60cb4 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80df0cf7c (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80df240cc (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80df342c2 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80df34fc4 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80df335c0 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80df339c3 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80df346c5 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80df32cc1 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80df15610 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
