00007ff840059460 (__DATA,__data) external _NDR_record
00007ff8003afef7 (__TEXT,__text) non-external __Xexception_raise
00007ff8003afffe (__TEXT,__text) non-external __Xexception_raise_state
00007ff8003b0182 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff80039e1b0 (__TEXT,__text) external _____sigwait_nocancel
00007ff8003c4888 (__TEXT,__const) external ____kernelVersionNumber
00007ff8003c4850 (__TEXT,__const) external ____kernelVersionString
00007ff80039e1c8 (__TEXT,__text) external ___abort_with_payload
00007ff80039e1e0 (__TEXT,__text) external ___accept
00007ff80039e1f8 (__TEXT,__text) external ___accept_nocancel
00007ff80039e210 (__TEXT,__text) external ___access_extended
00007ff80039e228 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff80039e240 (__TEXT,__text) external ___bind
00007ff80039e258 (__TEXT,__text) external ___bsdthread_create
00007ff80039e270 (__TEXT,__text) external ___bsdthread_ctl
00007ff80039e288 (__TEXT,__text) external ___bsdthread_register
00007ff80039e2a0 (__TEXT,__text) external ___bsdthread_terminate
00007ff8003af2c7 (__TEXT,__text) external ___carbon_delete
00007ff80039e2b8 (__TEXT,__text) external ___channel_get_info
00007ff80039e2d0 (__TEXT,__text) external ___channel_get_opt
00007ff80039e2e8 (__TEXT,__text) external ___channel_open
00007ff80039e300 (__TEXT,__text) external ___channel_set_opt
00007ff80039e318 (__TEXT,__text) external ___channel_sync
00007ff80039e330 (__TEXT,__text) external ___chmod
00007ff80039e348 (__TEXT,__text) external ___chmod_extended
00007ff80039e360 (__TEXT,__text) external ___close_nocancel
00007ff80039e378 (__TEXT,__text) external ___coalition
00007ff80039e390 (__TEXT,__text) external ___coalition_info
00007ff80039e3a8 (__TEXT,__text) external ___coalition_ledger
00007ff8003a3845 (__TEXT,__text) external ___commpage_gettimeofday
00007ff8003a384c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff80039e3c0 (__TEXT,__text) external ___connect
00007ff80039e3d8 (__TEXT,__text) external ___connect_nocancel
00007ff80039e3f0 (__TEXT,__text) external ___copyfile
00007ff80039e408 (__TEXT,__text) external ___csrctl
00007ff8003a803f (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff80039e420 (__TEXT,__text) external ___debug_syscall_reject
00007ff80039e438 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff80039e450 (__TEXT,__text) external ___delete
00007ff80039e468 (__TEXT,__text) external ___disable_threadsignal
00007ff8003a3f56 (__TEXT,__text) external ___error
00007ff80039e480 (__TEXT,__text) external ___execve
00007ff80039e498 (__TEXT,__text) external ___exit
00007ff80039e4b0 (__TEXT,__text) external ___fchmod
00007ff80039e4c8 (__TEXT,__text) external ___fchmod_extended
00007ff80039e4e0 (__TEXT,__text) external ___fcntl
00007ff80039e4f8 (__TEXT,__text) external ___fcntl_nocancel
00007ff80039e510 (__TEXT,__text) external ___fork
00007ff80039e548 (__TEXT,__text) external ___fs_snapshot
00007ff80039e560 (__TEXT,__text) external ___fstat64_extended
00007ff80039e578 (__TEXT,__text) external ___fstat_extended
00007ff80039e590 (__TEXT,__text) external ___fsync_nocancel
00007ff8003ad0e5 (__TEXT,__text) external ___get_remove_counter
00007ff80039e5a8 (__TEXT,__text) external ___getattrlist
00007ff80039e5c0 (__TEXT,__text) external ___getdirentries64
00007ff80039e5d8 (__TEXT,__text) external ___gethostuuid
00007ff80039e5f0 (__TEXT,__text) external ___getlogin
00007ff80039e608 (__TEXT,__text) external ___getpeername
00007ff80039e620 (__TEXT,__text) external ___getpid
00007ff80039e654 (__TEXT,__text) external ___getrlimit
00007ff80039e66c (__TEXT,__text) external ___getsgroups
00007ff80039e684 (__TEXT,__text) external ___getsockname
00007ff80039e69c (__TEXT,__text) external ___gettid
00007ff80039e6c9 (__TEXT,__text) external ___gettimeofday
00007ff80039e6b4 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff80039e6f4 (__TEXT,__text) external ___getwgroups
00007ff80039e70c (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff80039e724 (__TEXT,__text) external ___guarded_open_np
00007ff80039e73c (__TEXT,__text) external ___identitysvc
00007ff8003ad0f0 (__TEXT,__text) external ___inc_remove_counter
00007ff80039e754 (__TEXT,__text) external ___initgroups
00007ff80039e76c (__TEXT,__text) external ___ioctl
00007ff80039e784 (__TEXT,__text) external ___iopolicysys
00007ff80039e79c (__TEXT,__text) external ___kdebug_trace
00007ff80039e7b4 (__TEXT,__text) external ___kdebug_trace64
00007ff80039e7cc (__TEXT,__text) external ___kdebug_trace_string
00007ff80039e7e4 (__TEXT,__text) external ___kdebug_typefilter
00007ff8003c48f8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff8003c48c0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff80039e7fc (__TEXT,__text) external ___kill
00007ff80039e814 (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff80039e82c (__TEXT,__text) external ___lchown
00007ff8003a0d94 (__TEXT,__text) external ___libkernel_init
00007ff8003a0dc7 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff8003a0dc6 (__TEXT,__text) external ___libkernel_init_late
00007ff8003a0c22 (__TEXT,__text) external ___libkernel_platform_init
00007ff8003a0c39 (__TEXT,__text) external ___libkernel_voucher_init
00007ff80039e844 (__TEXT,__text) external ___listen
00007ff80039e85c (__TEXT,__text) external ___log_data
00007ff80039e874 (__TEXT,__text) external ___lseek
00007ff80039e88c (__TEXT,__text) external ___lstat64_extended
00007ff80039e8a4 (__TEXT,__text) external ___lstat_extended
00007ff80039e8bc (__TEXT,__text) external ___mac_execve
00007ff80039e8d4 (__TEXT,__text) external ___mac_get_fd
00007ff80039e8ec (__TEXT,__text) external ___mac_get_file
00007ff80039e904 (__TEXT,__text) external ___mac_get_link
00007ff80039e91c (__TEXT,__text) external ___mac_get_mount
00007ff80039e934 (__TEXT,__text) external ___mac_get_pid
00007ff80039e94c (__TEXT,__text) external ___mac_get_proc
00007ff80039e964 (__TEXT,__text) external ___mac_getfsstat
00007ff80039e97c (__TEXT,__text) external ___mac_mount
00007ff80039e994 (__TEXT,__text) external ___mac_set_fd
00007ff80039e9ac (__TEXT,__text) external ___mac_set_file
00007ff80039e9c4 (__TEXT,__text) external ___mac_set_link
00007ff80039e9dc (__TEXT,__text) external ___mac_set_proc
00007ff80039e9f4 (__TEXT,__text) external ___mac_syscall
00007ff80039ea0c (__TEXT,__text) external ___mach_bridge_remote_time
00007ff80039ea24 (__TEXT,__text) external ___mach_eventlink_signal
00007ff80039ea3c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff80039ea54 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff80039ea6c (__TEXT,__text) external ___map_with_linking_np
00007ff80039ea84 (__TEXT,__text) external ___memorystatus_available_memory
00007ff80039ea9c (__TEXT,__text) external ___microstackshot
00007ff80039eab4 (__TEXT,__text) external ___mkdir_extended
00007ff80039eacc (__TEXT,__text) external ___mkfifo_extended
