00000001804f98bc (__TEXT,__text) external _OSAtomicAdd32
00000001804f997c (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001804f9a74 (__TEXT,__text) external _OSAtomicAdd64
00000001804f9bec (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001804f9b7c (__TEXT,__text) external _OSAtomicAnd32
00000001804fa6a4 (__TEXT,__text) external _OSAtomicAnd32Barrier
00000001804fa618 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001804f9a98 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001804f98a8 (__TEXT,__text) external _OSAtomicCompareAndSwap32
00000001804f993c (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
00000001804f8958 (__TEXT,__text) external _OSAtomicCompareAndSwap64
00000001804f9928 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001804f9b34 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001804f9c1c (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001804f9b54 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001804f9aa4 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001804f9b68 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001804f9950 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001804f8e94 (__TEXT,__text) external _OSAtomicDecrement32
00000001804f99f0 (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001804f9bdc (__TEXT,__text) external _OSAtomicDecrement64
00000001804f9b8c (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001804f7050 (__TEXT,__text) external _OSAtomicDequeue
00000001804f732c (__TEXT,__text) external _OSAtomicEnqueue
00000001804fbe08 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001804fd53c (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
00000001804fbda0 (__TEXT,__text) external _OSAtomicFifoEnqueue
00000001804fd53c (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
00000001804f8e84 (__TEXT,__text) external _OSAtomicIncrement32
00000001804f99e0 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001804f975c (__TEXT,__text) external _OSAtomicIncrement64
00000001804f9b24 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001804f9b48 (__TEXT,__text) external _OSAtomicOr32
00000001804f9964 (__TEXT,__text) external _OSAtomicOr32Barrier
00000001804f9c14 (__TEXT,__text) external _OSAtomicOr32Orig
00000001804fcc2c (__TEXT,__text) external _OSAtomicOr32OrigBarrier
00000001804f9b9c (__TEXT,__text) external _OSAtomicTestAndClear
00000001804fa664 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000001804fa624 (__TEXT,__text) external _OSAtomicTestAndSet
00000001804f9ab8 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001804fcc34 (__TEXT,__text) external _OSAtomicXor32
00000001804f9970 (__TEXT,__text) external _OSAtomicXor32Barrier
00000001804fcc40 (__TEXT,__text) external _OSAtomicXor32Orig
