00000001d9423598 (__DATA,__common) external _BC
00000001d9423444 (__DATA,__common) external _COLORS
00000001a7027170 (__TEXT,__text) external _COLOR_PAIR
00000001d9423440 (__DATA,__common) external _COLOR_PAIRS
00000001d9423584 (__DATA,__common) external _COLS
00000001d9422fc0 (__DATA,__data) external _ESCDELAY
00000001d9423580 (__DATA,__common) external _LINES
00000001a7028314 (__TEXT,__text) external _PAIR_NUMBER
00000001d94235a4 (__DATA,__common) external _PC
00000001d9423470 (__DATA,__common) external _SP
00000001d9423588 (__DATA,__common) external _TABSIZE
00000001d9423590 (__DATA,__common) external _UP
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00000001a7005a64 (__TEXT,__text) external __nc_access
00000001a7006f78 (__TEXT,__text) external __nc_add_to_try
00000001a7007724 (__TEXT,__text) external __nc_align_termtype
00000001a7006ed8 (__TEXT,__text) external __nc_basename
00000001a7006db8 (__TEXT,__text) external __nc_baudrate
00000001a700e1b0 (__TEXT,__text) external __nc_build_wch
00000001a7020244 (__TEXT,__text) external __nc_capcmp
00000001a7008640 (__TEXT,__text) external __nc_captoinfo
00000001dbbaf238 (__AUTH,__data) external __nc_check_termtype
00000001dbbaf230 (__AUTH,__data) external __nc_check_termtype2
00000001d94231f8 (__DATA,__common) external __nc_comment_end
00000001d94231f0 (__DATA,__common) external __nc_comment_start
00000001a70071c0 (__TEXT,__text) external __nc_copy_entry
00000001a7007f10 (__TEXT,__text) external __nc_copy_termtype
00000001d94231d8 (__DATA,__common) external __nc_curr_col
00000001d94231e8 (__DATA,__common) external __nc_curr_file_pos
00000001d94231d4 (__DATA,__common) external __nc_curr_line
00000001d9423208 (__DATA,__common) external __nc_curr_token
00000001a700c7ec (__TEXT,__text) external __nc_delink_entry
00000001d9423220 (__DATA,__common) external __nc_disable_period
00000001a7010cb8 (__TEXT,__text) external __nc_do_color
00000001a7006334 (__TEXT,__text) external __nc_doalloc
00000001a700ace0 (__TEXT,__text) external __nc_entry_match
00000001a7009f30 (__TEXT,__text) external __nc_err_abort
00000001a7021274 (__TEXT,__text) external __nc_expand_try
00000001a7029768 (__TEXT,__text) external __nc_expanded
00000001a700c894 (__TEXT,__text) external __nc_fallback
00000001a700a448 (__TEXT,__text) external __nc_find_entry
00000001a700a538 (__TEXT,__text) external __nc_find_type_entry
00000001a700c6b4 (__TEXT,__text) external __nc_first_db
00000001a701e8f4 (__TEXT,__text) external __nc_first_name
00000001a701c77c (__TEXT,__text) external __nc_flush
00000001a70114dc (__TEXT,__text) external __nc_free_and_exit
00000001a700c860 (__TEXT,__text) external __nc_free_entries
00000001a700c7b8 (__TEXT,__text) external __nc_free_entry
00000001a700c89c (__TEXT,__text) external __nc_free_termtype
00000001a70114d8 (__TEXT,__text) external __nc_freeall
00000001a7015dbc (__TEXT,__text) external __nc_freewin
00000001a7009c20 (__TEXT,__text) external __nc_get_alias_table
00000001a7009c04 (__TEXT,__text) external __nc_get_hash_table
00000001a70194cc (__TEXT,__text) external __nc_get_locale
00000001a7006480 (__TEXT,__text) external __nc_get_screensize
00000001a7009d2c (__TEXT,__text) external __nc_get_source
00000001a7009b24 (__TEXT,__text) external __nc_get_table
00000001a700b4dc (__TEXT,__text) external __nc_get_token
00000001a701ce7c (__TEXT,__text) external __nc_get_tty_mode
00000001a7009dbc (__TEXT,__text) external __nc_get_type
00000001a7006660 (__TEXT,__text) external __nc_getenv_num
00000001d9422bb0 (__DATA,__data) external __nc_globals
00000001a7019400 (__TEXT,__text) external __nc_handle_sigwinch
00000001a7013c48 (__TEXT,__text) external __nc_has_mouse
00000001a700cb68 (__TEXT,__text) external __nc_hash_map
00000001d9423228 (__DATA,__common) external __nc_head
00000001a70058ac (__TEXT,__text) external __nc_home_terminfo
00000001a70092dc (__TEXT,__text) external __nc_infotocap
00000001a700dc20 (__TEXT,__text) external __nc_init_acs
00000001a70070b8 (__TEXT,__text) external __nc_init_entry
00000001a700d894 (__TEXT,__text) external __nc_init_keytry
00000001a701e23c (__TEXT,__text) external __nc_init_wacs
00000001a7012f68 (__TEXT,__text) external __nc_insert_ch
00000001a7006f10 (__TEXT,__text) external __nc_is_abs_path
00000001a7009af0 (__TEXT,__text) external __nc_is_charable
00000001a7005928 (__TEXT,__text) external __nc_is_dir_path
00000001a7006f24 (__TEXT,__text) external __nc_is_file_path
00000001a700c57c (__TEXT,__text) external __nc_keep_tic_dir
00000001a7026c60 (__TEXT,__text) external __nc_keyname
00000001a70164f4 (__TEXT,__text) external __nc_keypad
00000001a7006390 (__TEXT,__text) external __nc_last_db
00000001a700c890 (__TEXT,__text) external __nc_leaks_tinfo
00000001a7019508 (__TEXT,__text) external __nc_locale_breaks_acs
00000001a700d560 (__TEXT,__text) external __nc_make_oldhash
00000001a701603c (__TEXT,__text) external __nc_makenew
00000001a7007608 (__TEXT,__text) external __nc_merge_entry
00000001a70143a8 (__TEXT,__text) external __nc_msec_cost
00000001a70145c4 (__TEXT,__text) external __nc_mvcur_init
00000001a701450c (__TEXT,__text) external __nc_mvcur_resume
00000001a7014b94 (__TEXT,__text) external __nc_mvcur_wrap
00000001a701e968 (__TEXT,__text) external __nc_name_match
00000001a7005680 (__TEXT,__text) external __nc_next_db
