00000002683c2888 (__TEXT,__text) non-external _Done_iODBC
00000002683e19b0 (__TEXT,__const) non-external _FunctionNumbers
00000002683e07b8 (__TEXT,__text) non-external _GetPrivateProfileString
00000002683c26f8 (__TEXT,__text) non-external _Init_iODBC
0000000280cc0c7c (__DATA,__common) non-external _ODBCSharedTraceFlag
00000002683c0ddc (__TEXT,__text) external _SQLAllocConnect
00000002683c0cdc (__TEXT,__text) non-external _SQLAllocConnect_Internal
00000002683c2668 (__TEXT,__text) external _SQLAllocEnv
00000002683c24b4 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00000002683cc700 (__TEXT,__text) external _SQLAllocHandle
00000002683cc818 (__TEXT,__text) non-external _SQLAllocHandleStd
00000002683cc460 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00000002683c539c (__TEXT,__text) external _SQLAllocStmt
00000002683c4e6c (__TEXT,__text) non-external _SQLAllocStmt_Internal
00000002683ca408 (__TEXT,__text) external _SQLBindCol
00000002683d249c (__TEXT,__text) external _SQLBindParam
00000002683c98e8 (__TEXT,__text) external _SQLBindParameter
00000002683bd9fc (__TEXT,__text) external _SQLBrowseConnect
00000002683bdb44 (__TEXT,__text) external _SQLBrowseConnectA
00000002683bdc8c (__TEXT,__text) external _SQLBrowseConnectW
00000002683bd4a4 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00000002683d1f98 (__TEXT,__text) external _SQLBulkOperations
00000002683c62f0 (__TEXT,__text) external _SQLCancel
00000002683d24e0 (__TEXT,__text) external _SQLCloseCursor
00000002683d19d8 (__TEXT,__text) external _SQLColAttribute
00000002683d1b80 (__TEXT,__text) external _SQLColAttributeA
00000002683d1d28 (__TEXT,__text) external _SQLColAttributeW
00000002683d132c (__TEXT,__text) non-external _SQLColAttribute_Internal
00000002683cbf68 (__TEXT,__text) external _SQLColAttributes
00000002683cc110 (__TEXT,__text) external _SQLColAttributesA
00000002683cc2b8 (__TEXT,__text) external _SQLColAttributesW
00000002683cbae0 (__TEXT,__text) non-external _SQLColAttributes_Internal
00000002683b692c (__TEXT,__text) external _SQLColumnPrivileges
00000002683b6b08 (__TEXT,__text) external _SQLColumnPrivilegesA
00000002683b6ce4 (__TEXT,__text) external _SQLColumnPrivilegesW
00000002683b669c (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00000002683b7150 (__TEXT,__text) external _SQLColumns
00000002683b732c (__TEXT,__text) external _SQLColumnsA
00000002683b7508 (__TEXT,__text) external _SQLColumnsW
00000002683b6ec0 (__TEXT,__text) non-external _SQLColumns_Internal
00000002683badf8 (__TEXT,__text) external _SQLConnect
00000002683bb588 (__TEXT,__text) external _SQLConnectA
00000002683bb6e8 (__TEXT,__text) external _SQLConnectW
00000002683baf58 (__TEXT,__text) non-external _SQLConnect_Internal
00000002683e1438 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00000002683d11b0 (__TEXT,__text) external _SQLCopyDesc
00000002683c6e00 (__TEXT,__text) external _SQLDataSources
00000002683c6f48 (__TEXT,__text) external _SQLDataSourcesA
00000002683c7090 (__TEXT,__text) external _SQLDataSourcesW
00000002683c6994 (__TEXT,__text) non-external _SQLDataSources_Internal
0000000280cc0c00 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
0000000280cc0c20 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
0000000280cc0c28 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00000002683cb54c (__TEXT,__text) external _SQLDescribeCol
00000002683cb728 (__TEXT,__text) external _SQLDescribeColA
00000002683cb904 (__TEXT,__text) external _SQLDescribeColW
00000002683cb2a0 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00000002683bfb54 (__TEXT,__text) external _SQLDescribeParam
00000002683bddd4 (__TEXT,__text) external _SQLDisconnect
00000002683bd030 (__TEXT,__text) external _SQLDriverConnect
00000002683bd1ac (__TEXT,__text) external _SQLDriverConnectA
00000002683bd328 (__TEXT,__text) external _SQLDriverConnectW
00000002683bb848 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00000002683e1464 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00000002683e1490 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00000002683c76c0 (__TEXT,__text) external _SQLDrivers
00000002683c7808 (__TEXT,__text) external _SQLDriversA
00000002683c7950 (__TEXT,__text) external _SQLDriversW
00000002683c72cc (__TEXT,__text) non-external _SQLDrivers_Internal
0000000280cc0c04 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
0000000280cc0c30 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
0000000280cc0c38 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00000002683d1ed0 (__TEXT,__text) external _SQLEndTran
00000002683c3054 (__TEXT,__text) external _SQLError
