00000001ed8e6e80 (__TEXT,__text) non-external _DiToMD5
00000001ed8e71a4 (__TEXT,__text) non-external _DiToSHA1
00000001ed8cb27c (__TEXT,__text) external _DriverExecutableMain
000000023638bba0 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
000000023638be60 (__AUTH_CONST,__const) external _IOCommandPool_Class
000000023638bd68 (__AUTH_CONST,__const) external _IOCommand_Class
000000023638bf58 (__AUTH_CONST,__const) external _IODMACommand_Class
000000023638c108 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001ed8c75ac (__TEXT,__text) external _IODelay
000000023638c2b8 (__AUTH_CONST,__const) external _IODispatchQueue_Class
000000023638c468 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001ed8cb7f8 (__TEXT,__text) external _IODriverKitTest
00000001ed8f97b0 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001ed8f97e4 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001ed8f9810 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001ed8f9844 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001ed8f9870 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001ed8f989c (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001ed8f98c8 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001ed8f98f4 (__TEXT,__text) non-external _IODriverKitTest.cold.8
000000023638c618 (__AUTH_CONST,__const) external _IOEventLink_Class
000000023638c7c8 (__AUTH_CONST,__const) external _IOExtensiblePaniclog_Class
00000001ed8c7578 (__TEXT,__text) external _IOFree
00000001ed8c759c (__TEXT,__text) external _IOFreeData
00000001ed8cb7c8 (__TEXT,__text) external _IOGetExecutableSDKVersion
000000023638d098 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
000000023638c9a8 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001ed8c75b8 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001ed8ca7bc (__TEXT,__text) external _IOLockAlloc
00000001ed8ca7fc (__TEXT,__text) external _IOLockAssert
00000001ed8f90bc (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001ed8ca7e0 (__TEXT,__text) external _IOLockFree
00000001ed8ca7f0 (__TEXT,__text) external _IOLockLock
00000001ed8ca7f4 (__TEXT,__text) external _IOLockTryLock
00000001ed8ca7f8 (__TEXT,__text) external _IOLockUnlock
00000001ed8c7400 (__TEXT,__text) external _IOLog
00000001ed8c72cc (__TEXT,__text) external _IOLogBuffer
00000001ed8c742c (__TEXT,__text) external _IOLogv
00000001ed8c7558 (__TEXT,__text) external _IOMalloc
00000001ed8c757c (__TEXT,__text) external _IOMallocData
00000001ed8c756c (__TEXT,__text) external _IOMallocZero
00000001ed8c7590 (__TEXT,__text) external _IOMallocZeroData
000000023638cb58 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
000000023638cd08 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001ed8c7658 (__TEXT,__text) external _IOParseBootArgNumber
00000001ed8c7b20 (__TEXT,__text) external _IOParseBootArgString
00000001ed8c97c8 (__TEXT,__text) external _IORPCMessageFromMach
00000001ed8f8dbc (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001ed8f8dfc (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001ed8caa64 (__TEXT,__text) external _IORWLockAlloc
00000001ed8f921c (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001ed8caaa8 (__TEXT,__text) external _IORWLockFree
00000001ed8caaec (__TEXT,__text) external _IORWLockRead
00000001ed8f9248 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001ed8cab2c (__TEXT,__text) external _IORWLockUnlock
00000001ed8f92a0 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001ed8cab0c (__TEXT,__text) external _IORWLockWrite
00000001ed8f9274 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001ed8ca884 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001ed8ca8c0 (__TEXT,__text) external _IORecursiveConditionLockFree
00000001ed8ca9a8 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001ed8f9198 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001ed8ca8d0 (__TEXT,__text) external _IORecursiveConditionLockLock
00000001ed8f90e8 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001ed8f9114 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001ed8ca9ec (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001ed8f91c4 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001ed8f91f0 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
